# iteration,run time [seconds],cost
100,25.94,30.231063928
200,51.31,27.639478788
300,76.60,26.769877130
400,102.03,26.333992009
500,127.43,26.072112925
600,152.74,25.897381623
700,178.07,25.772502332
800,203.48,25.678803888
900,228.90,25.605904211
1000,254.15,25.547569904
1100,279.44,25.499832201
1200,304.68,25.460044158
1300,330.01,25.426372647
1400,355.25,25.397507918
1500,380.46,25.372489256
1600,405.90,25.350595973
1700,431.08,25.331276856
1800,456.24,25.314103116
1900,481.45,25.298736187
2000,506.58,25.284905183
2100,531.66,25.272390790
2200,556.74,25.261013553
2300,581.85,25.250625211
2400,606.96,25.241102203
2500,632.02,25.232340732
2600,657.16,25.224252960
2700,682.24,25.216764061
2800,707.32,25.209809892
2900,732.46,25.203335156
3000,757.65,25.197291925
3100,782.86,25.191638455
3200,808.21,25.186338215
3300,833.55,25.181359105
3400,858.81,25.176672798
3500,883.77,25.172254204
3600,908.81,25.168081018
3700,934.06,25.164133349
3800,959.66,25.160393398
3900,984.76,25.156845190
4000,1009.72,25.153474348
4100,1035.08,25.150267897
4200,1060.31,25.147214098
4300,1085.40,25.144302303
4400,1110.48,25.141522832
4500,1135.64,25.138866866
4600,1160.76,25.136326352
4700,1186.00,25.133893921
4800,1211.27,25.131562821
4900,1236.43,25.129326848
5000,1261.60,25.127180296
5100,1287.04,25.125117907
5200,1312.44,25.123134824
5300,1337.82,25.121226561
5400,1363.23,25.119388961
5500,1388.62,25.117618171
5600,1413.90,25.115910612
5700,1439.17,25.114262957
5800,1464.60,25.112672108
5900,1490.09,25.111135177
6000,1515.53,25.109649468
6100,1540.76,25.108212463
6200,1565.93,25.106821806
6300,1591.18,25.105475289
6400,1616.34,25.104170845
6500,1641.55,25.102906531
6600,1666.80,25.101680524
6700,1692.00,25.100491108
6800,1717.23,25.099336671
6900,1742.51,25.098215690
7000,1767.77,25.097126733
7100,1793.00,25.096068446
7200,1818.25,25.095039552
7300,1843.44,25.094038843
7400,1868.69,25.093065177
7500,1893.96,25.092117472
7600,1919.32,25.091194703
7700,1944.58,25.090295898
7800,1969.77,25.089420138
7900,1994.93,25.088566545
8000,2020.13,25.087734290
8100,2045.29,25.086922582
8200,2070.46,25.086130669
8300,2095.52,25.085357835
8400,2120.66,25.084603401
8500,2145.82,25.083866716
8600,2170.81,25.083147161
8700,2195.75,25.082444146
8800,2220.73,25.081757106
8900,2245.68,25.081085504
9000,2270.58,25.080428825
9100,2295.71,25.079786576
9200,2320.77,25.079158288
9300,2345.82,25.078543510
9400,2370.69,25.077941811
9500,2395.57,25.077352779
9600,2420.48,25.076776016
9700,2445.37,25.076211144
9800,2470.31,25.075657799
9900,2495.22,25.075115632
10000,2520.13,25.074584306
10100,2545.00,25.074063501
10200,2569.90,25.073552907
10300,2595.00,25.073052227
10400,2620.22,25.072561174
10500,2645.34,25.072079473
10600,2670.42,25.071606860
10700,2695.53,25.071143081
10800,2720.59,25.070687889
10900,2745.64,25.070241048
11000,2770.65,25.069802331
11100,2795.74,25.069371518
11200,2820.75,25.068948398
11300,2845.65,25.068532766
11400,2870.50,25.068124424
11500,2895.42,25.067723184
11600,2920.58,25.067328862
11700,2945.94,25.066941279
11800,2971.16,25.066560265
11900,2996.33,25.066185653
12000,3021.57,25.065817285
12100,3046.72,25.065455005
12200,3071.85,25.065098664
12300,3097.04,25.064748116
12400,3122.12,25.064403222
12500,3147.18,25.064063846
12600,3172.33,25.063729856
12700,3197.42,25.063401126
12800,3222.48,25.063077531
12900,3247.64,25.062758953
13000,3272.77,25.062445276
13100,3297.90,25.062136388
13200,3322.98,25.061832179
13300,3348.08,25.061532545
13400,3373.17,25.061237382
13500,3398.26,25.060946592
13600,3423.37,25.060660078
13700,3448.52,25.060377746
13800,3473.69,25.060099506
13900,3498.87,25.059825268
14000,3524.00,25.059554949
14100,3549.11,25.059288463
14200,3574.25,25.059025730
14300,3599.30,25.058766672
14400,3624.45,25.058511211
14500,3649.56,25.058259274
14600,3674.65,25.058010788
14700,3699.68,25.057765682
14800,3724.68,25.057523888
14900,3749.67,25.057285340
15000,3774.66,25.057049972
15100,3799.74,25.056817722
15200,3824.81,25.056588527
15300,3849.86,25.056362327
15400,3874.98,25.056139066
15500,3900.02,25.055918685
15600,3925.11,25.055701129
15700,3950.18,25.055486344
15800,3975.23,25.055274278
15900,4000.26,25.055064880
16000,4025.33,25.054858098
16100,4050.36,25.054653885
16200,4075.40,25.054452194
16300,4100.50,25.054252976
16400,4125.70,25.054056189
16500,4150.85,25.053861786
16600,4176.02,25.053669725
16700,4201.10,25.053479965
16800,4226.17,25.053292463
16900,4251.18,25.053107180
17000,4276.24,25.052924077
17100,4301.33,25.052743115
17200,4326.42,25.052564257
17300,4351.47,25.052387467
17400,4376.47,25.052212709
17500,4401.52,25.052039948
17600,4426.60,25.051869150
17700,4451.66,25.051700282
17800,4476.75,25.051533311
17900,4501.82,25.051368205
18000,4526.94,25.051204934
18100,4552.03,25.051043467
18200,4577.14,25.050883775
18300,4602.35,25.050725827
18400,4627.54,25.050569596
18500,4652.72,25.050415054
18600,4677.99,25.050262174
18700,4703.21,25.050110929
18800,4728.43,25.049961293
18900,4753.65,25.049813240
19000,4778.86,25.049666745
19100,4804.12,25.049521784
19200,4829.32,25.049378333
19300,4854.44,25.049236369
19400,4879.45,25.049095868
19500,4904.35,25.048956808
19600,4929.26,25.048819167
19700,4954.23,25.048682924
19800,4979.04,25.048548056
19900,5003.89,25.048414544
20000,5028.76,25.048282367
20100,5053.56,25.048151505
20200,5078.34,25.048021938
20300,5103.20,25.047893648
20400,5128.01,25.047766616
20500,5152.89,25.047640823
20600,5177.83,25.047516251
20700,5202.76,25.047392883
20800,5227.65,25.047270701
20900,5252.66,25.047149688
21000,5277.51,25.047029828
21100,5302.32,25.046911103
21200,5326.98,25.046793499
21300,5351.89,25.046676999
21400,5376.93,25.046561587
21500,5401.83,25.046447250
21600,5426.59,25.046333970
21700,5451.35,25.046221735
21800,5476.10,25.046110529
21900,5500.67,25.046000339
22000,5525.44,25.045891151
22100,5550.22,25.045782951
22200,5575.07,25.045675725
22300,5599.90,25.045569461
22400,5624.71,25.045464146
22500,5649.46,25.045359767
22600,5674.09,25.045256311
22700,5698.77,25.045153767
22800,5723.49,25.045052123
22900,5748.13,25.044951366
23000,5772.84,25.044851485
23100,5797.60,25.044752469
23200,5822.47,25.044654307
23300,5847.19,25.044556987
23400,5871.88,25.044460499
23500,5896.60,25.044364832
23600,5921.35,25.044269975
23700,5946.12,25.044175919
23800,5970.86,25.044082654
23900,5995.60,25.043990169
24000,6020.29,25.043898454
24100,6044.97,25.043807501
24200,6069.67,25.043717300
24300,6094.34,25.043627840
24400,6118.99,25.043539114
24500,6143.66,25.043451112
24600,6168.38,25.043363826
24700,6193.02,25.043277246
24800,6217.55,25.043191365
24900,6242.09,25.043106173
25000,6266.60,25.043021663
25100,6291.11,25.042937827
25200,6315.75,25.042854655
25300,6340.38,25.042772141
25400,6364.93,25.042690277
25500,6389.45,25.042609055
25600,6413.96,25.042528467
25700,6438.61,25.042448506
25800,6463.24,25.042369166
25900,6487.84,25.042290437
26000,6512.33,25.042212315
26100,6536.81,25.042134791
26200,6561.28,25.042057859
26300,6585.77,25.041981512
26400,6610.25,25.041905743
26500,6634.74,25.041830546
26600,6659.24,25.041755914
26700,6683.73,25.041681842
26800,6708.19,25.041608322
26900,6732.67,25.041535349
27000,6757.11,25.041462916
27100,6781.58,25.041391018
27200,6806.25,25.041319648
27300,6830.90,25.041248802
27400,6855.51,25.041178472
27500,6880.09,25.041108654
27600,6904.54,25.041039342
27700,6928.95,25.040970530
27800,6953.29,25.040902213
27900,6977.70,25.040834386
28000,7002.12,25.040767044
28100,7026.43,25.040700181
28200,7050.82,25.040633792
28300,7075.19,25.040567872
28400,7099.56,25.040502416
28500,7123.93,25.040437420
28600,7148.38,25.040372878
28700,7172.72,25.040308786
28800,7197.07,25.040245138
28900,7221.52,25.040181932
29000,7245.89,25.040119161
29100,7270.22,25.040056822
29200,7294.64,25.039994909
29300,7319.07,25.039933420
29400,7343.44,25.039872348
29500,7367.85,25.039811691
29600,7392.28,25.039751443
29700,7416.85,25.039691601
29800,7441.47,25.039632161
29900,7466.18,25.039573118
30000,7490.93,25.039514469
30100,7515.79,25.039456210
30200,7540.57,25.039398336
30300,7565.38,25.039340844
30400,7590.29,25.039283731
30500,7615.17,25.039226992
30600,7639.98,25.039170624
30700,7664.74,25.039114623
30800,7689.54,25.039058986
30900,7714.35,25.039003709
31000,7739.18,25.038948788
31100,7763.94,25.038894221
31200,7788.76,25.038840003
31300,7813.53,25.038786132
31400,7838.37,25.038732604
31500,7863.14,25.038679416
31600,7887.84,25.038626564
31700,7912.59,25.038574046
31800,7937.36,25.038521859
31900,7962.08,25.038469998
32000,7986.79,25.038418461
32100,8011.51,25.038367246
32200,8036.30,25.038316349
32300,8061.09,25.038265766
32400,8085.87,25.038215497
32500,8110.60,25.038165536
32600,8135.33,25.038115882
32700,8160.08,25.038066531
32800,8184.83,25.038017482
32900,8209.59,25.037968730
33000,8234.37,25.037920275
33100,8259.13,25.037872111
33200,8283.86,25.037824238
33300,8308.60,25.037776653
33400,8333.37,25.037729352
33500,8358.12,25.037682334
33600,8382.86,25.037635596
33700,8407.63,25.037589135
33800,8432.38,25.037542949
33900,8457.14,25.037497035
34000,8481.86,25.037451392
34100,8506.57,25.037406016
34200,8531.26,25.037360906
34300,8555.98,25.037316058
34400,8580.71,25.037271472
34500,8605.40,25.037227143
34600,8630.06,25.037183071
34700,8654.72,25.037139253
34800,8679.41,25.037095687
34900,8704.10,25.037052371
35000,8728.92,25.037009302
35100,8753.72,25.036966478
35200,8778.51,25.036923898
35300,8803.30,25.036881559
35400,8828.05,25.036839459
35500,8852.79,25.036797597
35600,8877.58,25.036755969
35700,8902.34,25.036714575
35800,8927.01,25.036673412
35900,8951.74,25.036632478
36000,8976.41,25.036591772
36100,9001.06,25.036551291
36200,9025.73,25.036511034
36300,9050.41,25.036470998
36400,9075.13,25.036431183
36500,9099.84,25.036391586
36600,9124.66,25.036352205
36700,9149.44,25.036313039
36800,9174.26,25.036274085
36900,9199.10,25.036235343
37000,9223.93,25.036196810
37100,9248.61,25.036158485
37200,9273.39,25.036120366
37300,9298.07,25.036082451
37400,9322.81,25.036044739
37500,9347.49,25.036007228
37600,9372.18,25.035969917
37700,9396.88,25.035932804
37800,9421.52,25.035895887
37900,9446.19,25.035859164
38000,9470.88,25.035822635
38100,9495.57,25.035786298
38200,9520.23,25.035750151
38300,9544.90,25.035714193
38400,9569.57,25.035678422
38500,9594.28,25.035642837
38600,9619.11,25.035607436
38700,9643.83,25.035572218
38800,9668.70,25.035537182
38900,9693.46,25.035502326
39000,9718.15,25.035467649
39100,9742.86,25.035433149
39200,9767.58,25.035398825
39300,9792.41,25.035364675
39400,9817.25,25.035330699
39500,9842.15,25.035296895
39600,9867.03,25.035263262
39700,9891.89,25.035229798
39800,9916.83,25.035196503
39900,9941.61,25.035163374
40000,9966.39,25.035130411
40100,9991.15,25.035097612
40200,10015.93,25.035064976
40300,10040.72,25.035032503
40400,10065.54,25.035000190
40500,10090.38,25.034968037
40600,10115.19,25.034936042
40700,10139.93,25.034904204
40800,10164.76,25.034872523
40900,10189.53,25.034840996
41000,10214.27,25.034809623
41100,10238.98,25.034778403
41200,10263.67,25.034747334
41300,10288.35,25.034716416
41400,10313.06,25.034685647
41500,10337.75,25.034655027
41600,10362.43,25.034624553
41700,10387.17,25.034594226
41800,10411.84,25.034564044
41900,10436.50,25.034534006
42000,10461.19,25.034504111
42100,10485.93,25.034474358
42200,10510.70,25.034444746
42300,10535.42,25.034415274
42400,10560.13,25.034385941
42500,10584.83,25.034356746
42600,10609.50,25.034327688
42700,10634.23,25.034298766
42800,10658.90,25.034269979
42900,10683.60,25.034241327
43000,10708.30,25.034212808
43100,10732.99,25.034184421
43200,10757.68,25.034156166
43300,10782.36,25.034128041
43400,10806.75,25.034100045
43500,10831.21,25.034072179
43600,10855.74,25.034044440
43700,10880.43,25.034016828
43800,10905.19,25.033989342
43900,10930.02,25.033961982
44000,10954.76,25.033934746
44100,10979.49,25.033907633
44200,11004.24,25.033880643
44300,11028.97,25.033853775
44400,11053.44,25.033827028
44500,11078.21,25.033800401
44600,11103.03,25.033773894
44700,11127.79,25.033747505
44800,11152.55,25.033721234
44900,11177.36,25.033695080
45000,11202.16,25.033669042
45100,11226.93,25.033643119
45200,11251.70,25.033617312
45300,11276.46,25.033591618
45400,11301.26,25.033566037
45500,11326.02,25.033540569
45600,11350.67,25.033515213
45700,11375.36,25.033489967
45800,11400.15,25.033464832
45900,11424.89,25.033439807
46000,11449.67,25.033414890
46100,11474.43,25.033390081
46200,11499.21,25.033365380
46300,11524.00,25.033340785
46400,11548.76,25.033316296
46500,11573.42,25.033291913
46600,11598.11,25.033267634
46700,11622.79,25.033243459
46800,11647.44,25.033219388
46900,11672.07,25.033195419
47000,11696.75,25.033171553
47100,11721.38,25.033147787
47200,11746.14,25.033124122
47300,11770.95,25.033100558
47400,11795.74,25.033077092
47500,11820.52,25.033053726
47600,11845.29,25.033030458
47700,11870.06,25.033007287
47800,11894.86,25.032984213
47900,11919.64,25.032961236
48000,11944.39,25.032938354
48100,11969.16,25.032915568
48200,11993.93,25.032892876
48300,12018.66,25.032870278
48400,12043.43,25.032847773
48500,12068.14,25.032825361
48600,12092.93,25.032803041
48700,12117.77,25.032780813
48800,12142.57,25.032758677
48900,12167.34,25.032736630
49000,12192.15,25.032714674
49100,12216.96,25.032692807
49200,12241.77,25.032671029
49300,12266.53,25.032649339
49400,12291.40,25.032627737
49500,12316.21,25.032606223
49600,12341.10,25.032584795
49700,12365.84,25.032563453
49800,12390.55,25.032542197
49900,12415.33,25.032521027
50000,12440.10,25.032499941
50100,12464.85,25.032478939
50200,12489.57,25.032458021
50300,12514.30,25.032437186
50400,12539.04,25.032416433
50500,12563.83,25.032395763
50600,12588.62,25.032375175
50700,12613.42,25.032354667
50800,12638.19,25.032334241
50900,12662.97,25.032313895
51000,12687.76,25.032293628
51100,12712.47,25.032273441
51200,12737.25,25.032253333
51300,12762.08,25.032233303
51400,12786.92,25.032213351
51500,12811.66,25.032193476
51600,12836.45,25.032173679
51700,12861.24,25.032153958
51800,12886.03,25.032134313
51900,12910.77,25.032114744
52000,12935.58,25.032095251
52100,12960.39,25.032075832
52200,12985.19,25.032056487
52300,13009.99,25.032037217
52400,13034.75,25.032018020
52500,13059.53,25.031998896
52600,13084.26,25.031979845
52700,13109.00,25.031960866
52800,13133.76,25.031941959
52900,13158.54,25.031923123
53000,13183.32,25.031904359
53100,13208.16,25.031885665
53200,13233.09,25.031867042
53300,13257.88,25.031848488
53400,13282.64,25.031830004
53500,13307.43,25.031811589
53600,13332.16,25.031793243
53700,13356.91,25.031774965
53800,13381.64,25.031756755
53900,13406.24,25.031738612
54000,13430.88,25.031720537
54100,13455.71,25.031702529
54200,13480.56,25.031684587
54300,13505.39,25.031666711
54400,13530.28,25.031648901
54500,13555.20,25.031631156
54600,13580.08,25.031613476
54700,13604.93,25.031595861
54800,13629.82,25.031578310
54900,13654.63,25.031560823
55000,13679.39,25.031543400
55100,13704.11,25.031526039
55200,13728.69,25.031508742
55300,13753.43,25.031491508
55400,13778.14,25.031474335
55500,13802.81,25.031457224
55600,13827.50,25.031440175
55700,13852.22,25.031423188
55800,13876.96,25.031406261
55900,13901.66,25.031389394
56000,13926.36,25.031372588
56100,13951.16,25.031355842
56200,13975.90,25.031339155
56300,14000.52,25.031322528
56400,14025.10,25.031305960
56500,14049.69,25.031289450
56600,14074.33,25.031272999
56700,14098.98,25.031256605
56800,14123.55,25.031240270
56900,14148.19,25.031223991
57000,14172.63,25.031207770
57100,14197.03,25.031191606
57200,14221.49,25.031175498
57300,14245.99,25.031159447
