# iteration,run time [seconds],cost
100,25.55,25.564784143
200,50.34,23.100827755
300,75.10,22.274051691
400,99.72,21.859632767
500,124.34,21.610650538
600,149.02,21.444524293
700,173.79,21.325794979
800,198.66,21.236710937
900,223.50,21.167401377
1000,248.49,21.111939881
1100,273.34,21.066553135
1200,298.25,21.028724548
1300,323.19,20.996711270
1400,348.20,20.969268053
1500,373.05,20.945481494
1600,397.89,20.924666398
1700,422.61,20.906298697
1800,447.33,20.889970718
1900,472.16,20.875360570
2000,496.92,20.862210707
2100,521.62,20.850312615
2200,546.41,20.839495677
2300,571.06,20.829618933
2400,595.69,20.820564909
2500,620.53,20.812234916
2600,645.23,20.804545446
2700,669.91,20.797425356
2800,694.65,20.790813662
2900,719.37,20.784657789
3000,744.03,20.778912172
3100,768.70,20.773537120
3200,793.33,20.768497903
3300,817.99,20.763764001
3400,842.71,20.759308482
3500,867.37,20.755107492
3600,892.04,20.751139825
3700,916.82,20.747386568
3800,941.48,20.743830800
3900,966.14,20.740457332
4000,990.88,20.737252495
4100,1015.62,20.734203953
4200,1040.33,20.731300545
4300,1065.44,20.728532149
4400,1090.19,20.725889560
4500,1114.86,20.723364393
4600,1139.38,20.720948992
4700,1163.97,20.718636352
4800,1188.64,20.716420053
4900,1213.31,20.714294196
5000,1237.96,20.712253356
5100,1262.67,20.710292534
5200,1287.42,20.708407113
5300,1312.17,20.706592827
5400,1337.04,20.704845724
5500,1361.84,20.703162141
5600,1386.64,20.701538674
5700,1411.45,20.699972162
5800,1436.27,20.698459658
5900,1461.15,20.696998417
6000,1485.99,20.695585875
6100,1510.78,20.694219639
6200,1535.64,20.692897468
6300,1560.51,20.691617264
6400,1585.37,20.690377060
6500,1610.22,20.689175010
6600,1635.06,20.688009380
6700,1659.96,20.686878540
6800,1684.58,20.685780956
6900,1709.23,20.684715180
7000,1733.94,20.683679851
7100,1758.79,20.682673683
7200,1783.76,20.681695459
7300,1808.65,20.680744032
7400,1833.59,20.679818317
7500,1858.48,20.678917283
7600,1883.36,20.678039958
7700,1908.26,20.677185418
7800,1933.10,20.676352786
7900,1957.91,20.675541231
8000,1982.75,20.674749962
8100,2007.66,20.673978228
8200,2032.47,20.673225314
8300,2057.28,20.672490541
8400,2082.11,20.671773261
8500,2106.88,20.671072855
8600,2131.66,20.670388737
8700,2156.47,20.669720343
8800,2181.25,20.669067138
8900,2206.05,20.668428611
9000,2230.96,20.667804271
9100,2255.87,20.667193652
9200,2280.65,20.666596305
9300,2305.30,20.666011804
9400,2329.75,20.665439737
9500,2354.29,20.664879712
9600,2378.87,20.664331354
9700,2403.40,20.663794300
9800,2428.05,20.663268206
9900,2452.65,20.662752739
10000,2477.30,20.662247580
10100,2501.98,20.661752423
10200,2526.68,20.661266975
10300,2551.39,20.660790951
10400,2576.07,20.660324081
10500,2600.68,20.659866103
10600,2625.34,20.659416765
10700,2650.01,20.658975826
10800,2674.66,20.658543051
10900,2699.30,20.658118216
11000,2724.01,20.657701105
11100,2749.15,20.657291508
11200,2773.97,20.656889225
11300,2798.78,20.656494062
11400,2823.62,20.656105831
11500,2848.46,20.655724350
11600,2873.32,20.655349447
11700,2898.14,20.654980952
11800,2922.98,20.654618701
11900,2947.77,20.654262539
12000,2972.48,20.653912312
12100,2997.03,20.653567873
12200,3021.59,20.653229081
12300,3046.36,20.652895797
12400,3071.25,20.652567888
12500,3095.96,20.652245225
12600,3120.69,20.651927683
12700,3145.37,20.651615142
12800,3170.07,20.651307484
12900,3194.64,20.651004595
13000,3219.30,20.650706366
13100,3244.05,20.650412689
13200,3268.62,20.650123462
13300,3293.46,20.649838584
13400,3318.30,20.649557957
13500,3342.95,20.649281487
13600,3367.65,20.649009083
13700,3392.40,20.648740655
13800,3417.06,20.648476118
13900,3441.75,20.648215386
14000,3466.51,20.647958379
14100,3491.30,20.647705017
14200,3515.96,20.647455223
14300,3540.61,20.647208923
14400,3565.30,20.646966043
14500,3590.13,20.646726513
14600,3614.98,20.646490264
14700,3639.67,20.646257229
14800,3664.39,20.646027343
14900,3689.15,20.645800543
