# iteration,run time [seconds],cost
100,9.46,49.307950359
200,18.12,43.999576821
300,26.74,42.218361780
400,35.33,41.325533293
500,43.98,40.789123363
600,52.57,40.431219234
700,61.14,40.175427553
800,69.69,39.983503956
900,78.25,39.834182712
1000,86.86,39.714695883
1100,95.57,39.616914199
1200,104.17,39.535415893
1300,112.77,39.466446151
1400,121.36,39.407322196
1500,130.05,39.356076184
1600,138.72,39.311231922
1700,147.37,39.271660353
1800,156.14,39.236483185
1900,164.79,39.205006928
2000,173.54,39.176676724
2100,182.20,39.151043351
2200,190.83,39.127739225
2300,199.75,39.106460665
2400,208.58,39.086954579
2500,217.21,39.069008356
2600,225.84,39.052442081
2700,234.48,39.037102484
2800,243.13,39.022858180
2900,251.78,39.009595904
3000,260.76,38.997217485
3100,273.50,38.985637416
3200,286.58,38.974780875
3300,297.25,38.964582107
3400,308.71,38.954983091
3500,318.25,38.945932432
3600,328.83,38.937384449
3700,340.22,38.929298394
3800,353.93,38.921637808
3900,364.29,38.914369973
4000,373.27,38.907465438
4100,384.22,38.900897628
4200,393.46,38.894642497
4300,406.47,38.888678234
4400,420.41,38.882985012
4500,431.24,38.877544766
4600,442.35,38.872341001
4700,454.87,38.867358626
4800,468.82,38.862583807
4900,478.26,38.858003838
5000,489.26,38.853607032
5100,503.00,38.849382615
5200,516.87,38.845320645
5300,527.49,38.841411928
5400,540.84,38.837647951
5500,549.97,38.834020822
5600,562.00,38.830523209
5700,576.32,38.827148298
5800,587.94,38.823889744
5900,598.27,38.820741630
6000,608.76,38.817698436
6100,622.04,38.814755002
6200,636.17,38.811906503
6300,650.73,38.809148417
6400,665.26,38.806476509
6500,678.55,38.803886800
6600,693.10,38.801375555
6700,707.62,38.798939262
6800,722.14,38.796574614
6900,731.71,38.794278497
7000,744.12,38.792047973
7100,754.39,38.789880272
7200,767.76,38.787772777
7300,782.33,38.785723014
7400,796.99,38.783728642
7500,811.55,38.781787446
7600,826.10,38.779897328
7700,840.65,38.778056297
7800,855.19,38.776262466
7900,864.74,38.774514043
8000,873.69,38.772809325
8100,882.57,38.771146693
8200,891.73,38.769524609
8300,900.63,38.767941606
8400,910.11,38.766396289
8500,921.61,38.764887329
8600,932.62,38.763413456
8700,943.30,38.761973462
8800,952.06,38.760566191
8900,961.40,38.759190540
9000,970.71,38.757845456
9100,983.67,38.756529932
9200,994.75,38.755243002
9300,1004.88,38.753983746
9400,1016.66,38.752751279
9500,1028.58,38.751544756
9600,1042.02,38.750363366
9700,1053.27,38.749206333
9800,1067.05,38.748072910
9900,1078.71,38.746962382
10000,1089.51,38.745874063
10100,1099.77,38.744807292
10200,1108.55,38.743761436
10300,1119.13,38.742735886
10400,1127.85,38.741730057
10500,1137.82,38.740743384
10600,1149.73,38.739775326
10700,1160.43,38.738825361
10800,1172.15,38.737892986
10900,1184.86,38.736977717
11000,1195.85,38.736079088
11100,1207.84,38.735196649
11200,1222.16,38.734329967
11300,1234.39,38.733478622
11400,1244.49,38.732642213
11500,1254.18,38.731820348
11600,1265.70,38.731012652
11700,1276.77,38.730218762
11800,1286.84,38.729438326
11900,1299.98,38.728671006
12000,1312.45,38.727916473
12100,1322.77,38.727174411
12200,1334.16,38.726444513
12300,1347.63,38.725726482
12400,1361.80,38.725020032
12500,1374.34,38.724324883
12600,1386.29,38.723640768
12700,1400.06,38.722967426
12800,1414.55,38.722304604
12900,1427.87,38.721652057
13000,1439.91,38.721009549
13100,1448.67,38.720376849
13200,1460.11,38.719753735
13300,1473.95,38.719139990
13400,1485.86,38.718535405
13500,1498.91,38.717939776
13600,1512.81,38.717352906
13700,1523.91,38.716774602
13800,1535.41,38.716204679
13900,1544.33,38.715642956
14000,1555.82,38.715089257
14100,1565.97,38.714543411
14200,1578.00,38.714005253
14300,1590.98,38.713474621
14400,1600.56,38.712951358
14500,1611.34,38.712435312
14600,1621.04,38.711926335
14700,1629.86,38.711424282
14800,1640.54,38.710929013
14900,1653.04,38.710440392
15000,1664.26,38.709958285
15100,1676.42,38.709482563
15200,1690.98,38.709013101
15300,1705.53,38.708549774
15400,1719.98,38.708092465
15500,1734.52,38.707641056
15600,1749.14,38.707195434
15700,1763.59,38.706755488
15800,1778.25,38.706321111
15900,1792.85,38.705892197
16000,1805.69,38.705468645
16100,1814.48,38.705050353
16200,1823.25,38.704637226
16300,1832.02,38.704229167
16400,1840.74,38.703826084
