# iteration,run time [seconds],cost
100,1.30,18.370936003
200,1.70,17.574351912
300,2.12,17.307059576
400,2.55,17.173080126
500,2.96,17.092585486
600,3.36,17.038877748
700,3.79,17.000493188
800,4.23,16.971692787
900,4.65,16.949285372
1000,5.06,16.931354964
1100,5.49,16.916681668
1200,5.91,16.904451886
1300,6.31,16.894102162
1400,6.72,16.885229915
1500,7.13,16.877539846
1600,7.54,16.870810435
1700,7.99,16.864872254
1800,8.40,16.859593505
1900,8.83,16.854870121
2000,9.24,16.850618840
2100,9.66,16.846772250
2200,10.07,16.843275191
2300,10.47,16.840082092
2400,10.88,16.837154973
2500,11.30,16.834461931
2600,11.71,16.831975966
2700,12.13,16.829674078
2800,12.54,16.827536552
2900,12.97,16.825546391
3000,13.39,16.823688863
3100,13.80,16.821951137
3200,14.21,16.820321985
3300,14.61,16.818791540
3400,15.02,16.817351094
3500,15.43,16.815992936
3600,15.85,16.814710210
3700,16.25,16.813496802
3800,16.68,16.812347241
3900,17.09,16.811256617
4000,17.50,16.810220510
4100,17.96,16.809234932
4200,18.37,16.808296276
4300,18.78,16.807401268
4400,19.20,16.806546933
4500,19.67,16.805730560
4600,20.12,16.804949673
4700,20.55,16.804202009
4800,20.98,16.803485491
4900,21.40,16.802798213
5000,21.85,16.802138420
5100,22.27,16.801504497
5200,22.67,16.800894950
5300,23.08,16.800308401
5400,23.49,16.799743572
5500,23.88,16.799199278
5600,24.28,16.798674420
5700,24.67,16.798167975
5800,25.07,16.797678990
5900,25.47,16.797206579
6000,25.86,16.796749912
6100,26.26,16.796308215
6200,26.70,16.795880764
6300,27.09,16.795466880
6400,27.50,16.795065929
6500,27.91,16.794677313
6600,28.32,16.794300471
6700,28.73,16.793934876
6800,29.15,16.793580033
6900,29.56,16.793235473
7000,29.96,16.792900757
7100,30.36,16.792575468
7200,30.75,16.792259213
7300,31.14,16.791951622
7400,31.58,16.791652343
7500,32.00,16.791361044
7600,32.41,16.791077409
7700,32.82,16.790801141
7800,33.23,16.790531955
7900,33.66,16.790269584
8000,34.07,16.790013771
8100,34.47,16.789764273
8200,34.89,16.789520860
8300,35.30,16.789283312
8400,35.69,16.789051419
8500,36.09,16.788824982
8600,36.48,16.788603810
8700,36.88,16.788387722
8800,37.28,16.788176544
8900,37.68,16.787970111
9000,38.08,16.787768266
9100,38.51,16.787570856
9200,38.93,16.787377737
9300,39.36,16.787188770
9400,39.80,16.787003824
9500,40.22,16.786822771
9600,40.67,16.786645490
9700,41.10,16.786471863
9800,41.54,16.786301780
9900,42.13,16.786135132
10000,42.61,16.785971817
10100,43.06,16.785811735
10200,43.49,16.785654792
10300,43.92,16.785500896
10400,44.38,16.785349960
10500,44.78,16.785201898
10600,45.22,16.785056629
10700,45.66,16.784914076
10800,46.14,16.784774162
10900,46.56,16.784636815
11000,46.99,16.784501965
11100,47.39,16.784369545
11200,47.78,16.784239489
11300,48.19,16.784111735
11400,48.58,16.783986222
11500,49.00,16.783862891
11600,49.46,16.783741687
11700,49.87,16.783622554
11800,50.26,16.783505441
11900,50.66,16.783390295
12000,51.05,16.783277069
12100,51.45,16.783165713
12200,51.84,16.783056184
12300,52.26,16.782948435
12400,52.65,16.782842423
12500,53.05,16.782738108
12600,53.44,16.782635449
12700,53.84,16.782534406
12800,54.24,16.782434941
12900,54.64,16.782337019
13000,55.06,16.782240603
13100,55.47,16.782145659
13200,55.87,16.782052153
13300,56.27,16.781960054
13400,56.66,16.781869329
13500,57.06,16.781779947
13600,57.46,16.781691881
13700,57.85,16.781605099
13800,58.25,16.781519576
13900,58.69,16.781435283
14000,59.09,16.781352193
14100,59.49,16.781270283
14200,59.89,16.781189526
14300,60.29,16.781109898
14400,60.68,16.781031377
14500,61.08,16.780953938
14600,61.48,16.780877560
14700,61.91,16.780802221
14800,62.31,16.780727900
14900,62.71,16.780654576
15000,63.10,16.780582231
15100,63.53,16.780510843
15200,63.93,16.780440395
15300,64.32,16.780370867
15400,64.73,16.780302242
15500,65.13,16.780234503
15600,65.53,16.780167632
15700,65.92,16.780101613
15800,66.33,16.780036430
15900,66.80,16.779972066
16000,67.20,16.779908507
16100,67.62,16.779845738
16200,68.02,16.779783743
16300,68.43,16.779722509
16400,68.83,16.779662021
16500,69.23,16.779602267
16600,69.64,16.779543233
16700,70.04,16.779484906
16800,70.44,16.779427273
16900,70.83,16.779370322
17000,71.24,16.779314040
17100,71.65,16.779258418
17200,72.06,16.779203442
17300,72.51,16.779149101
17400,72.91,16.779095385
17500,73.30,16.779042283
17600,73.70,16.778989784
17700,74.13,16.778937879
17800,74.55,16.778886556
17900,74.97,16.778835807
18000,75.37,16.778785622
18100,75.78,16.778735991
18200,76.19,16.778686906
18300,76.58,16.778638357
18400,76.99,16.778590336
18500,77.40,16.778542834
18600,77.79,16.778495843
18700,78.22,16.778449354
18800,78.64,16.778403360
18900,79.05,16.778357852
19000,79.46,16.778312824
19100,79.87,16.778268267
19200,80.28,16.778224174
19300,80.68,16.778180538
19400,81.08,16.778137351
19500,81.49,16.778094608
19600,81.93,16.778052301
19700,82.34,16.778010423
19800,82.76,16.777968969
19900,83.17,16.777927930
20000,83.56,16.777887303
20100,83.96,16.777847079
20200,84.35,16.777807254
20300,84.76,16.777767821
20400,85.16,16.777728775
20500,85.56,16.777690109
20600,85.96,16.777651819
20700,86.36,16.777613899
20800,86.79,16.777576344
20900,87.19,16.777539148
21000,87.59,16.777502306
21100,88.00,16.777465813
21200,88.40,16.777429665
21300,88.83,16.777393856
21400,89.23,16.777358381
21500,89.63,16.777323237
21600,90.03,16.777288418
21700,90.43,16.777253920
21800,90.85,16.777219738
21900,91.25,16.777185868
22000,91.65,16.777152307
22100,92.05,16.777119049
22200,92.45,16.777086091
22300,92.84,16.777053428
22400,93.24,16.777021057
22500,93.63,16.776988974
22600,94.03,16.776957174
22700,94.44,16.776925655
22800,94.85,16.776894412
22900,95.28,16.776863442
23000,95.73,16.776832741
23100,96.13,16.776802306
23200,96.54,16.776772134
23300,96.94,16.776742220
23400,97.34,16.776712563
23500,97.75,16.776683157
23600,98.20,16.776654001
23700,98.64,16.776625090
23800,99.05,16.776596423
23900,99.46,16.776567996
24000,99.88,16.776539805
24100,100.28,16.776511849
24200,100.71,16.776484123
24300,101.15,16.776456626
24400,101.58,16.776429354
24500,102.03,16.776402304
24600,102.52,16.776375475
24700,102.92,16.776348862
24800,103.32,16.776322465
24900,103.75,16.776296279
25000,104.17,16.776270303
25100,104.59,16.776244534
25200,104.99,16.776218969
25300,105.39,16.776193606
25400,105.81,16.776168444
25500,106.24,16.776143478
25600,106.66,16.776118708
25700,107.10,16.776094130
25800,107.52,16.776069743
25900,107.94,16.776045544
26000,108.36,16.776021531
26100,108.78,16.775997702
26200,109.21,16.775974055
26300,109.65,16.775950588
26400,110.05,16.775927299
26500,110.46,16.775904185
26600,110.87,16.775881246
26700,111.28,16.775858478
26800,111.70,16.775835880
26900,112.13,16.775813450
27000,112.53,16.775791186
27100,112.93,16.775769086
27200,113.32,16.775747149
27300,113.71,16.775725373
27400,114.11,16.775703755
27500,114.54,16.775682295
27600,114.93,16.775660990
27700,115.33,16.775639839
27800,115.75,16.775618841
27900,116.14,16.775597992
28000,116.54,16.775577293
28100,116.93,16.775556741
28200,117.33,16.775536335
28300,117.73,16.775516073
28400,118.15,16.775495954
28500,118.57,16.775475975
28600,118.98,16.775456137
28700,119.40,16.775436437
28800,119.79,16.775416873
28900,120.21,16.775397445
29000,120.60,16.775378151
29100,121.00,16.775358990
29200,121.44,16.775339960
29300,121.85,16.775321059
29400,122.26,16.775302288
29500,122.67,16.775283643
29600,123.07,16.775265125
29700,123.47,16.775246731
29800,123.86,16.775228460
29900,124.27,16.775210312
30000,124.66,16.775192285
30100,125.06,16.775174378
30200,125.46,16.775156589
30300,125.87,16.775138917
30400,126.27,16.775121362
30500,126.68,16.775103922
30600,127.07,16.775086596
30700,127.46,16.775069383
30800,127.85,16.775052282
30900,128.26,16.775035291
31000,128.66,16.775018410
31100,129.05,16.775001637
31200,129.44,16.774984972
31300,129.84,16.774968414
31400,130.24,16.774951961
31500,130.65,16.774935612
31600,131.06,16.774919367
31700,131.46,16.774903224
31800,131.87,16.774887183
31900,132.26,16.774871242
32000,132.66,16.774855402
32100,133.09,16.774839659
32200,133.52,16.774824015
32300,133.93,16.774808467
32400,134.34,16.774793016
32500,134.75,16.774777659
32600,135.17,16.774762397
32700,135.58,16.774747228
32800,135.98,16.774732151
32900,136.37,16.774717166
33000,136.78,16.774702272
33100,137.17,16.774687468
33200,137.56,16.774672753
33300,137.96,16.774658127
33400,138.39,16.774643588
33500,138.80,16.774629136
33600,139.20,16.774614770
33700,139.61,16.774600489
33800,140.01,16.774586292
33900,140.44,16.774572180
34000,140.88,16.774558150
34100,141.29,16.774544203
34200,141.71,16.774530337
34300,142.16,16.774516552
34400,142.58,16.774502848
34500,143.03,16.774489222
34600,143.47,16.774475676
34700,143.92,16.774462207
34800,144.35,16.774448816
34900,144.78,16.774435502
35000,145.20,16.774422264
35100,145.62,16.774409101
35200,146.04,16.774396013
35300,146.45,16.774382999
35400,146.86,16.774370058
35500,147.28,16.774357191
35600,147.71,16.774344396
35700,148.11,16.774331672
35800,148.54,16.774319020
35900,148.96,16.774306438
36000,149.38,16.774293926
36100,149.81,16.774281483
36200,150.25,16.774269109
36300,150.68,16.774256803
36400,151.12,16.774244565
36500,151.53,16.774232394
36600,151.95,16.774220289
36700,152.36,16.774208251
36800,152.76,16.774196278
36900,153.17,16.774184369
37000,153.56,16.774172525
37100,153.95,16.774160745
