# iteration,run time [seconds],cost
100,3.36,30.408790752
200,6.15,25.399965172
300,8.95,23.719262901
400,11.76,22.876816127
500,14.58,22.370675450
600,17.44,22.032967611
700,20.32,21.791610082
800,23.18,21.610516606
900,26.04,21.469621459
1000,28.89,21.356877191
1100,31.74,21.264613263
1200,34.60,21.187713851
1300,37.48,21.122636026
1400,40.36,21.066848396
1500,43.23,21.018494162
1600,46.12,20.976180431
1700,49.00,20.938841860
1800,51.87,20.905649715
1900,54.71,20.875949643
2000,57.57,20.849218093
2100,60.40,20.825031194
2200,63.26,20.803042104
2300,66.14,20.782964279
2400,68.99,20.764558908
2500,71.83,20.747625379
2600,74.70,20.731993928
2700,77.56,20.717519933
2800,80.43,20.704079426
2900,83.31,20.691565531
3000,86.16,20.679885618
3100,89.02,20.668959005
3200,91.89,20.658715091
3300,94.75,20.649091833
3400,97.64,20.640034482
3500,100.50,20.631494547
3600,103.36,20.623428920
3700,106.21,20.615799156
3800,109.05,20.608570852
3900,111.90,20.601713136
4000,114.76,20.595198220
4100,117.60,20.589001027
4200,120.47,20.583098868
4300,123.33,20.577471164
4400,126.19,20.572099207
4500,129.04,20.566965951
4600,131.89,20.562055831
4700,134.76,20.557354608
4800,137.65,20.552849228
4900,140.51,20.548527704
5000,143.41,20.544379007
5100,146.25,20.540392971
5200,149.08,20.536560215
5300,151.92,20.532872064
5400,154.74,20.529320486
5500,157.56,20.525898033
5600,160.38,20.522597789
5700,163.20,20.519413322
5800,166.02,20.516338645
5900,168.84,20.513368177
6000,171.66,20.510496709
6100,174.48,20.507719371
6200,177.29,20.505031610
6300,180.11,20.502429162
6400,182.92,20.499908027
6500,185.74,20.497464454
6600,188.55,20.495094917
6700,191.36,20.492796103
6800,194.18,20.490564890
6900,196.99,20.488398341
7000,199.80,20.486293684
7100,202.62,20.484248306
7200,205.43,20.482259735
7300,208.25,20.480325638
7400,211.07,20.478443807
7500,213.89,20.476612152
7600,216.70,20.474828692
7700,219.51,20.473091549
7800,222.33,20.471398943
7900,225.14,20.469749182
8000,227.96,20.468140660
8100,230.77,20.466571850
8200,233.59,20.465041298
8300,236.43,20.463547623
8400,239.27,20.462089508
8500,242.13,20.460665697
8600,244.99,20.459274994
8700,247.84,20.457916257
8800,250.68,20.456588398
8900,253.50,20.455290374
9000,256.32,20.454021193
9100,259.18,20.452779902
9200,262.03,20.451565593
9300,264.87,20.450377396
9400,267.73,20.449214476
9500,270.56,20.448076037
9600,273.40,20.446961312
9700,276.22,20.445869569
9800,279.05,20.444800105
9900,281.90,20.443752243
10000,284.73,20.442725337
10100,287.57,20.441718763
10200,290.40,20.440731924
10300,293.22,20.439764246
10400,296.08,20.438815174
10500,298.90,20.437884179
10600,301.73,20.436970748
10700,304.55,20.436074388
10800,307.40,20.435194627
10900,310.27,20.434331006
11000,313.13,20.433483086
11100,315.97,20.432650443
11200,318.81,20.431832666
11300,321.66,20.431029363
11400,324.51,20.430240151
11500,327.36,20.429464664
11600,330.23,20.428702546
11700,333.10,20.427953454
11800,335.97,20.427217058
11900,338.81,20.426493037
12000,341.66,20.425781082
12100,344.50,20.425080894
12200,347.39,20.424392184
12300,350.22,20.423714671
12400,353.07,20.423048085
12500,355.94,20.422392163
12600,358.81,20.421746652
12700,361.66,20.421111306
12800,364.51,20.420485887
12900,367.35,20.419870163
13000,370.19,20.419263911
13100,373.04,20.418666914
13200,375.87,20.418078961
13300,378.70,20.417499850
13400,381.53,20.416929381
13500,384.36,20.416367363
13600,387.20,20.415813609
13700,390.03,20.415267939
13800,392.86,20.414730177
13900,395.70,20.414200151
14000,398.52,20.413677697
14100,401.34,20.413162653
14200,404.18,20.412654863
14300,407.02,20.412154174
14400,409.86,20.411660438
14500,412.70,20.411173513
14600,415.54,20.410693257
14700,418.37,20.410219534
14800,421.21,20.409752213
14900,424.02,20.409291164
15000,426.86,20.408836262
15100,429.70,20.408387385
15200,432.54,20.407944414
15300,435.36,20.407507233
15400,438.19,20.407075729
15500,441.01,20.406649793
15600,443.85,20.406229317
15700,446.67,20.405814197
15800,449.48,20.405404331
15900,452.30,20.404999621
16000,455.13,20.404599969
16100,457.95,20.404205282
16200,460.79,20.403815467
16300,463.62,20.403430434
16400,466.45,20.403050097
16500,469.27,20.402674370
