# iteration,run time [seconds],cost
100,25.07,21.806898743
200,49.58,19.362198329
300,74.25,18.541883572
400,98.85,18.130703357
500,123.69,17.883666941
600,148.57,17.718838982
700,173.41,17.601037546
800,198.34,17.512649701
900,223.44,17.443881800
1000,248.68,17.388853739
1100,273.94,17.343821693
1200,299.39,17.306288739
1300,324.54,17.274525646
1400,349.61,17.247296900
1500,374.78,17.223696235
1600,399.91,17.203043810
1700,425.12,17.184819653
1800,450.30,17.168619279
1900,475.26,17.154123310
2000,500.26,17.141076214
2100,525.29,17.129271107
2200,550.40,17.118538703
2300,575.46,17.108739147
2400,600.66,17.099755880
2500,625.74,17.091490987
2600,651.42,17.083861611
2700,676.57,17.076797164
2800,701.64,17.070237141
2900,726.56,17.064129377
3000,751.60,17.058428662
3100,776.62,17.053095616
3200,801.68,17.048095782
3300,826.58,17.043398875
3400,851.50,17.038978177
3500,876.46,17.034810017
3600,901.31,17.030873358
3700,926.25,17.027149433
3800,951.14,17.023621453
3900,975.96,17.020274349
4000,1000.85,17.017094558
4100,1025.73,17.014069841
4200,1050.61,17.011189123
4300,1075.54,17.008442362
4400,1100.63,17.005820425
4500,1125.38,17.003314992
4600,1150.12,17.000918468
4700,1175.11,16.998623902
4800,1200.17,16.996424923
4900,1224.98,16.994315679
5000,1249.71,16.992290789
5100,1274.72,16.990345291
5200,1299.69,16.988474605
5300,1324.66,16.986674497
5400,1349.66,16.984941048
5500,1374.68,16.983270622
5600,1399.72,16.981659843
5700,1424.77,16.980105573
5800,1449.79,16.978604890
5900,1474.83,16.977155068
6000,1499.87,16.975753566
6100,1524.91,16.974398007
6200,1550.01,16.973086168
6300,1575.13,16.971815969
6400,1600.24,16.970585457
6500,1625.39,16.969392802
6600,1650.53,16.968236281
6700,1675.74,16.967114279
6800,1700.84,16.966025272
6900,1726.01,16.964967826
7000,1751.16,16.963940588
7100,1776.13,16.962942283
7200,1800.99,16.961971704
7300,1825.83,16.961027713
7400,1850.68,16.960109232
7500,1875.60,16.959215240
7600,1900.52,16.958344771
7700,1925.51,16.957496909
7800,1950.42,16.956670784
7900,1975.40,16.955865571
8000,2000.33,16.955080486
8100,2025.27,16.954314783
8200,2050.17,16.953567754
8300,2075.08,16.952838723
8400,2100.07,16.952127048
8500,2125.01,16.951432117
8600,2149.91,16.950753344
8700,2174.86,16.950090174
8800,2199.84,16.949442074
8900,2224.79,16.948808537
9000,2249.67,16.948189077
9100,2274.58,16.947583229
9200,2299.52,16.946990551
9300,2324.47,16.946410617
9400,2349.53,16.945843021
9500,2374.46,16.945287373
9600,2399.37,16.944743300
9700,2424.09,16.944210444
9800,2448.85,16.943688461
9900,2473.65,16.943177022
10000,2498.48,16.942675811
10100,2523.58,16.942184524
10200,2548.57,16.941702870
10300,2573.48,16.941230566
10400,2598.42,16.940767345
10500,2623.33,16.940312946
10600,2648.27,16.939867120
10700,2673.21,16.939429626
10800,2698.10,16.939000233
10900,2722.97,16.938578719
11000,2747.86,16.938164867
11100,2772.73,16.937758472
11200,2797.64,16.937359333
11300,2822.69,16.936967257
11400,2847.71,16.936582060
11500,2872.74,16.936203561
11600,2897.71,16.935831588
11700,2922.74,16.935465972
11800,2947.83,16.935106553
11900,2972.92,16.934753174
12000,2998.06,16.934405684
12100,3023.09,16.934063937
12200,3048.12,16.933727792
12300,3073.11,16.933397113
12400,3098.06,16.933071767
12500,3123.02,16.932751625
12600,3148.13,16.932436565
12700,3173.25,16.932126466
12800,3198.42,16.931821212
12900,3223.62,16.931520691
13000,3248.79,16.931224792
13100,3273.88,16.930933411
13200,3298.92,16.930646444
13300,3324.04,16.930363792
13400,3349.25,16.930085358
13500,3374.36,16.929811049
13600,3399.49,16.929540774
13700,3424.54,16.929274444
13800,3449.62,16.929011974
13900,3474.73,16.928753280
14000,3499.81,16.928498281
14100,3524.76,16.928246899
14200,3549.75,16.927999058
14300,3574.76,16.927754682
14400,3599.78,16.927513700
14500,3624.76,16.927276042
14600,3649.79,16.927041640
14700,3674.84,16.926810426
14800,3699.95,16.926582337
14900,3725.09,16.926357309
15000,3750.19,16.926135281
15100,3775.30,16.925916193
15200,3800.39,16.925699989
15300,3825.43,16.925486610
15400,3850.44,16.925276002
15500,3875.57,16.925068112
15600,3900.66,16.924862886
15700,3925.71,16.924660275
15800,3950.77,16.924460229
15900,3975.86,16.924262698
16000,4000.96,16.924067637
16100,4026.02,16.923874998
16200,4051.00,16.923684738
16300,4075.96,16.923496812
16400,4100.97,16.923311177
16500,4126.02,16.923127793
16600,4151.15,16.922946618
16700,4176.16,16.922767612
16800,4201.11,16.922590738
16900,4226.06,16.922415956
17000,4251.09,16.922243231
17100,4276.15,16.922072525
17200,4301.24,16.921903805
17300,4326.30,16.921737035
17400,4351.40,16.921572182
17500,4376.46,16.921409212
17600,4401.57,16.921248095
17700,4426.65,16.921088797
17800,4451.68,16.920931290
17900,4476.68,16.920775543
18000,4501.71,16.920621525
18100,4526.78,16.920469210
18200,4551.90,16.920318568
18300,4576.98,16.920169573
18400,4601.95,16.920022197
18500,4626.94,16.919876414
18600,4651.96,16.919732198
18700,4677.03,16.919589525
18800,4702.10,16.919448370
18900,4727.06,16.919308708
19000,4752.09,16.919170517
19100,4777.16,16.919033772
19200,4802.26,16.918898452
19300,4827.37,16.918764534
19400,4852.36,16.918631996
19500,4877.39,16.918500818
19600,4902.48,16.918370978
19700,4927.57,16.918242456
19800,4952.69,16.918115232
19900,4977.89,16.917989287
20000,5003.10,16.917864602
20100,5028.27,16.917741157
20200,5053.38,16.917618934
20300,5078.52,16.917497915
20400,5103.58,16.917378083
20500,5128.46,16.917259419
20600,5153.30,16.917141908
20700,5178.18,16.917025532
20800,5202.96,16.916910275
20900,5227.69,16.916796121
21000,5252.37,16.916683054
21100,5277.06,16.916571058
21200,5301.75,16.916460119
21300,5326.61,16.916350222
21400,5351.41,16.916241352
21500,5376.13,16.916133495
21600,5400.85,16.916026636
