# iteration,run time [seconds],cost
100,1.60,65.603817689
200,1.89,61.389890481
300,2.21,59.975914906
400,2.51,59.267164056
500,2.80,58.841347678
600,3.12,58.557233921
700,3.45,58.354179724
800,3.75,58.201825701
900,4.06,58.083290551
1000,4.44,57.988438748
1100,4.76,57.910817063
1200,5.10,57.846121554
1300,5.45,57.791371550
1400,5.77,57.744437392
1500,6.08,57.703756953
1600,6.38,57.668158393
1700,6.73,57.636745436
1800,7.07,57.608820870
1900,7.37,57.583834186
2000,7.68,57.561344921
2100,8.01,57.540996472
2200,8.36,57.522497041
2300,8.70,57.505605557
2400,9.03,57.490121111
2500,9.33,57.475874925
2600,9.65,57.462724178
2700,10.04,57.450547200
2800,10.35,57.439239695
2900,10.67,57.428711750
3000,10.96,57.418885434
3100,11.31,57.409692869
3200,11.64,57.401074660
3300,11.97,57.392978608
3400,12.30,57.385358655
3500,12.63,57.378174004
3600,12.97,57.371388388
3700,13.32,57.364969464
3800,13.63,57.358888289
3900,13.94,57.353118889
4000,14.28,57.347637887
4100,14.59,57.342424186
4200,14.91,57.337458697
4300,15.24,57.332724108
4400,15.55,57.328204678
4500,15.87,57.323886067
4600,16.18,57.319755181
4700,16.51,57.315800040
4800,16.81,57.312009662
4900,17.17,57.308373962
5000,17.48,57.304883661
5100,17.81,57.301530207
5200,18.13,57.298305708
5300,18.45,57.295202865
5400,18.77,57.292214921
5500,19.10,57.289335609
5600,19.42,57.286559112
5700,19.71,57.283880019
5800,20.04,57.281293292
5900,20.34,57.278794236
6000,20.64,57.276378468
6100,20.95,57.274041893
6200,21.25,57.271780678
6300,21.60,57.269591237
6400,21.94,57.267470206
6500,22.26,57.265414427
6600,22.57,57.263420934
6700,22.90,57.261486940
6800,23.21,57.259609820
6900,23.53,57.257787101
7000,23.95,57.256016453
7100,24.31,57.254295675
7200,24.64,57.252622689
7300,24.94,57.250995533
7400,25.24,57.249412348
7500,25.58,57.247871375
7600,25.94,57.246370949
7700,26.24,57.244909491
7800,26.60,57.243485500
7900,26.90,57.242097556
8000,27.26,57.240744305
8100,27.62,57.239424464
8200,27.94,57.238136811
8300,28.23,57.236880182
8400,28.59,57.235653468
8500,28.97,57.234455615
8600,29.32,57.233285616
8700,29.71,57.232142511
8800,30.04,57.231025382
8900,30.35,57.229933354
9000,30.71,57.228865591
9100,31.11,57.227821293
9200,31.40,57.226799694
9300,31.75,57.225800063
9400,32.13,57.224821698
9500,32.50,57.223863929
9600,32.82,57.222926110
9700,33.26,57.222007627
9800,33.60,57.221107886
9900,33.92,57.220226319
10000,34.26,57.219362382
10100,34.62,57.218515552
10200,35.06,57.217685324
10300,35.44,57.216871215
10400,35.82,57.216072761
10500,36.27,57.215289514
10600,36.68,57.214521044
10700,37.14,57.213766936
10800,37.51,57.213026793
10900,37.97,57.212300228
11000,38.36,57.211586873
11100,38.80,57.210886369
11200,39.21,57.210198374
11300,39.61,57.209522554
11400,39.99,57.208858590
11500,40.35,57.208206172
11600,40.71,57.207565002
11700,41.01,57.206934791
11800,41.37,57.206315260
11900,41.72,57.205706141
12000,42.05,57.205107173
12100,42.45,57.204518105
12200,42.80,57.203938692
12300,43.21,57.203368701
12400,43.61,57.202807902
12500,43.93,57.202256074
12600,44.34,57.201713006
12700,44.73,57.201178489
12800,45.12,57.200652323
12900,45.56,57.200134314
13000,45.91,57.199624274
13100,46.28,57.199122020
13200,46.68,57.198627376
13300,46.99,57.198140169
13400,47.38,57.197660233
13500,47.84,57.197187407
13600,48.20,57.196721534
13700,48.59,57.196262462
13800,48.95,57.195810042
13900,49.36,57.195364131
14000,49.72,57.194924590
14100,50.13,57.194491283
14200,50.54,57.194064079
14300,50.98,57.193642849
14400,51.40,57.193227469
14500,51.75,57.192817819
14600,52.11,57.192413779
14700,52.45,57.192015236
14800,52.86,57.191622079
14900,53.21,57.191234198
15000,53.57,57.190851489
15100,54.01,57.190473849
15200,54.37,57.190101177
15300,54.78,57.189733376
15400,55.14,57.189370352
15500,55.53,57.189012011
15600,55.91,57.188658265
15700,56.24,57.188309024
15800,56.54,57.187964204
15900,56.85,57.187623721
16000,57.18,57.187287494
16100,57.52,57.186955443
16200,57.84,57.186627491
16300,58.17,57.186303563
16400,58.50,57.185983586
16500,58.80,57.185667486
16600,59.19,57.185355195
16700,59.52,57.185046643
16800,59.85,57.184741765
16900,60.19,57.184440494
17000,60.50,57.184142767
17100,60.82,57.183848523
17200,61.13,57.183557699
17300,61.44,57.183270238
17400,61.74,57.182986081
17500,62.06,57.182705170
17600,62.38,57.182427452
17700,62.71,57.182152872
17800,63.05,57.181881377
17900,63.38,57.181612915
18000,63.73,57.181347436
18100,64.07,57.181084890
18200,64.37,57.180825229
18300,64.67,57.180568405
18400,65.00,57.180314374
18500,65.31,57.180063088
18600,65.67,57.179814504
18700,65.98,57.179568579
18800,66.30,57.179325269
18900,66.63,57.179084535
19000,66.97,57.178846334
19100,67.29,57.178610627
19200,67.62,57.178377376
19300,67.96,57.178146541
19400,68.28,57.177918086
19500,68.57,57.177691974
19600,68.89,57.177468169
19700,69.19,57.177246637
19800,69.58,57.177027341
19900,69.91,57.176810250
20000,70.25,57.176595330
20100,70.58,57.176382548
20200,70.91,57.176171872
20300,71.21,57.175963272
