# iteration,run time [seconds],cost
100,24.41,35.859946002
200,48.05,26.423679787
300,71.63,23.257357902
400,95.27,21.670248926
500,119.01,20.716716388
600,142.66,20.080499171
700,166.68,19.625798991
800,190.67,19.284631940
900,214.59,19.019195644
1000,238.30,18.806793572
1100,262.23,18.632974984
1200,286.03,18.488102038
1300,309.83,18.365500107
1400,333.69,18.260400236
1500,357.67,18.169304345
1600,381.85,18.089588328
1700,405.96,18.019245152
1800,430.14,17.956713545
1900,454.05,17.900760750
2000,477.84,17.850400438
2100,502.08,17.804834064
2200,526.04,17.763408205
2300,549.94,17.725583029
2400,573.88,17.690908639
2500,597.94,17.659007090
2600,622.10,17.629558563
2700,646.21,17.602290601
2800,670.20,17.576969656
2900,693.91,17.553394380
3000,717.91,17.531390266
3100,741.89,17.510805314
3200,765.96,17.491506520
3300,789.95,17.473376995
3400,813.92,17.456313600
3500,837.92,17.440224977
3600,861.82,17.425029918
3700,885.78,17.410655992
3800,909.95,17.397038389
3900,933.85,17.384118946
4000,957.42,17.371845313
4100,981.27,17.360170249
4200,1005.20,17.349051007
4300,1029.07,17.338448819
4400,1052.90,17.328328440
4500,1076.85,17.318657755
4600,1100.90,17.309407443
4700,1124.90,17.300550678
4800,1148.80,17.292062868
4900,1172.59,17.283921428
5000,1196.19,17.276105581
5100,1220.08,17.268596177
5200,1244.08,17.261375542
5300,1268.03,17.254427331
5400,1291.87,17.247736414
5500,1315.69,17.241288759
5600,1339.77,17.235071337
5700,1363.82,17.229072031
5800,1387.79,17.223279562
5900,1411.87,17.217683415
6000,1436.44,17.212273774
6100,1461.39,17.207041470
6200,1486.18,17.201977923
6300,1511.85,17.197075098
6400,1537.41,17.192325462
6500,1562.53,17.187721947
6600,1587.54,17.183257910
6700,1612.33,17.178927109
6800,1636.56,17.174723665
6900,1661.20,17.170642043
7000,1685.41,17.166677022
7100,1709.56,17.162823676
7200,1734.42,17.159077352
7300,1759.27,17.155433654
7400,1784.16,17.151888420
7500,1810.70,17.148437713
