# iteration,run time [seconds],cost
100,3.45,26.900621794
200,6.32,21.913605910
300,9.21,20.240221843
400,12.09,19.401443296
500,14.94,18.897506484
600,17.79,18.561269110
700,20.67,18.320962513
800,23.52,18.140657564
900,26.41,18.000375911
1000,29.32,17.888122560
1100,32.22,17.796260372
1200,35.10,17.719695800
1300,37.99,17.654901339
1400,40.89,17.599356623
1500,43.78,17.551212936
1600,46.69,17.509083450
1700,49.59,17.471907460
1800,52.47,17.438859843
1900,55.36,17.409289092
2000,58.24,17.382673938
2100,61.11,17.358592355
2200,63.99,17.336699011
2300,66.83,17.316708610
2400,69.68,17.298383381
2500,72.54,17.281523584
2600,75.43,17.265960196
2700,78.33,17.251549225
2800,81.21,17.238167242
2900,84.09,17.225707836
3000,86.94,17.214078780
3100,89.79,17.203199744
3200,92.65,17.193000435
3300,95.53,17.183419079
3400,98.41,17.174401166
3500,101.29,17.165898415
3600,104.14,17.157867909
3700,107.02,17.150271366
3800,109.88,17.143074536
3900,112.74,17.136246680
4000,115.59,17.129760131
4100,118.45,17.123589923
4200,121.31,17.117713463
4300,124.22,17.112110264
4400,127.12,17.106761698
4500,130.00,17.101650793
4600,132.89,17.096762053
4700,135.78,17.092081300
4800,138.66,17.087595539
4900,141.57,17.083292831
5000,144.45,17.079162198
5100,147.36,17.075193519
5200,150.25,17.071377452
5300,153.14,17.067705360
5400,156.02,17.064169247
5500,158.91,17.060761696
5600,161.77,17.057475821
5700,164.64,17.054305220
5800,167.49,17.051243932
5900,170.38,17.048286398
6000,173.25,17.045427432
6100,176.13,17.042662188
6200,179.03,17.039986131
6300,181.92,17.037395014
6400,184.81,17.034884857
6500,187.71,17.032451924
6600,190.61,17.030092705
6700,193.52,17.027803899
6800,196.42,17.025582402
6900,199.32,17.023425287
7000,202.23,17.021329794
7100,205.12,17.019293322
7200,208.01,17.017313410
7300,210.90,17.015387735
7400,213.80,17.013514098
7500,216.68,17.011690418
7600,219.55,17.009914723
7700,222.46,17.008185144
7800,225.34,17.006499908
7900,228.22,17.004857331
8000,231.11,17.003255813
8100,233.99,17.001693833
8200,236.86,17.000169947
8300,239.72,16.998682775
8400,242.60,16.997231009
8500,245.49,16.995813397
8600,248.38,16.994428750
8700,251.26,16.993075930
8800,254.14,16.991753852
8900,257.03,16.990461481
9000,259.91,16.989197825
9100,262.78,16.987961940
9200,265.66,16.986752918
9300,268.53,16.985569894
9400,271.41,16.984412038
9500,274.28,16.983278556
9600,277.13,16.982168685
9700,280.01,16.981081696
9800,282.89,16.980016888
9900,285.80,16.978973589
10000,288.70,16.977951154
10100,291.57,16.976948964
10200,294.44,16.975966422
10300,297.34,16.975002956
10400,300.22,16.974058018
10500,303.11,16.973131076
10600,306.00,16.972221622
10700,308.87,16.971329166
10800,311.76,16.970453235
10900,314.63,16.969593374
11000,317.53,16.968749147
11100,320.42,16.967920129
11200,323.31,16.967105913
11300,326.21,16.966306108
11400,329.10,16.965520332
11500,331.99,16.964748221
11600,334.87,16.963989422
11700,337.74,16.963243592
11800,340.62,16.962510402
11900,343.49,16.961789534
12000,346.37,16.961080679
12100,349.24,16.960383540
12200,352.08,16.959697828
12300,354.96,16.959023266
12400,357.85,16.958359582
12500,360.71,16.957706517
12600,363.58,16.957063816
12700,366.44,16.956431237
12800,369.31,16.955808540
12900,372.18,16.955195497
13000,375.04,16.954591885
13100,377.88,16.953997488
13200,380.72,16.953412095
13300,383.55,16.952835505
13400,386.40,16.952267521
13500,389.25,16.951707950
13600,392.09,16.951156607
13700,394.94,16.950613313
13800,397.81,16.950077892
13900,400.68,16.949550175
14000,403.56,16.949029995
14100,406.43,16.948517194
14200,409.31,16.948011615
14300,412.19,16.947513106
14400,415.07,16.947021520
14500,417.94,16.946536715
14600,420.83,16.946058550
14700,423.70,16.945586890
14800,426.59,16.945121604
14900,429.45,16.944662563
15000,432.35,16.944209642
15100,435.24,16.943762719
15200,438.10,16.943321677
15300,440.99,16.942886399
15400,443.86,16.942456774
15500,446.74,16.942032693
15600,449.65,16.941614047
15700,452.53,16.941200735
15800,455.40,16.940792654
15900,458.27,16.940389706
16000,461.11,16.939991794
16100,463.96,16.939598825
16200,466.80,16.939210708
16300,469.64,16.938827352
16400,472.49,16.938448671
16500,475.33,16.938074579
16600,478.18,16.937704995
16700,481.03,16.937339836
16800,483.87,16.936979025
16900,486.75,16.936622483
17000,489.66,16.936270135
17100,492.53,16.935921908
17200,495.37,16.935577731
17300,498.22,16.935237531
17400,501.05,16.934901242
17500,503.90,16.934568796
17600,506.74,16.934240128
17700,509.58,16.933915173
17800,512.43,16.933593869
17900,515.26,16.933276155
18000,518.10,16.932961971
18100,520.97,16.932651258
18200,523.85,16.932343960
18300,526.70,16.932040020
18400,529.55,16.931739383
18500,532.38,16.931441996
18600,535.22,16.931147807
18700,538.06,16.930856764
18800,540.90,16.930568817
18900,543.74,16.930283917
19000,546.58,16.930002016
19100,549.42,16.929723066
19200,552.26,16.929447022
19300,555.13,16.929173839
19400,558.00,16.928903472
19500,560.88,16.928635877
19600,563.75,16.928371013
19700,566.61,16.928108838
19800,569.49,16.927849311
19900,572.37,16.927592392
20000,575.24,16.927338042
20100,578.11,16.927086223
20200,580.98,16.926836897
20300,583.86,16.926590027
20400,586.73,16.926345577
20500,589.58,16.926103512
20600,592.47,16.925863798
20700,595.35,16.925626399
20800,598.26,16.925391282
20900,601.16,16.925158416
21000,604.03,16.924927767
21100,606.90,16.924699305
21200,609.79,16.924472997
21300,612.68,16.924248815
21400,615.58,16.924026727
21500,618.48,16.923806705
21600,621.37,16.923588721
21700,624.25,16.923372745
21800,627.13,16.923158751
21900,630.02,16.922946711
22000,632.92,16.922736599
22100,635.82,16.922528388
22200,638.71,16.922322052
22300,641.59,16.922117567
22400,644.50,16.921914908
22500,647.40,16.921714050
22600,650.27,16.921514970
22700,653.15,16.921317643
22800,656.03,16.921122047
22900,658.92,16.920928160
23000,661.80,16.920735958
23100,664.68,16.920545421
23200,667.56,16.920356526
23300,670.44,16.920169252
23400,673.33,16.919983579
23500,676.22,16.919799486
23600,679.10,16.919616953
23700,681.98,16.919435960
23800,684.86,16.919256488
23900,687.74,16.919078518
24000,690.64,16.918902031
24100,693.54,16.918727008
24200,696.43,16.918553432
24300,699.33,16.918381285
24400,702.20,16.918210548
24500,705.07,16.918041206
24600,707.95,16.917873240
24700,710.82,16.917706633
24800,713.69,16.917541371
24900,716.54,16.917377436
25000,719.41,16.917214812
25100,722.27,16.917053484
25200,725.14,16.916893436
25300,728.00,16.916734654
25400,730.86,16.916577121
25500,733.73,16.916420825
25600,736.59,16.916265749
25700,739.44,16.916111880
25800,742.31,16.915959203
25900,745.20,16.915807706
26000,748.07,16.915657374
26100,750.96,16.915508194
26200,753.84,16.915360152
26300,756.74,16.915213237
26400,759.63,16.915067434
26500,762.52,16.914922732
26600,765.41,16.914779117
26700,768.27,16.914636579
26800,771.13,16.914495104
26900,774.00,16.914354681
27000,776.86,16.914215298
27100,779.73,16.914076943
27200,782.59,16.913939606
27300,785.46,16.913803275
27400,788.33,16.913667939
27500,791.20,16.913533587
27600,794.07,16.913400209
27700,796.95,16.913267794
27800,799.83,16.913136331
27900,802.70,16.913005811
28000,805.58,16.912876223
28100,808.44,16.912747557
28200,811.29,16.912619804
28300,814.16,16.912492953
28400,817.07,16.912366996
28500,819.98,16.912241923
28600,822.87,16.912117724
28700,825.73,16.911994391
28800,828.59,16.911871915
28900,831.45,16.911750285
29000,834.30,16.911629495
29100,837.16,16.911509535
29200,840.03,16.911390396
29300,842.88,16.911272071
29400,845.75,16.911154550
29500,848.63,16.911037826
29600,851.49,16.910921891
29700,854.34,16.910806737
29800,857.20,16.910692355
29900,860.06,16.910578739
30000,862.92,16.910465880
30100,865.78,16.910353770
30200,868.64,16.910242403
30300,871.49,16.910131772
30400,874.35,16.910021868
30500,877.23,16.909912684
30600,880.12,16.909804215
30700,883.00,16.909696452
30800,885.87,16.909589388
30900,888.73,16.909483018
31000,891.59,16.909377334
31100,894.46,16.909272329
31200,897.32,16.909167998
31300,900.19,16.909064333
31400,903.06,16.908961328
31500,905.91,16.908858978
31600,908.78,16.908757275
31700,911.67,16.908656214
31800,914.60,16.908555788
31900,917.50,16.908455992
32000,920.38,16.908356820
32100,923.25,16.908258265
32200,926.13,16.908160323
32300,929.01,16.908062987
32400,931.89,16.907966252
32500,934.79,16.907870112
32600,937.67,16.907774562
32700,940.55,16.907679597
32800,943.44,16.907585210
32900,946.31,16.907491397
33000,949.18,16.907398153
33100,952.06,16.907305472
33200,954.93,16.907213350
33300,957.82,16.907121781
33400,960.69,16.907030760
33500,963.57,16.906940282
33600,966.45,16.906850343
33700,969.31,16.906760938
33800,972.16,16.906672061
33900,975.02,16.906583710
34000,977.87,16.906495877
34100,980.74,16.906408560
34200,983.62,16.906321754
34300,986.47,16.906235453
34400,989.35,16.906149655
34500,992.23,16.906064353
34600,995.10,16.905979545
34700,997.96,16.905895226
34800,1000.82,16.905811391
34900,1003.69,16.905728037
35000,1006.57,16.905645158
35100,1009.51,16.905562753
35200,1012.41,16.905480815
35300,1015.29,16.905399341
35400,1018.15,16.905318328
35500,1021.03,16.905237771
35600,1023.91,16.905157667
35700,1026.79,16.905078012
35800,1029.66,16.904998801
35900,1032.53,16.904920032
36000,1035.41,16.904841700
36100,1038.29,16.904763803
36200,1041.16,16.904686336
36300,1044.02,16.904609295
36400,1046.89,16.904532678
36500,1049.73,16.904456480
36600,1052.58,16.904380699
36700,1055.43,16.904305331
36800,1058.28,16.904230373
36900,1061.12,16.904155821
37000,1063.98,16.904081672
37100,1066.85,16.904007922
37200,1069.71,16.903934569
37300,1072.57,16.903861609
37400,1075.42,16.903789040
37500,1078.26,16.903716857
37600,1081.10,16.903645059
37700,1083.95,16.903573641
37800,1086.80,16.903502601
37900,1089.67,16.903431936
38000,1092.55,16.903361643
38100,1095.46,16.903291719
38200,1098.33,16.903222161
38300,1101.21,16.903152966
38400,1104.10,16.903084132
38500,1107.00,16.903015655
38600,1109.87,16.902947533
38700,1112.74,16.902879763
38800,1115.64,16.902812342
38900,1118.52,16.902745268
39000,1121.39,16.902678538
39100,1124.23,16.902612149
39200,1127.09,16.902546099
39300,1129.97,16.902480385
39400,1132.86,16.902415005
39500,1135.75,16.902349956
39600,1138.60,16.902285235
39700,1141.45,16.902220840
39800,1144.33,16.902156769
39900,1147.19,16.902093019
40000,1150.04,16.902029588
40100,1152.88,16.901966473
40200,1155.74,16.901903672
40300,1158.59,16.901841182
40400,1161.44,16.901779002
40500,1164.29,16.901717130
40600,1167.14,16.901655561
40700,1169.99,16.901594296
40800,1172.83,16.901533331
40900,1175.68,16.901472664
41000,1178.53,16.901412292
41100,1181.37,16.901352215
41200,1184.22,16.901292429
41300,1187.07,16.901232933
41400,1189.93,16.901173724
41500,1192.79,16.901114800
41600,1195.64,16.901056160
41700,1198.48,16.900997801
41800,1201.32,16.900939721
41900,1204.16,16.900881919
42000,1206.99,16.900824391
42100,1209.83,16.900767137
42200,1212.68,16.900710155
42300,1215.53,16.900653441
42400,1218.40,16.900596996
42500,1221.24,16.900540816
42600,1224.11,16.900484899
42700,1226.98,16.900429245
42800,1229.83,16.900373850
42900,1232.68,16.900318714
43000,1235.55,16.900263834
43100,1238.41,16.900209209
43200,1241.28,16.900154837
43300,1244.13,16.900100716
43400,1246.98,16.900046844
43500,1249.84,16.899993220
43600,1252.71,16.899939842
43700,1255.57,16.899886708
43800,1258.43,16.899833817
43900,1261.30,16.899781167
44000,1264.17,16.899728756
44100,1267.06,16.899676583
44200,1269.94,16.899624646
44300,1272.82,16.899572943
44400,1275.70,16.899521474
44500,1278.59,16.899470235
44600,1281.45,16.899419227
44700,1284.31,16.899368446
44800,1287.18,16.899317892
44900,1290.04,16.899267564
45000,1292.89,16.899217459
45100,1295.74,16.899167576
45200,1298.58,16.899117914
45300,1301.42,16.899068472
45400,1304.26,16.899019247
45500,1307.10,16.898970238
45600,1309.94,16.898921445
45700,1312.79,16.898872864
45800,1315.65,16.898824497
45900,1318.48,16.898776339
46000,1321.32,16.898728392
46100,1324.15,16.898680652
46200,1327.03,16.898633119
46300,1329.87,16.898585791
46400,1332.74,16.898538667
46500,1335.63,16.898491746
46600,1338.52,16.898445026
46700,1341.41,16.898398506
46800,1344.29,16.898352185
46900,1347.18,16.898306062
47000,1350.07,16.898260135
47100,1352.94,16.898214403
47200,1355.80,16.898168865
47300,1358.66,16.898123519
47400,1361.52,16.898078364
47500,1364.38,16.898033400
47600,1367.23,16.897988625
47700,1370.10,16.897944037
47800,1372.97,16.897899636
47900,1375.83,16.897855420
48000,1378.68,16.897811389
48100,1381.52,16.897767540
48200,1384.36,16.897723874
48300,1387.20,16.897680388
48400,1390.05,16.897637082
48500,1392.91,16.897593955
48600,1395.75,16.897551005
48700,1398.58,16.897508232
48800,1401.42,16.897465633
48900,1404.26,16.897423209
49000,1407.09,16.897380958
49100,1409.93,16.897338880
49200,1412.78,16.897296972
49300,1415.63,16.897255234
49400,1418.47,16.897213666
49500,1421.32,16.897172265
49600,1424.19,16.897131031
49700,1427.07,16.897089963
49800,1429.95,16.897049060
49900,1432.82,16.897008321
50000,1435.70,16.896967745
50100,1438.57,16.896927331
50200,1441.43,16.896887078
50300,1444.30,16.896846985
50400,1447.22,16.896807051
50500,1450.13,16.896767275
50600,1453.05,16.896727656
50700,1456.26,16.896688194
50800,1459.19,16.896648887
50900,1462.10,16.896609734
51000,1465.02,16.896570735
51100,1467.94,16.896531889
51200,1470.96,16.896493195
51300,1474.11,16.896454651
51400,1477.09,16.896416257
51500,1479.98,16.896378012
51600,1482.97,16.896339916
51700,1486.06,16.896301967
51800,1489.00,16.896264164
51900,1491.93,16.896226507
52000,1494.89,16.896188995
52100,1497.89,16.896151627
52200,1500.82,16.896114402
52300,1503.71,16.896077320
52400,1506.73,16.896040379
52500,1509.63,16.896003579
52600,1512.52,16.895966918
52700,1515.42,16.895930397
52800,1518.32,16.895894014
52900,1521.26,16.895857769
53000,1524.17,16.895821660
53100,1527.08,16.895785688
53200,1530.00,16.895749850
53300,1532.91,16.895714147
53400,1535.81,16.895678578
53500,1538.71,16.895643142
53600,1541.61,16.895607838
53700,1544.51,16.895572666
53800,1547.42,16.895537624
53900,1550.40,16.895502712
54000,1553.31,16.895467930
54100,1556.23,16.895433276
54200,1559.15,16.895398750
54300,1562.06,16.895364351
54400,1565.01,16.895330079
54500,1567.94,16.895295932
54600,1570.86,16.895261911
54700,1573.95,16.895228014
54800,1576.87,16.895194241
54900,1579.78,16.895160590
55000,1582.69,16.895127062
55100,1585.60,16.895093656
55200,1588.51,16.895060371
55300,1591.42,16.895027206
55400,1594.32,16.894994161
55500,1597.22,16.894961235
55600,1600.12,16.894928427
55700,1603.02,16.894895737
55800,1605.93,16.894863165
55900,1608.84,16.894830708
56000,1611.78,16.894798368
56100,1614.74,16.894766143
56200,1617.65,16.894734033
56300,1620.60,16.894702037
56400,1623.59,16.894670154
56500,1626.57,16.894638384
56600,1629.54,16.894606727
56700,1632.46,16.894575181
56800,1635.39,16.894543746
56900,1638.37,16.894512422
57000,1641.30,16.894481207
57100,1644.20,16.894450102
57200,1647.12,16.894419106
57300,1650.02,16.894388217
57400,1652.88,16.894357437
57500,1655.75,16.894326763
57600,1658.66,16.894296196
57700,1661.55,16.894265735
57800,1664.43,16.894235380
57900,1667.36,16.894205129
58000,1670.30,16.894174982
58100,1673.28,16.894144940
58200,1676.22,16.894115000
58300,1679.17,16.894085163
58400,1682.31,16.894055429
58500,1685.52,16.894025796
58600,1688.64,16.893996264
58700,1691.74,16.893966833
58800,1694.67,16.893937502
58900,1697.88,16.893908270
59000,1700.83,16.893879138
59100,1703.80,16.893850104
59200,1706.77,16.893821168
59300,1709.70,16.893792330
59400,1712.65,16.893763589
59500,1715.60,16.893734945
59600,1718.53,16.893706397
59700,1721.47,16.893677944
59800,1724.40,16.893649586
59900,1727.33,16.893621324
60000,1730.27,16.893593155
60100,1733.25,16.893565080
60200,1736.22,16.893537098
60300,1739.35,16.893509210
60400,1742.28,16.893481413
60500,1745.21,16.893453709
60600,1748.24,16.893426095
60700,1751.36,16.893398573
60800,1754.29,16.893371142
60900,1757.20,16.893343800
61000,1760.10,16.893316548
61100,1763.19,16.893289386
61200,1766.48,16.893262312
61300,1769.60,16.893235326
61400,1772.70,16.893208428
61500,1775.80,16.893181618
61600,1778.82,16.893154895
61700,1781.84,16.893128258
61800,1784.95,16.893101708
61900,1788.19,16.893075243
62000,1791.25,16.893048864
62100,1794.20,16.893022570
62200,1797.12,16.892996360
62300,1800.09,16.892970235
62400,1803.18,16.892944193
62500,1806.11,16.892918234
62600,1809.21,16.892892359
62700,1812.33,16.892866566
62800,1815.38,16.892840855
62900,1818.45,16.892815226
63000,1821.38,16.892789678
63100,1824.35,16.892764211
63200,1827.75,16.892738825
63300,1832.41,16.892713519
63400,1835.40,16.892688293
63500,1838.38,16.892663146
63600,1841.38,16.892638078
63700,1844.30,16.892613089
63800,1847.23,16.892588179
63900,1850.15,16.892563346
64000,1853.11,16.892538591
64100,1856.09,16.892513913
64200,1859.02,16.892489312
64300,1861.95,16.892464788
64400,1864.88,16.892440340
64500,1867.81,16.892415967
64600,1870.73,16.892391670
64700,1873.77,16.892367448
64800,1876.85,16.892343301
64900,1879.92,16.892319228
65000,1882.83,16.892295230
65100,1885.76,16.892271305
65200,1888.67,16.892247453
65300,1891.58,16.892223675
65400,1894.48,16.892199969
65500,1897.40,16.892176336
65600,1900.36,16.892152774
65700,1903.28,16.892129285
65800,1906.25,16.892105867
65900,1909.19,16.892082519
66000,1912.16,16.892059243
66100,1915.10,16.892036037
66200,1918.03,16.892012901
66300,1921.00,16.891989835
66400,1923.92,16.891966839
66500,1926.84,16.891943911
66600,1929.78,16.891921053
66700,1932.72,16.891898262
66800,1935.65,16.891875541
66900,1938.55,16.891852887
67000,1941.47,16.891830301
67100,1944.44,16.891807782
67200,1947.35,16.891785330
67300,1950.27,16.891762944
67400,1953.18,16.891740626
67500,1956.09,16.891718373
67600,1958.99,16.891696186
67700,1961.90,16.891674065
67800,1964.82,16.891652009
67900,1967.72,16.891630018
68000,1970.64,16.891608092
68100,1973.56,16.891586230
68200,1976.47,16.891564432
68300,1979.38,16.891542698
68400,1982.30,16.891521027
68500,1985.22,16.891499420
68600,1988.15,16.891477876
68700,1991.08,16.891456394
68800,1994.07,16.891434975
68900,1996.98,16.891413618
69000,1999.96,16.891392323
69100,2002.88,16.891371090
69200,2005.80,16.891349918
69300,2008.72,16.891328807
69400,2011.64,16.891307757
69500,2014.56,16.891286768
69600,2017.43,16.891265838
69700,2020.30,16.891244969
69800,2023.16,16.891224160
69900,2026.04,16.891203410
70000,2028.90,16.891182720
70100,2031.77,16.891162088
70200,2034.63,16.891141516
70300,2037.49,16.891121002
70400,2040.35,16.891100546
70500,2043.21,16.891080148
70600,2046.07,16.891059808
70700,2048.91,16.891039525
70800,2051.76,16.891019300
70900,2054.62,16.890999132
71000,2057.48,16.890979021
71100,2060.33,16.890958966
71200,2063.17,16.890938967
71300,2066.00,16.890919025
71400,2068.83,16.890899138
71500,2071.66,16.890879308
71600,2074.49,16.890859532
71700,2077.34,16.890839812
71800,2080.18,16.890820146
71900,2083.03,16.890800536
72000,2085.89,16.890780980
72100,2088.76,16.890761478
72200,2091.63,16.890742030
72300,2094.50,16.890722635
72400,2097.37,16.890703295
72500,2100.22,16.890684008
72600,2103.08,16.890664774
72700,2105.95,16.890645592
72800,2108.80,16.890626464
72900,2111.63,16.890607388
73000,2114.48,16.890588364
73100,2117.32,16.890569392
73200,2120.15,16.890550473
73300,2122.99,16.890531604
73400,2125.83,16.890512788
73500,2128.67,16.890494022
73600,2131.50,16.890475307
73700,2134.34,16.890456643
73800,2137.18,16.890438030
73900,2140.05,16.890419467
74000,2143.03,16.890400955
74100,2145.95,16.890382492
74200,2148.85,16.890364079
74300,2151.74,16.890345715
74400,2154.64,16.890327401
74500,2157.53,16.890309136
74600,2160.43,16.890290921
74700,2163.33,16.890272753
74800,2166.36,16.890254635
74900,2169.46,16.890236565
75000,2172.44,16.890218543
75100,2175.54,16.890200569
75200,2178.46,16.890182642
75300,2181.38,16.890164764
75400,2184.28,16.890146932
75500,2187.20,16.890129149
75600,2190.10,16.890111412
75700,2193.23,16.890093722
75800,2196.14,16.890076078
75900,2199.05,16.890058481
76000,2202.02,16.890040931
76100,2205.05,16.890023426
76200,2208.29,16.890005968
76300,2211.32,16.889988555
76400,2214.27,16.889971188
76500,2217.25,16.889953866
76600,2220.36,16.889936590
76700,2223.33,16.889919358
76800,2226.57,16.889902171
76900,2229.66,16.889885030
77000,2232.98,16.889867932
77100,2236.00,16.889850879
77200,2239.05,16.889833870
77300,2242.09,16.889816905
77400,2245.02,16.889799984
77500,2247.92,16.889783107
77600,2250.86,16.889766273
77700,2253.84,16.889749483
77800,2256.85,16.889732735
77900,2260.18,16.889716031
78000,2263.60,16.889699369
78100,2266.50,16.889682751
78200,2269.85,16.889666174
78300,2272.78,16.889649640
78400,2275.69,16.889633148
78500,2278.61,16.889616698
78600,2281.60,16.889600291
78700,2284.89,16.889583924
78800,2288.14,16.889567600
78900,2291.07,16.889551316
79000,2294.17,16.889535074
79100,2297.10,16.889518873
79200,2300.32,16.889502713
79300,2303.58,16.889486593
79400,2306.68,16.889470515
79500,2310.15,16.889454476
79600,2313.53,16.889438478
79700,2316.57,16.889422520
79800,2319.74,16.889406602
79900,2322.91,16.889390724
80000,2326.22,16.889374886
80100,2329.19,16.889359087
80200,2332.12,16.889343328
80300,2335.13,16.889327608
80400,2338.24,16.889311926
80500,2341.20,16.889296284
80600,2344.16,16.889280681
80700,2347.11,16.889265116
80800,2350.09,16.889249590
80900,2353.52,16.889234103
81000,2356.45,16.889218653
81100,2359.43,16.889203242
81200,2362.35,16.889187868
81300,2365.35,16.889172533
81400,2368.36,16.889157235
81500,2371.29,16.889141974
81600,2374.23,16.889126751
81700,2377.17,16.889111566
81800,2380.08,16.889096417
81900,2383.02,16.889081305
82000,2385.94,16.889066231
82100,2389.02,16.889051193
82200,2392.09,16.889036191
82300,2395.14,16.889021226
82400,2398.28,16.889006298
82500,2401.32,16.888991405
82600,2404.44,16.888976549
82700,2407.81,16.888961728
82800,2410.82,16.888946944
82900,2413.82,16.888932195
83000,2416.74,16.888917481
83100,2419.70,16.888902803
83200,2422.62,16.888888160
83300,2425.56,16.888873553
83400,2428.49,16.888858980
83500,2431.43,16.888844442
83600,2434.37,16.888829940
83700,2437.30,16.888815471
83800,2440.23,16.888801038
83900,2443.15,16.888786638
84000,2446.07,16.888772273
84100,2449.05,16.888757942
84200,2451.98,16.888743646
84300,2454.90,16.888729383
84400,2457.82,16.888715153
84500,2460.73,16.888700958
84600,2463.65,16.888686796
84700,2466.62,16.888672668
84800,2469.53,16.888658573
84900,2472.48,16.888644511
85000,2475.42,16.888630482
85100,2478.34,16.888616486
85200,2481.28,16.888602523
85300,2484.20,16.888588593
85400,2487.12,16.888574695
85500,2490.04,16.888560830
85600,2492.94,16.888546997
85700,2495.82,16.888533197
85800,2498.71,16.888519428
85900,2501.60,16.888505692
86000,2504.49,16.888491988
86100,2507.40,16.888478316
86200,2510.31,16.888464675
86300,2513.21,16.888451066
86400,2516.08,16.888437488
86500,2518.94,16.888423942
86600,2521.82,16.888410427
86700,2524.71,16.888396943
86800,2527.60,16.888383490
86900,2530.49,16.888370069
87000,2533.39,16.888356678
87100,2536.27,16.888343318
87200,2539.16,16.888329988
87300,2542.02,16.888316689
87400,2544.93,16.888303421
87500,2547.82,16.888290183
87600,2550.73,16.888276975
87700,2553.62,16.888263797
87800,2556.54,16.888250649
87900,2559.60,16.888237531
88000,2562.73,16.888224443
88100,2565.85,16.888211384
88200,2568.76,16.888198356
88300,2571.76,16.888185356
88400,2574.68,16.888172387
88500,2577.60,16.888159446
88600,2580.51,16.888146535
88700,2583.42,16.888133652
88800,2586.33,16.888120799
88900,2589.32,16.888107975
89000,2592.22,16.888095179
89100,2595.23,16.888082413
89200,2598.20,16.888069675
89300,2601.15,16.888056965
89400,2604.10,16.888044284
89500,2607.13,16.888031631
89600,2610.36,16.888019006
89700,2613.28,16.888006410
89800,2616.21,16.887993841
89900,2619.14,16.887981301
90000,2622.08,16.887968788
90100,2625.19,16.887956304
90200,2628.12,16.887943847
90300,2631.09,16.887931417
90400,2634.08,16.887919015
90500,2637.00,16.887906640
90600,2639.92,16.887894293
90700,2643.48,16.887881973
90800,2647.72,16.887869680
90900,2651.55,16.887857414
91000,2655.27,16.887845175
91100,2658.48,16.887832963
91200,2661.63,16.887820778
91300,2664.80,16.887808619
91400,2668.10,16.887796487
91500,2671.12,16.887784382
91600,2674.05,16.887772303
91700,2676.98,16.887760250
91800,2679.90,16.887748224
91900,2682.91,16.887736224
92000,2685.83,16.887724249
92100,2688.82,16.887712301
92200,2691.76,16.887700379
92300,2694.67,16.887688483
92400,2698.35,16.887676612
92500,2701.55,16.887664767
92600,2704.60,16.887652947
92700,2707.62,16.887641154
92800,2710.70,16.887629385
92900,2714.02,16.887617642
93000,2716.91,16.887605924
93100,2719.86,16.887594231
93200,2722.77,16.887582564
93300,2725.66,16.887570921
93400,2728.79,16.887559303
93500,2731.78,16.887547710
93600,2734.79,16.887536142
93700,2737.73,16.887524599
93800,2740.74,16.887513080
93900,2744.00,16.887501586
94000,2746.91,16.887490116
94100,2749.83,16.887478671
94200,2752.75,16.887467250
94300,2755.66,16.887455853
94400,2758.56,16.887444480
94500,2761.48,16.887433131
94600,2764.39,16.887421807
94700,2767.30,16.887410506
94800,2770.23,16.887399229
94900,2773.15,16.887387976
95000,2776.20,16.887376746
95100,2779.53,16.887365540
95200,2782.50,16.887354358
95300,2785.44,16.887343199
95400,2788.37,16.887332064
95500,2791.30,16.887320952
95600,2794.27,16.887309863
95700,2797.18,16.887298797
95800,2800.08,16.887287754
95900,2802.99,16.887276735
96000,2805.92,16.887265738
96100,2808.84,16.887254765
96200,2811.83,16.887243814
96300,2814.75,16.887232885
96400,2817.65,16.887221980
96500,2820.62,16.887211097
96600,2823.53,16.887200237
96700,2826.46,16.887189399
96800,2829.38,16.887178583
96900,2832.29,16.887167790
97000,2835.19,16.887157019
97100,2838.10,16.887146270
97200,2841.04,16.887135544
97300,2843.97,16.887124839
97400,2846.97,16.887114156
97500,2849.89,16.887103496
97600,2852.82,16.887092857
97700,2855.73,16.887082240
97800,2858.90,16.887071644
97900,2861.82,16.887061071
98000,2864.73,16.887050519
98100,2867.64,16.887039988
98200,2870.58,16.887029479
98300,2873.56,16.887018991
98400,2876.55,16.887008525
98500,2879.59,16.886998079
98600,2882.67,16.886987655
98700,2885.62,16.886977252
98800,2888.71,16.886966870
98900,2891.79,16.886956510
99000,2894.81,16.886946170
99100,2898.02,16.886935851
99200,2900.99,16.886925552
