,train_cost,val_cost
0,40758340.0,2134428.75
1,2128707.0,2124482.25
2,2123034.25,2110191.0
3,2117228.5,2123829.0
4,2113446.0,2112686.25
5,2111666.75,2108912.25
6,2110972.25,2128232.25
7,2107981.75,2112875.25
8,2107343.75,2100304.25
9,2106934.25,2107313.0
10,2105431.25,2093105.125
11,2103075.0,2113573.0
12,2102621.25,2106357.25
13,2101532.0,2109029.5
14,2099751.5,2105563.0
15,2100459.75,2101994.5
16,2097437.75,2112148.0
17,2096861.625,2096462.375
18,2095613.25,2090148.875
19,2093967.75,2101527.75
20,2092261.375,2094581.25
21,2091156.0,2091912.25
22,2088033.0,2102289.75
23,2085900.75,2099276.75
24,2085596.625,2089626.875
25,2084724.75,2093286.0
26,2082107.5,2080082.25
27,2078955.875,2085677.125
28,2077854.25,2081736.25
29,2074905.5,2074106.5
30,2072259.125,2082203.75
31,2069954.375,2085259.625
32,2065941.875,2071943.125
33,2062680.125,2086761.375
34,2065420.375,2079990.5
35,2062102.125,2073231.5
36,2057384.5,2055198.5
37,2053544.375,2064900.625
38,2047315.25,2058871.75
39,2044409.0,2041433.75
40,2037331.625,2052655.375
41,2042201.25,2060575.5
42,2042483.375,2049333.5
43,2038003.5,2047175.125
44,2031680.5,2033643.375
45,2028252.75,2028114.875
46,2023126.25,2036237.625
47,2016242.5,2029499.75
48,2010719.625,2009347.75
49,2005113.5,2014379.875
50,1998645.375,2009924.75
51,2000076.625,2006081.625
52,1995907.5,1988238.875
53,1987459.75,1988285.5
54,1982725.0,1995091.625
55,1974938.125,1975684.0
56,1965906.0,1970868.0
57,1954436.875,1948759.625
58,1956843.375,1984637.875
59,1956771.75,1968693.0
60,1956604.875,1975656.5
61,1953004.625,1956503.25
62,1947621.375,1965500.25
63,1939225.0,1942184.625
64,1932231.375,1942156.125
65,1921785.75,1926574.75
66,1915049.875,1921197.125
67,1907473.125,1904646.625
68,1898170.875,1895213.125
69,1890683.75,1896965.375
70,1877091.75,1882210.5
71,1868153.5,1872538.625
72,1861218.75,1871546.125
73,1848534.125,1851984.0
