Distribution Center,Product Offering,Generation,SKU,ASP Group,Week,Forecasted Demand,Customer Orders
GAMMA,I,3,SKU-I-3,14,42,1576,318
GAMMA,J,3,SKU-J-3,12,42,398,159
GAMMA,K,2,SKU-K-2,11,42,15334,9873
GAMMA,K,3,SKU-K-3,12,42,21083,15127
GAMMA,L,2,SKU-L-2,12,42,5717,955
GAMMA,L,3,SKU-L-3,13,42,12357,3025
GAMMA,M,2,SKU-M-2,13,42,4745,1274
GAMMA,N,3,SKU-N-3,16,42,8471,3662
GAMMA,O,2,SKU-O-2,14,42,24650,13694
GAMMA,O,3,SKU-O-3,14,42,23376,11943
GAMMA,Q,2,SKU-Q-2,14,42,6433,5573
GAMMA,Q,3,SKU-Q-3,14,42,9936,6210
GAMMA,S,2,SKU-S-2,15,42,11863,1752
GAMMA,S,3,SKU-S-3,16,42,13344,3822
GAMMA,T,3,SKU-T-3,17,42,4873,1194
GAMMA,U,3,SKU-U-3,17,42,4268,2707
DELTA,A,2,SKU-A-2,1,42,23885,6051
DELTA,A,3,SKU-A-3,1,42,12038,1592
DELTA,B,2,SKU-B-2,1,42,74666,16561
DELTA,B,3,SKU-B-3,1,42,30064,3822
DELTA,C,1,SKU-C-1,3,42,3185,987
DELTA,C,2,SKU-C-2,4,42,115032,33280
DELTA,C,3,SKU-C-3,4,42,97898,24920
DELTA,E,2,SKU-E-2,7,42,4761,3344
DELTA,E,3,SKU-E-3,7,42,4841,1752
DELTA,F,1,SKU-F-1,6,42,637,318
DELTA,F,2,SKU-F-2,7,42,63392,25955
DELTA,F,3,SKU-F-3,7,42,51210,13694
DELTA,G,2,SKU-G-2,10,42,2261,955
DELTA,G,3,SKU-G-3,11,42,7022,2229
DELTA,H,2,SKU-H-2,9,42,57006,57166
DELTA,H,3,SKU-H-3,10,42,47866,6369
DELTA,I,2,SKU-I-2,10,42,27197,26592
DELTA,I,3,SKU-I-3,14,42,6752,3185
DELTA,J,2,SKU-J-2,11,42,1975,318
DELTA,K,1,SKU-K-1,10,42,159,111
DELTA,K,2,SKU-K-2,11,42,71943,10510
DELTA,K,3,SKU-K-3,12,42,106561,15764
DELTA,L,2,SKU-L-2,12,42,33869,7962
DELTA,L,3,SKU-L-3,13,42,38217,5732
DELTA,M,2,SKU-M-2,13,42,8392,3025
DELTA,N,2,SKU-N-2,14,42,17707,4140
DELTA,N,3,SKU-N-3,16,42,13471,3424
DELTA,O,2,SKU-O-2,14,42,104952,37261
DELTA,O,3,SKU-O-3,14,42,14634,5573
DELTA,Q,2,SKU-Q-2,14,42,19108,8280
DELTA,Q,3,SKU-Q-3,14,42,26131,13217
DELTA,S,2,SKU-S-2,15,42,38885,5732
DELTA,S,3,SKU-S-3,16,42,38455,11465
DELTA,T,3,SKU-T-3,17,42,2452,1115
DELTA,U,3,SKU-U-3,17,42,36545,5478
EPSILON,A,2,SKU-A-2,1,42,11831,478
EPSILON,A,3,SKU-A-3,1,42,10748,955
EPSILON,B,2,SKU-B-2,1,42,280573,68631
EPSILON,B,3,SKU-B-3,1,42,140000,35510
EPSILON,C,1,SKU-C-1,3,42,637,5414
EPSILON,C,2,SKU-C-2,4,42,595987,48248
EPSILON,C,3,SKU-C-3,4,42,192038,32803
EPSILON,E,2,SKU-E-2,7,42,17994,1274
EPSILON,E,3,SKU-E-3,7,42,28232,4618
EPSILON,F,1,SKU-F-1,6,42,0,159
EPSILON,F,2,SKU-F-2,7,42,214331,7325
EPSILON,F,3,SKU-F-3,7,42,169873,20701
EPSILON,G,2,SKU-G-2,10,42,2341,159
EPSILON,G,3,SKU-G-3,11,42,28025,4459
EPSILON,H,2,SKU-H-2,9,42,387006,38217
EPSILON,H,3,SKU-H-3,10,42,97213,57484
EPSILON,I,2,SKU-I-2,10,42,122611,25637
EPSILON,I,3,SKU-I-3,14,42,82548,7803
EPSILON,J,2,SKU-J-2,11,42,8631,955
EPSILON,J,3,SKU-J-3,12,42,5478,21178
EPSILON,K,2,SKU-K-2,11,42,233057,25318
EPSILON,K,3,SKU-K-3,12,42,271752,56688
EPSILON,L,2,SKU-L-2,12,42,192611,45701
EPSILON,L,3,SKU-L-3,13,42,227389,10191
EPSILON,M,2,SKU-M-2,13,42,94459,7803
EPSILON,N,2,SKU-N-2,14,42,29873,6529
EPSILON,N,3,SKU-N-3,16,42,15669,5414
EPSILON,O,2,SKU-O-2,14,42,378408,40127
EPSILON,O,3,SKU-O-3,14,42,104045,9554
EPSILON,Q,2,SKU-Q-2,14,42,118981,16561
EPSILON,Q,3,SKU-Q-3,14,42,220318,18471
EPSILON,S,2,SKU-S-2,15,42,190924,17994
EPSILON,S,3,SKU-S-3,16,42,78344,32006
EPSILON,T,3,SKU-T-3,17,42,137102,8121
EPSILON,U,3,SKU-U-3,17,42,399156,23408
ALPHA,A,2,SKU-A-2,1,43,3822,955
ALPHA,A,3,SKU-A-3,1,43,7643,1592
ALPHA,B,2,SKU-B-2,1,43,14331,14172
ALPHA,B,3,SKU-B-3,1,43,15924,24363
ALPHA,C,2,SKU-C-2,4,43,30255,15924
ALPHA,C,3,SKU-C-3,4,43,14650,20064
ALPHA,E,2,SKU-E-2,7,43,860,1274
ALPHA,F,2,SKU-F-2,7,43,10191,7325
ALPHA,F,3,SKU-F-3,7,43,5414,4936
ALPHA,G,2,SKU-G-2,10,43,318,159
ALPHA,H,2,SKU-H-2,9,43,20701,5414
ALPHA,H,3,SKU-H-3,10,43,5414,3503
ALPHA,I,2,SKU-I-2,10,43,1433,796
ALPHA,I,3,SKU-I-3,14,43,637,637
ALPHA,K,2,SKU-K-2,11,43,10510,10350
ALPHA,K,3,SKU-K-3,12,43,7006,8439
ALPHA,L,2,SKU-L-2,12,43,4459,637
ALPHA,L,3,SKU-L-3,13,43,1592,478
ALPHA,M,2,SKU-M-2,13,43,2293,3185
ALPHA,N,2,SKU-N-2,14,43,478,159
ALPHA,N,3,SKU-N-3,16,43,828,796
ALPHA,O,2,SKU-O-2,14,43,4459,7325
ALPHA,Q,2,SKU-Q-2,14,43,5892,5892
ALPHA,Q,3,SKU-Q-3,14,43,1911,8758
ALPHA,S,2,SKU-S-2,15,43,5096,1433
ALPHA,S,3,SKU-S-3,16,43,3185,1592
ALPHA,T,3,SKU-T-3,17,43,2389,796
ALPHA,U,3,SKU-U-3,17,43,3344,13376
BETA,B,3,SKU-B-3,1,43,1385,478
BETA,C,2,SKU-C-2,4,43,1226,159
BETA,E,2,SKU-E-2,7,43,2659,1115
BETA,E,3,SKU-E-3,7,43,446,159
BETA,F,3,SKU-F-3,7,43,2611,3344
BETA,I,3,SKU-I-3,14,43,1385,637
BETA,K,3,SKU-K-3,12,43,398,318
BETA,O,3,SKU-O-3,14,43,1099,478
BETA,S,3,SKU-S-3,16,43,2516,318
BETA,U,3,SKU-U-3,17,43,1083,159
GAMMA,A,2,SKU-A-2,1,43,11242,637
GAMMA,A,3,SKU-A-3,1,43,19013,3981
GAMMA,B,2,SKU-B-2,1,43,24299,4140
GAMMA,B,3,SKU-B-3,1,43,51465,28264
GAMMA,C,2,SKU-C-2,4,43,29713,4936
GAMMA,C,3,SKU-C-3,4,43,41146,10191
GAMMA,E,2,SKU-E-2,7,43,6210,1911
GAMMA,E,3,SKU-E-3,7,43,5573,159
GAMMA,F,2,SKU-F-2,7,43,14554,4936
GAMMA,F,3,SKU-F-3,7,43,27643,9236
GAMMA,G,3,SKU-G-3,11,43,1815,2548
GAMMA,H,2,SKU-H-2,9,43,6513,1433
GAMMA,H,3,SKU-H-3,10,43,10669,1592
GAMMA,I,3,SKU-I-3,14,43,3057,1274
GAMMA,J,2,SKU-J-2,11,43,159,80
GAMMA,J,3,SKU-J-3,12,43,955,1911
GAMMA,K,2,SKU-K-2,11,43,20159,4618
GAMMA,K,3,SKU-K-3,12,43,66561,9315
GAMMA,L,2,SKU-L-2,12,43,2755,2389
GAMMA,L,3,SKU-L-3,13,43,11465,955
GAMMA,M,2,SKU-M-2,13,43,1672,2389
GAMMA,N,2,SKU-N-2,14,43,2006,398
GAMMA,N,3,SKU-N-3,16,43,8917,3503
GAMMA,O,2,SKU-O-2,14,43,7325,4459
GAMMA,O,3,SKU-O-3,14,43,24841,2389
GAMMA,Q,2,SKU-Q-2,14,43,2452,1911
GAMMA,Q,3,SKU-Q-3,14,43,10510,1752
GAMMA,S,2,SKU-S-2,15,43,9268,5255
GAMMA,S,3,SKU-S-3,16,43,11624,5414
GAMMA,T,3,SKU-T-3,17,43,4777,955
GAMMA,U,3,SKU-U-3,17,43,6815,6529
DELTA,A,2,SKU-A-2,1,43,20589,6927
DELTA,A,3,SKU-A-3,1,43,5924,2580
DELTA,B,2,SKU-B-2,1,43,95096,21497
DELTA,B,3,SKU-B-3,1,43,59618,9236
DELTA,C,1,SKU-C-1,3,43,3185,1194
DELTA,C,2,SKU-C-2,4,43,140318,38217
DELTA,C,3,SKU-C-3,4,43,91529,20223
DELTA,E,2,SKU-E-2,7,43,4204,2707
DELTA,E,3,SKU-E-3,7,43,5605,318
DELTA,F,2,SKU-F-2,7,43,61433,10908
DELTA,F,3,SKU-F-3,7,43,58232,15287
DELTA,G,2,SKU-G-2,10,43,1019,32
DELTA,G,3,SKU-G-3,11,43,2500,876
DELTA,H,2,SKU-H-2,9,43,79347,12102
DELTA,H,3,SKU-H-3,10,43,33535,5494
DELTA,I,2,SKU-I-2,10,43,34904,7166
DELTA,I,3,SKU-I-3,14,43,7962,6051
DELTA,J,2,SKU-J-2,11,43,1035,637
DELTA,K,1,SKU-K-1,10,43,159,32
DELTA,K,2,SKU-K-2,11,43,80732,27070
DELTA,K,3,SKU-K-3,12,43,88726,25318
DELTA,L,2,SKU-L-2,12,43,39045,10191
DELTA,L,3,SKU-L-3,13,43,15764,2707
DELTA,M,2,SKU-M-2,13,43,18854,5096
DELTA,N,2,SKU-N-2,14,43,23981,3025
DELTA,N,3,SKU-N-3,16,43,13710,637
DELTA,O,1,SKU-O-1,14,43,0,127
DELTA,O,2,SKU-O-2,14,43,100844,12420
DELTA,O,3,SKU-O-3,14,43,19841,3981
DELTA,Q,2,SKU-Q-2,14,43,29268,7006
DELTA,Q,3,SKU-Q-3,14,43,31146,17197
DELTA,S,2,SKU-S-2,15,43,38599,4140
DELTA,S,3,SKU-S-3,16,43,39793,6688
DELTA,T,3,SKU-T-3,17,43,14761,4252
DELTA,U,3,SKU-U-3,17,43,24331,6847
EPSILON,A,2,SKU-A-2,1,43,12038,4459
EPSILON,A,3,SKU-A-3,1,43,4570,318
EPSILON,B,2,SKU-B-2,1,43,348631,64809
EPSILON,B,3,SKU-B-3,1,43,153487,16720
EPSILON,C,1,SKU-C-1,3,43,955,5892
EPSILON,C,2,SKU-C-2,4,43,496975,50000
EPSILON,C,3,SKU-C-3,4,43,213615,24841
EPSILON,E,2,SKU-E-2,7,43,36561,10828
EPSILON,E,3,SKU-E-3,7,43,33678,14331
EPSILON,F,2,SKU-F-2,7,43,333535,25637
EPSILON,F,3,SKU-F-3,7,43,161306,28503
EPSILON,G,2,SKU-G-2,10,43,5000,1752
EPSILON,G,3,SKU-G-3,11,43,24268,4777
EPSILON,H,2,SKU-H-2,9,43,404283,42197
EPSILON,H,3,SKU-H-3,10,43,145064,10828
EPSILON,I,2,SKU-I-2,10,43,102229,23567
EPSILON,I,3,SKU-I-3,14,43,96051,5255
EPSILON,J,2,SKU-J-2,11,43,5127,4777
EPSILON,K,2,SKU-K-2,11,43,309873,28981
EPSILON,K,3,SKU-K-3,12,43,359586,59236
EPSILON,L,2,SKU-L-2,12,43,170223,17516
EPSILON,L,3,SKU-L-3,13,43,513631,21656
EPSILON,M,2,SKU-M-2,13,43,119984,4777
EPSILON,N,2,SKU-N-2,14,43,76513,19586
EPSILON,N,3,SKU-N-3,16,43,26369,7484
EPSILON,O,2,SKU-O-2,14,43,424761,85350
EPSILON,O,3,SKU-O-3,14,43,115414,5096
EPSILON,Q,2,SKU-Q-2,14,43,158201,10669
EPSILON,Q,3,SKU-Q-3,14,43,228535,17197
EPSILON,S,2,SKU-S-2,15,43,246497,30573
EPSILON,S,3,SKU-S-3,16,43,129697,23248
EPSILON,T,3,SKU-T-3,17,43,123631,5096
EPSILON,U,3,SKU-U-3,17,43,354841,33758
ALPHA,B,2,SKU-B-2,1,44,7962,8439
ALPHA,B,3,SKU-B-3,1,44,14825,6688
ALPHA,C,2,SKU-C-2,4,44,19825,18153
ALPHA,C,3,SKU-C-3,4,44,12468,8280
ALPHA,E,2,SKU-E-2,7,44,159,796
ALPHA,F,2,SKU-F-2,7,44,2389,2866
ALPHA,F,3,SKU-F-3,7,44,1433,1274
ALPHA,G,3,SKU-G-3,11,44,318,1433
ALPHA,H,2,SKU-H-2,9,44,3185,1115
ALPHA,H,3,SKU-H-3,10,44,5446,1115
ALPHA,I,2,SKU-I-2,10,44,1354,1115
ALPHA,I,3,SKU-I-3,14,44,318,318
ALPHA,K,2,SKU-K-2,11,44,3185,1433
ALPHA,K,3,SKU-K-3,12,44,6959,7006
ALPHA,L,2,SKU-L-2,12,44,1592,1115
ALPHA,L,3,SKU-L-3,13,44,955,159
ALPHA,M,2,SKU-M-2,13,44,478,1592
ALPHA,N,3,SKU-N-3,16,44,159,318
ALPHA,O,2,SKU-O-2,14,44,2803,1433
ALPHA,O,3,SKU-O-3,14,44,1592,1115
ALPHA,Q,2,SKU-Q-2,14,44,1911,3503
ALPHA,Q,3,SKU-Q-3,14,44,1115,2707
ALPHA,S,2,SKU-S-2,15,44,1433,955
ALPHA,S,3,SKU-S-3,16,44,2213,478
ALPHA,T,3,SKU-T-3,17,44,1274,6369
BETA,B,3,SKU-B-3,1,44,1354,637
BETA,C,3,SKU-C-3,4,44,255,637
BETA,E,2,SKU-E-2,7,44,860,3662
BETA,E,3,SKU-E-3,7,44,414,159
BETA,F,3,SKU-F-3,7,44,1592,1433
BETA,H,3,SKU-H-3,10,44,175,478
BETA,I,3,SKU-I-3,14,44,478,318
BETA,K,3,SKU-K-3,12,44,334,1115
BETA,L,3,SKU-L-3,13,44,0,159
BETA,Q,3,SKU-Q-3,14,44,2086,7166
BETA,S,3,SKU-S-3,16,44,1799,637
GAMMA,A,3,SKU-A-3,1,44,17643,19108
GAMMA,B,2,SKU-B-2,1,44,26752,955
GAMMA,B,3,SKU-B-3,1,44,45955,41879
GAMMA,C,2,SKU-C-2,4,44,66115,2389
GAMMA,C,3,SKU-C-3,4,44,31847,36624
GAMMA,F,2,SKU-F-2,7,44,8854,159
GAMMA,F,3,SKU-F-3,7,44,21146,39013
GAMMA,G,3,SKU-G-3,11,44,3949,4777
GAMMA,H,2,SKU-H-2,9,44,18025,11943
GAMMA,H,3,SKU-H-3,10,44,16433,13376
GAMMA,I,3,SKU-I-3,14,44,1338,2229
GAMMA,J,3,SKU-J-3,12,44,414,318
GAMMA,K,2,SKU-K-2,11,44,22006,3503
GAMMA,K,3,SKU-K-3,12,44,14013,23567
GAMMA,L,2,SKU-L-2,12,44,7389,796
GAMMA,L,3,SKU-L-3,13,44,4459,2070
GAMMA,M,2,SKU-M-2,13,44,2500,1274
GAMMA,N,3,SKU-N-3,16,44,6369,1911
GAMMA,O,2,SKU-O-2,14,44,9745,2229
GAMMA,O,3,SKU-O-3,14,44,12102,6401
GAMMA,Q,3,SKU-Q-3,14,44,7580,5892
GAMMA,S,2,SKU-S-2,15,44,13376,3901
GAMMA,S,3,SKU-S-3,16,44,7611,796
GAMMA,T,3,SKU-T-3,17,44,1752,2229
GAMMA,U,3,SKU-U-3,17,44,6051,2229
DELTA,A,2,SKU-A-2,1,44,27659,4220
DELTA,A,3,SKU-A-3,1,44,15287,1911
DELTA,B,2,SKU-B-2,1,44,95223,26672
DELTA,B,3,SKU-B-3,1,44,67197,12102
DELTA,C,1,SKU-C-1,3,44,1592,478
DELTA,C,2,SKU-C-2,4,44,159172,37659
DELTA,C,3,SKU-C-3,4,44,109936,26433
DELTA,E,2,SKU-E-2,7,44,9554,2866
DELTA,E,3,SKU-E-3,7,44,11465,4777
DELTA,F,1,SKU-F-1,6,44,318,159
DELTA,F,2,SKU-F-2,7,44,88153,12898
DELTA,F,3,SKU-F-3,7,44,68599,23010
DELTA,G,2,SKU-G-2,10,44,2102,414
DELTA,G,3,SKU-G-3,11,44,7357,7803
DELTA,H,2,SKU-H-2,9,44,88232,28662
DELTA,H,3,SKU-H-3,10,44,85860,19427
DELTA,I,2,SKU-I-2,10,44,35223,8917
DELTA,I,3,SKU-I-3,14,44,3949,4936
DELTA,J,2,SKU-J-2,11,44,3535,955
DELTA,K,2,SKU-K-2,11,44,75812,8917
DELTA,K,3,SKU-K-3,12,44,118280,33917
DELTA,L,2,SKU-L-2,12,44,43057,14968
DELTA,L,3,SKU-L-3,13,44,45430,13694
DELTA,M,2,SKU-M-2,13,44,36561,7484
DELTA,N,2,SKU-N-2,14,44,16115,4061
DELTA,N,3,SKU-N-3,16,44,14475,7468
DELTA,O,1,SKU-O-1,14,44,0,111
DELTA,O,2,SKU-O-2,14,44,98885,25000
DELTA,O,3,SKU-O-3,14,44,91975,18153
DELTA,Q,2,SKU-Q-2,14,44,20605,10669
DELTA,Q,3,SKU-Q-3,14,44,34061,16003
DELTA,S,2,SKU-S-2,15,44,56242,11545
DELTA,S,3,SKU-S-3,16,44,53949,14013
DELTA,T,3,SKU-T-3,17,44,14952,9331
DELTA,U,3,SKU-U-3,17,44,51783,17150
EPSILON,A,2,SKU-A-2,1,44,30764,1911
EPSILON,A,3,SKU-A-3,1,44,11369,3662
EPSILON,B,2,SKU-B-2,1,44,259108,28822
EPSILON,B,3,SKU-B-3,1,44,184777,29618
EPSILON,C,1,SKU-C-1,3,44,0,1274
EPSILON,C,2,SKU-C-2,4,44,443408,115924
EPSILON,C,3,SKU-C-3,4,44,236306,101433
EPSILON,E,2,SKU-E-2,7,44,7102,3503
EPSILON,E,3,SKU-E-3,7,44,35685,12261
EPSILON,F,2,SKU-F-2,7,44,252516,72611
EPSILON,F,3,SKU-F-3,7,44,240669,37420
EPSILON,G,2,SKU-G-2,10,44,1417,796
EPSILON,G,3,SKU-G-3,11,44,22691,8917
EPSILON,H,2,SKU-H-2,9,44,281449,31051
EPSILON,H,3,SKU-H-3,10,44,60637,18471
EPSILON,I,2,SKU-I-2,10,44,84268,30096
EPSILON,I,3,SKU-I-3,14,44,50573,8758
EPSILON,J,2,SKU-J-2,11,44,2006,159
EPSILON,J,3,SKU-J-3,12,44,2978,3981
EPSILON,K,2,SKU-K-2,11,44,212866,33121
EPSILON,K,3,SKU-K-3,12,44,201975,93471
EPSILON,L,2,SKU-L-2,12,44,161561,27389
EPSILON,L,3,SKU-L-3,13,44,225876,27548
EPSILON,M,2,SKU-M-2,13,44,52420,9395
EPSILON,N,2,SKU-N-2,14,44,43822,8599
EPSILON,N,3,SKU-N-3,16,44,22166,17197
EPSILON,O,2,SKU-O-2,14,44,320637,56847
EPSILON,O,3,SKU-O-3,14,44,62054,9236
EPSILON,Q,2,SKU-Q-2,14,44,78153,20701
EPSILON,Q,3,SKU-Q-3,14,44,320255,53662
EPSILON,S,2,SKU-S-2,15,44,132245,32325
EPSILON,S,3,SKU-S-3,16,44,140064,50955
EPSILON,T,3,SKU-T-3,17,44,30573,17675
EPSILON,U,3,SKU-U-3,17,44,264952,56688
ALPHA,F,3,SKU-F-3,7,45,2389,318
ALPHA,G,3,SKU-G-3,11,45,159,1433
ALPHA,H,2,SKU-H-2,9,45,3185,1433
ALPHA,H,3,SKU-H-3,10,45,1592,478
ALPHA,I,2,SKU-I-2,10,45,318,796
ALPHA,K,3,SKU-K-3,12,45,4252,10669
ALPHA,L,2,SKU-L-2,12,45,1274,478
ALPHA,L,3,SKU-L-3,13,45,1274,159
ALPHA,Q,2,SKU-Q-2,14,45,1911,3981
ALPHA,Q,3,SKU-Q-3,14,45,2548,3025
ALPHA,S,2,SKU-S-2,15,45,1274,159
ALPHA,U,3,SKU-U-3,17,45,637,955
BETA,B,3,SKU-B-3,1,45,2866,2866
BETA,C,2,SKU-C-2,4,45,669,318
BETA,C,3,SKU-C-3,4,45,350,318
BETA,E,2,SKU-E-2,7,45,1019,1274
BETA,E,3,SKU-E-3,7,45,478,318
BETA,F,3,SKU-F-3,7,45,2611,3025
BETA,H,3,SKU-H-3,10,45,223,318
BETA,I,3,SKU-I-3,14,45,1019,1752
BETA,K,3,SKU-K-3,12,45,382,637
BETA,L,3,SKU-L-3,13,45,0,159
BETA,O,3,SKU-O-3,14,45,764,318
BETA,S,3,SKU-S-3,16,45,3535,1911
BETA,U,3,SKU-U-3,17,45,796,318
GAMMA,A,2,SKU-A-2,1,45,11449,1592
GAMMA,A,3,SKU-A-3,1,45,17548,2548
GAMMA,B,2,SKU-B-2,1,45,26576,10032
GAMMA,B,3,SKU-B-3,1,45,72197,21975
GAMMA,C,2,SKU-C-2,4,45,65032,16720
GAMMA,C,3,SKU-C-3,4,45,32197,15127
GAMMA,E,2,SKU-E-2,7,45,19809,5096
GAMMA,E,3,SKU-E-3,7,45,3185,637
GAMMA,F,2,SKU-F-2,7,45,17580,8280
GAMMA,F,3,SKU-F-3,7,45,21847,29140
GAMMA,G,2,SKU-G-2,10,45,478,318
GAMMA,G,3,SKU-G-3,11,45,3885,4936
GAMMA,H,2,SKU-H-2,9,45,17771,13217
GAMMA,H,3,SKU-H-3,10,45,16338,11624
GAMMA,I,2,SKU-I-2,10,45,9522,3822
GAMMA,I,3,SKU-I-3,14,45,2070,2070
GAMMA,J,2,SKU-J-2,11,45,334,159
GAMMA,J,3,SKU-J-3,12,45,255,159
GAMMA,K,2,SKU-K-2,11,45,21783,6051
GAMMA,K,3,SKU-K-3,12,45,16210,21178
GAMMA,L,2,SKU-L-2,12,45,6943,3344
GAMMA,L,3,SKU-L-3,13,45,8662,5255
GAMMA,M,2,SKU-M-2,13,45,2452,4299
GAMMA,N,2,SKU-N-2,14,45,1990,2389
GAMMA,N,3,SKU-N-3,16,45,5287,14172
GAMMA,O,2,SKU-O-2,14,45,9682,12261
GAMMA,O,3,SKU-O-3,14,45,11815,9873
GAMMA,Q,2,SKU-Q-2,14,45,3455,3981
GAMMA,Q,3,SKU-Q-3,14,45,7006,18631
GAMMA,S,2,SKU-S-2,15,45,13121,4936
GAMMA,S,3,SKU-S-3,16,45,9968,7962
GAMMA,T,3,SKU-T-3,17,45,2166,3344
GAMMA,U,3,SKU-U-3,17,45,4713,10510
DELTA,A,2,SKU-A-2,1,45,14522,2070
DELTA,A,3,SKU-A-3,1,45,15621,1274
DELTA,B,2,SKU-B-2,1,45,57277,34236
DELTA,B,3,SKU-B-3,1,45,81083,13694
DELTA,C,1,SKU-C-1,3,45,1035,16
DELTA,C,2,SKU-C-2,4,45,99268,71497
DELTA,C,3,SKU-C-3,4,45,107834,23726
DELTA,E,2,SKU-E-2,7,45,4045,1752
DELTA,E,3,SKU-E-3,7,45,6911,3025
DELTA,F,2,SKU-F-2,7,45,60334,14809
DELTA,F,3,SKU-F-3,7,45,72038,31529
DELTA,G,2,SKU-G-2,10,45,1752,717
DELTA,G,3,SKU-G-3,11,45,5159,3662
DELTA,H,2,SKU-H-2,9,45,53344,28981
DELTA,H,3,SKU-H-3,10,45,71274,5255
DELTA,I,2,SKU-I-2,10,45,25350,4618
DELTA,I,3,SKU-I-3,14,45,2022,318
DELTA,J,2,SKU-J-2,11,45,924,159
DELTA,K,2,SKU-K-2,11,45,73758,28503
DELTA,K,3,SKU-K-3,12,45,84650,12102
DELTA,L,2,SKU-L-2,12,45,26608,10828
DELTA,L,3,SKU-L-3,13,45,45239,4936
DELTA,M,2,SKU-M-2,13,45,24315,5096
DELTA,N,2,SKU-N-2,14,45,13694,2548
DELTA,N,3,SKU-N-3,16,45,8726,2229
DELTA,O,2,SKU-O-2,14,45,83408,26592
DELTA,O,3,SKU-O-3,14,45,70892,5573
DELTA,Q,2,SKU-Q-2,14,45,29873,8758
DELTA,Q,3,SKU-Q-3,14,45,37261,74650
DELTA,S,2,SKU-S-2,15,45,39459,9395
DELTA,S,3,SKU-S-3,16,45,30924,10191
DELTA,T,3,SKU-T-3,17,45,10414,1115
DELTA,U,3,SKU-U-3,17,45,10446,478
EPSILON,A,2,SKU-A-2,1,45,26943,7962
EPSILON,A,3,SKU-A-3,1,45,16576,2389
EPSILON,B,2,SKU-B-2,1,45,241433,20701
EPSILON,B,3,SKU-B-3,1,45,183822,21178
EPSILON,C,1,SKU-C-1,3,45,4172,1274
EPSILON,C,2,SKU-C-2,4,45,400510,71975
EPSILON,C,3,SKU-C-3,4,45,290255,18949
EPSILON,E,2,SKU-E-2,7,45,6943,5255
EPSILON,E,3,SKU-E-3,7,45,23790,4618
EPSILON,F,1,SKU-F-1,6,45,1975,2548
EPSILON,F,2,SKU-F-2,7,45,112404,6847
EPSILON,F,3,SKU-F-3,7,45,257866,28344
EPSILON,G,2,SKU-G-2,10,45,2834,318
EPSILON,G,3,SKU-G-3,11,45,23933,3822
EPSILON,H,2,SKU-H-2,9,45,242436,31051
EPSILON,H,3,SKU-H-3,10,45,88089,22771
EPSILON,I,2,SKU-I-2,10,45,82357,27229
EPSILON,I,3,SKU-I-3,14,45,49299,2070
EPSILON,J,2,SKU-J-2,11,45,8025,2389
EPSILON,J,3,SKU-J-3,12,45,5637,1433
EPSILON,K,2,SKU-K-2,11,45,161465,19586
EPSILON,K,3,SKU-K-3,12,45,247898,22771
EPSILON,L,2,SKU-L-2,12,45,126672,54618
EPSILON,L,3,SKU-L-3,13,45,264363,17357
EPSILON,M,2,SKU-M-2,13,45,48217,6369
EPSILON,N,2,SKU-N-2,14,45,19045,3822
EPSILON,N,3,SKU-N-3,16,45,33248,23408
EPSILON,O,2,SKU-O-2,14,45,202293,18312
EPSILON,O,3,SKU-O-3,14,45,96258,22771
EPSILON,Q,2,SKU-Q-2,14,45,58089,7484
EPSILON,Q,3,SKU-Q-3,14,45,322739,27707
EPSILON,S,2,SKU-S-2,15,45,64538,17516
EPSILON,S,3,SKU-S-3,16,45,173439,28662
EPSILON,T,3,SKU-T-3,17,45,29777,21497
EPSILON,U,3,SKU-U-3,17,45,203583,29459
ALPHA,A,2,SKU-A-2,1,46,4140,1115
ALPHA,A,3,SKU-A-3,1,46,6417,2707
ALPHA,B,2,SKU-B-2,1,46,17516,14013
ALPHA,B,3,SKU-B-3,1,46,12436,5414
ALPHA,C,2,SKU-C-2,4,46,18041,38057
ALPHA,C,3,SKU-C-3,4,46,15494,7962
ALPHA,E,3,SKU-E-3,7,46,446,159
ALPHA,F,2,SKU-F-2,7,46,5908,12261
ALPHA,F,3,SKU-F-3,7,46,7054,11465
ALPHA,G,2,SKU-G-2,10,46,159,478
ALPHA,H,2,SKU-H-2,9,46,15334,36943
ALPHA,H,3,SKU-H-3,10,46,5796,3662
ALPHA,I,2,SKU-I-2,10,46,557,5732
ALPHA,I,3,SKU-I-3,14,46,557,637
ALPHA,J,3,SKU-J-3,12,46,159,159
ALPHA,K,2,SKU-K-2,11,46,6688,3503
ALPHA,K,3,SKU-K-3,12,46,5844,8439
ALPHA,L,2,SKU-L-2,12,46,1592,796
ALPHA,L,3,SKU-L-3,13,46,1433,796
ALPHA,M,2,SKU-M-2,13,46,478,1911
ALPHA,N,3,SKU-N-3,16,46,653,478
ALPHA,O,2,SKU-O-2,14,46,3025,8439
ALPHA,O,3,SKU-O-3,14,46,2898,1752
ALPHA,Q,2,SKU-Q-2,14,46,3025,2070
ALPHA,Q,3,SKU-Q-3,14,46,3758,4140
ALPHA,S,2,SKU-S-2,15,46,2452,2707
ALPHA,S,3,SKU-S-3,16,46,3806,2229
ALPHA,U,3,SKU-U-3,17,46,1401,955
BETA,B,3,SKU-B-3,1,46,1576,637
BETA,C,2,SKU-C-2,4,46,1099,955
