Distribution Center,Product Offering,Generation,SKU,ASP Group,Week,Forecasted Demand,Customer Orders
GAMMA,L,2,SKU-L-2,12,1,11465,8758
GAMMA,M,2,SKU-M-2,13,1,10732,3981
GAMMA,N,2,SKU-N-2,14,1,6401,3344
GAMMA,O,1,SKU-O-1,14,1,16,637
GAMMA,O,2,SKU-O-2,14,1,18312,36465
GAMMA,Q,1,SKU-Q-1,14,1,223,159
GAMMA,Q,2,SKU-Q-2,14,1,5048,4299
GAMMA,S,2,SKU-S-2,15,1,16115,5096
DELTA,A,2,SKU-A-2,1,1,24936,7325
DELTA,B,1,SKU-B-1,1,1,748,159
DELTA,B,2,SKU-B-2,1,1,70541,17038
DELTA,C,1,SKU-C-1,3,1,37834,6815
DELTA,C,2,SKU-C-2,4,1,181672,43312
DELTA,E,2,SKU-E-2,7,1,6481,3025
DELTA,F,1,SKU-F-1,6,1,10223,3599
DELTA,F,2,SKU-F-2,7,1,115414,11624
DELTA,G,2,SKU-G-2,10,1,2389,223
DELTA,H,1,SKU-H-1,9,1,1385,2787
DELTA,H,2,SKU-H-2,9,1,152914,24363
DELTA,I,2,SKU-I-2,10,1,35478,6688
DELTA,J,2,SKU-J-2,11,1,3854,1592
DELTA,K,1,SKU-K-1,10,1,8025,5732
DELTA,K,2,SKU-K-2,11,1,145860,46656
DELTA,L,1,SKU-L-1,12,1,2086,159
DELTA,L,2,SKU-L-2,12,1,38949,37739
DELTA,M,1,SKU-M-1,13,1,2229,382
DELTA,M,2,SKU-M-2,13,1,35255,6847
DELTA,N,2,SKU-N-2,14,1,28997,3694
DELTA,O,2,SKU-O-2,14,1,113933,41242
DELTA,Q,1,SKU-Q-1,14,1,1672,1672
DELTA,Q,2,SKU-Q-2,14,1,49443,18790
DELTA,S,2,SKU-S-2,15,1,79299,17516
EPSILON,A,2,SKU-A-2,1,1,61338,5255
EPSILON,B,1,SKU-B-1,1,1,1513,159
EPSILON,B,2,SKU-B-2,1,1,510732,50796
EPSILON,C,1,SKU-C-1,3,1,171099,29618
EPSILON,C,2,SKU-C-2,4,1,619682,79459
EPSILON,E,2,SKU-E-2,7,1,70701,12898
EPSILON,F,1,SKU-F-1,6,1,85669,20860
EPSILON,F,2,SKU-F-2,7,1,339363,80255
EPSILON,G,2,SKU-G-2,10,1,6465,1592
EPSILON,H,1,SKU-H-1,9,1,7691,2229
EPSILON,H,2,SKU-H-2,9,1,575541,88854
EPSILON,I,2,SKU-I-2,10,1,152627,27866
EPSILON,J,2,SKU-J-2,11,1,11990,10669
EPSILON,K,1,SKU-K-1,10,1,13949,1911
EPSILON,K,2,SKU-K-2,11,1,377006,74682
EPSILON,L,1,SKU-L-1,12,1,7739,2866
EPSILON,L,2,SKU-L-2,12,1,295127,17994
EPSILON,M,1,SKU-M-1,13,1,8312,1911
EPSILON,M,2,SKU-M-2,13,1,151115,29936
EPSILON,N,2,SKU-N-2,14,1,39076,30573
EPSILON,O,1,SKU-O-1,14,1,17261,2707
EPSILON,O,2,SKU-O-2,14,1,405382,44586
EPSILON,Q,1,SKU-Q-1,14,1,11465,637
EPSILON,Q,2,SKU-Q-2,14,1,263774,69904
EPSILON,S,2,SKU-S-2,15,1,333041,60191
ALPHA,A,2,SKU-A-2,1,2,11338,19427
ALPHA,B,2,SKU-B-2,1,2,33057,33280
ALPHA,C,1,SKU-C-1,3,2,3917,6688
ALPHA,C,2,SKU-C-2,4,2,41417,6529
ALPHA,F,1,SKU-F-1,6,2,65605,24363
ALPHA,F,2,SKU-F-2,7,2,8838,22611
ALPHA,G,2,SKU-G-2,10,2,0,318
ALPHA,H,1,SKU-H-1,9,2,318,318
ALPHA,H,2,SKU-H-2,9,2,17468,17357
ALPHA,I,2,SKU-I-2,10,2,637,2070
ALPHA,J,2,SKU-J-2,11,2,0,159
ALPHA,K,1,SKU-K-1,10,2,6688,1592
ALPHA,K,2,SKU-K-2,11,2,9825,8599
ALPHA,L,1,SKU-L-1,12,2,159,159
ALPHA,L,2,SKU-L-2,12,2,955,1274
ALPHA,M,1,SKU-M-1,13,2,0,318
ALPHA,M,2,SKU-M-2,13,2,3025,7643
ALPHA,N,2,SKU-N-2,14,2,796,7006
ALPHA,O,1,SKU-O-1,14,2,5096,3185
ALPHA,O,2,SKU-O-2,14,2,11831,13694
ALPHA,Q,2,SKU-Q-2,14,2,7643,8599
ALPHA,S,2,SKU-S-2,15,2,4697,12739
BETA,B,2,SKU-B-2,1,2,478,159
BETA,E,2,SKU-E-2,7,2,318,7962
BETA,H,2,SKU-H-2,9,2,955,1433
BETA,I,2,SKU-I-2,10,2,318,478
BETA,K,2,SKU-K-2,11,2,1115,637
BETA,M,2,SKU-M-2,13,2,0,159
BETA,O,2,SKU-O-2,14,2,1433,5096
BETA,Q,2,SKU-Q-2,14,2,318,318
BETA,S,2,SKU-S-2,15,2,637,637
GAMMA,A,2,SKU-A-2,1,2,28344,13854
GAMMA,B,2,SKU-B-2,1,2,23758,23726
GAMMA,C,2,SKU-C-2,4,2,100064,17357
GAMMA,E,2,SKU-E-2,7,2,11210,10032
GAMMA,F,2,SKU-F-2,7,2,35159,26274
GAMMA,G,2,SKU-G-2,10,2,621,159
GAMMA,H,2,SKU-H-2,9,2,37803,25796
GAMMA,I,2,SKU-I-2,10,2,16497,3981
GAMMA,J,2,SKU-J-2,11,2,1354,159
GAMMA,K,2,SKU-K-2,11,2,32006,17357
GAMMA,L,1,SKU-L-1,12,2,462,159
GAMMA,L,2,SKU-L-2,12,2,11306,3503
GAMMA,M,1,SKU-M-1,13,2,175,159
GAMMA,M,2,SKU-M-2,13,2,10096,3662
GAMMA,N,2,SKU-N-2,14,2,7261,7006
GAMMA,O,2,SKU-O-2,14,2,20096,44268
GAMMA,Q,2,SKU-Q-2,14,2,10000,15924
GAMMA,S,2,SKU-S-2,15,2,16783,13694
DELTA,A,2,SKU-A-2,1,2,38408,7803
DELTA,B,1,SKU-B-1,1,2,780,159
DELTA,B,2,SKU-B-2,1,2,100701,43153
DELTA,C,1,SKU-C-1,3,2,24697,8758
DELTA,C,2,SKU-C-2,4,2,262930,74204
DELTA,E,2,SKU-E-2,7,2,6226,3503
DELTA,F,1,SKU-F-1,6,2,5796,3901
DELTA,F,2,SKU-F-2,7,2,107245,35669
DELTA,G,2,SKU-G-2,10,2,1354,955
DELTA,H,1,SKU-H-1,9,2,2038,334
DELTA,H,2,SKU-H-2,9,2,174013,45701
DELTA,I,2,SKU-I-2,10,2,28041,10828
DELTA,J,2,SKU-J-2,11,2,7803,3981
DELTA,K,1,SKU-K-1,10,2,3822,1274
DELTA,K,2,SKU-K-2,11,2,102420,56051
DELTA,L,1,SKU-L-1,12,2,1736,1513
DELTA,L,2,SKU-L-2,12,2,34809,24045
DELTA,M,1,SKU-M-1,13,2,892,239
DELTA,M,2,SKU-M-2,13,2,49873,20382
DELTA,N,2,SKU-N-2,14,2,26704,4299
DELTA,O,1,SKU-O-1,14,2,1210,159
DELTA,O,2,SKU-O-2,14,2,146879,67516
DELTA,Q,1,SKU-Q-1,14,2,1576,159
DELTA,Q,2,SKU-Q-2,14,2,46433,27548
DELTA,S,2,SKU-S-2,15,2,62293,32006
EPSILON,A,2,SKU-A-2,1,2,76274,7166
EPSILON,B,1,SKU-B-1,1,2,1672,1274
EPSILON,B,2,SKU-B-2,1,2,509618,55255
EPSILON,C,1,SKU-C-1,3,2,100255,35032
