,train_cost,val_cost
0,464229216.0,303916352.0
1,302902816.0,157541696.0
2,157148336.0,22510832.0
3,22416806.0,5961791.0
4,5986996.5,5487154.0
5,5433672.5,5056001.5
6,5091270.0,4834984.0
7,4818100.0,4601241.0
8,4622603.0,4432902.0
9,4433060.0,4267998.5
10,4289215.0,4165571.25
11,4172348.0,4078825.5
12,4078357.25,3975539.0
13,3981429.0,3906542.25
14,3906444.0,3855780.5
15,3841528.25,3765538.25
16,3777726.5,3778255.5
17,3729985.5,3716434.75
18,3690169.5,3681953.5
19,3652666.5,3608392.0
20,3617002.5,3560922.25
21,3585086.25,3536180.75
22,3556692.5,3523612.25
23,3536783.25,3521774.75
24,3509415.25,3480430.0
25,3481065.0,3462505.5
26,3456199.75,3448100.5
27,3429515.5,3439820.75
28,3405576.25,3404567.5
29,3392537.5,3368707.25
30,3363116.0,3361565.25
31,3335234.0,3308591.0
32,3314955.25,3311124.25
33,3292347.5,3254817.75
34,3266397.25,3246515.0
35,3243912.25,3247715.25
36,3220635.75,3178995.0
37,3198167.0,3182590.25
38,3170019.5,3115896.5
39,3150900.25,3125804.5
40,3127235.25,3085865.25
41,3098757.25,3135083.5
42,3080936.0,3060668.0
43,3056922.25,3056887.0
44,3032647.0,3017438.0
45,3014336.25,2999774.0
46,2991740.75,2972253.0
47,2970701.5,2947377.5
48,2948218.25,2970649.25
49,2929594.25,2846834.0
50,2908392.0,2859673.75
51,2888344.25,2850614.75
52,2864355.5,2874685.0
53,2844683.5,2840134.0
54,2825201.5,2807557.0
55,2804871.5,2782253.5
56,2785068.5,2764106.5
57,2765216.75,2723743.5
58,2745755.25,2697538.75
59,2723073.0,2717222.25
60,2703550.25,2657792.5
61,2683063.0,2657957.0
62,2666256.5,2608110.75
63,2650191.25,2646586.0
64,2627910.5,2620869.0
65,2609608.75,2603257.75
66,2591819.5,2549857.25
67,2575110.75,2519886.25
68,2556225.0,2573904.25
69,2539168.75,2494410.0
70,2521665.5,2538068.0
71,2504130.75,2479360.5
72,2486931.25,2471104.5
73,2471764.5,2467417.75
74,2454093.25,2425390.25
75,2439591.5,2408595.0
76,2425247.0,2372623.75
77,2408771.75,2382528.75
78,2391348.0,2357551.75
79,2377429.0,2364956.25
80,2361763.0,2326135.5
81,2345477.5,2336779.25
82,2332719.25,2293078.75
83,2316997.25,2276382.5
84,2300800.5,2299329.75
85,2284485.5,2256406.5
86,2274831.0,2236279.0
87,2258230.0,2239471.25
88,2241975.75,2203129.75
89,2228040.0,2225906.0
90,2213421.25,2177980.75
91,2198637.0,2185316.0
92,2187433.5,2131133.0
93,2174014.25,2130227.0
94,2159867.0,2138329.75
95,2146843.75,2143993.75
96,2134163.75,2110419.75
97,2118432.0,2089504.125
98,2105532.25,2082071.5
99,2092670.0,2047174.0
100,2083923.375,2043031.875
101,2073551.25,2049080.125
102,2058482.875,2057719.875
103,2045074.5,2053370.625
104,2031828.0,2025897.625
105,2020449.0,1994033.25
106,2011852.875,1987899.75
107,1997602.5,1960195.75
108,1987334.0,1959356.625
109,1975541.75,1966995.5
110,1963176.0,1951452.75
111,1953609.0,1918833.5
112,1943449.5,1919783.75
113,1931184.0,1909337.25
114,1923347.375,1901904.375
115,1908246.875,1875421.125
116,1902118.0,1895807.25
117,1887671.75,1870884.125
118,1881634.875,1845701.25
119,1867752.875,1857203.375
120,1877992.125,1857901.0
121,1848840.5,1843858.25
122,1836434.375,1793285.5
123,1824394.125,1797981.25
124,1821247.375,1772586.75
125,1803557.75,1803301.625
126,1814556.875,1774830.625
127,1785742.125,1768415.125
128,1777585.875,1769241.25
129,1768703.25,1751550.75
130,1771237.625,1738296.0
131,1755315.5,1777162.625
132,1763075.375,1717291.625
133,1734360.625,1735205.125
134,1729459.25,1709767.75
135,1717775.375,1707163.75
136,1708616.625,1688051.625
137,1699232.25,1693875.375
138,1694971.25,1680589.0
139,1685402.625,1672684.75
140,1698346.0,1699388.125
141,1683388.5,1745187.25
142,1720126.625,1669580.125
143,1672140.0,1644662.75
144,1666042.375,1655344.875
145,1654811.5,1665711.75
146,1655614.375,1638543.0
147,1641737.25,1637896.0
148,1648843.375,1600138.75
149,1632239.25,1633921.875
150,1646224.125,1628708.375
151,1622451.125,1609217.625
152,1618363.5,1607110.875
153,1607228.75,1589285.5
154,1607841.375,1594493.875
155,1602133.375,1588490.75
156,1608583.125,1592940.75
157,1587476.25,1554593.375
158,1588404.25,1587141.125
159,1575828.0,1573987.875
160,1581043.375,1551967.125
161,1567710.0,1569081.5
162,1576331.25,1556598.25
163,1557023.125,1568665.75
164,1566785.875,1548126.5
165,1552241.0,1566588.0
166,1580000.75,1564790.625
167,1551067.5,1559251.375
168,1569032.875,1542283.875
169,1533595.5,1556403.875
170,1539706.625,1525847.625
171,1523773.375,1520818.25
172,1525039.0,1504931.875
173,1514425.75,1532782.125
174,1519934.5,1485284.75
175,1511307.875,1512964.375
176,1521668.25,1514435.875
177,1508606.0,1522815.625
178,1518299.5,1498646.5
179,1497640.875,1520190.375
180,1510999.0,1470268.625
181,1489764.75,1478057.625
182,1494586.5,1467398.625
183,1479959.875,1477957.0
184,1480799.625,1461258.125
185,1474356.0,1463736.375
186,1475732.5,1451834.625
187,1468989.0,1458396.875
188,1471495.5,1469416.25
189,1467542.25,1501865.25
190,1505066.75,1464762.875
191,1470305.625,1457170.0
192,1488493.25,1428345.375
193,1452262.375,1446147.5
194,1451211.125,1410587.25
195,1444870.375,1433586.625
196,1443177.125,1422927.75
197,1440618.625,1435793.875
198,1436823.5,1435560.875
199,1434042.0,1426056.375
200,1431513.625,1421648.5
201,1429699.25,1434421.125
202,1426725.0,1399806.25
203,1426535.25,1420174.125
204,1432961.0,1805880.5
205,1842600.875,1560814.125
206,1565203.375,1498467.5
207,1490550.875,1438335.5
208,1463730.875,1427156.625
209,1458182.375,1429977.5
210,1453401.75,1454805.875
211,1448191.875,1446017.75
212,1444745.625,1438307.875
213,1441145.375,1459831.125
214,1438134.25,1443473.875
215,1435564.125,1442298.375
216,1432930.5,1401071.0
217,1429680.125,1433567.125
218,1427218.625,1415294.875
219,1424281.0,1398346.375
220,1423167.5,1403711.125
221,1420228.0,1423578.875
222,1418744.375,1425103.0
223,1417022.25,1397954.75
224,1414822.875,1392929.75
225,1412669.375,1425303.625
226,1410682.375,1394768.625
227,1410706.0,1413351.875
228,1408796.875,1401488.875
229,1413162.5,1399695.375
230,1410927.0,1437441.375
231,1427216.625,1405074.125
232,1411758.0,1439236.0
233,1428362.0,1398508.625
234,1408508.125,1406746.125
235,1419481.0,1401965.875
236,1400722.75,1404786.25
237,1399429.0,1401952.5
238,1393079.125,1388122.625
239,1395500.625,1393153.0
240,1389423.25,1381353.125
241,1391604.5,1397476.75
242,1390514.625,1424082.625
243,1399430.75,1384499.75
244,1392129.375,1408576.25
245,1402084.0,1402979.25
246,1385044.5,1395979.25
247,1391033.125,1387398.0
248,1383539.75,1393280.25
249,1386464.125,1386200.25
250,1377255.875,1377480.875
251,1378751.75,1366895.375
252,1374558.5,1366974.25
253,1374692.125,1366120.625
254,1374975.375,1364027.875
255,1381847.25,1376145.25
256,1376466.0,1389652.5
257,1390498.75,1387473.5
258,1392752.875,1402114.875
259,1409459.5,1380624.625
260,1381654.5,1366317.875
261,1375783.625,1366620.375
262,1367860.625,1357139.75
263,1366621.875,1371770.375
264,1360940.125,1392870.625
265,1374345.375,1369731.375
266,1367335.0,1385613.625
267,1363627.625,1345525.875
268,1363716.0,1351446.5
269,1360747.75,1359994.125
270,1360519.125,1362069.625
271,1358224.125,1363831.5
272,1357545.875,1346959.0
273,1356104.0,1371949.875
274,1357657.875,1360561.625
275,1357763.5,1390737.75
276,1379401.0,1413329.75
277,1413500.125,1473556.75
278,1451374.625,1402280.5
279,1403448.5,1400691.75
280,1369822.125,1356077.875
281,1357355.875,1361912.75
282,1355562.375,1385073.75
283,1352519.5,1370955.5
284,1350957.375,1357295.375
285,1349028.625,1341672.625
286,1348505.625,1336619.25
287,1346869.0,1360221.125
288,1346133.625,1356999.5
289,1344237.375,1358666.25
290,1355217.75,1356329.5
291,1357753.25,1367565.875
292,1363769.875,1381241.875
293,1375149.375,1364510.25
294,1365314.25,1349280.25
295,1362887.125,1385726.5
296,1377977.875,1389714.25
297,1373006.125,1362464.0
298,1359483.75,1369678.0
299,1350781.375,1352600.75
300,1347439.25,1338201.0
301,1345369.375,1347998.875
302,1340825.0,1331919.25
303,1340250.625,1356636.375
304,1339130.0,1334188.75
305,1339191.75,1347626.75
306,1335433.125,1348912.875
307,1342688.25,1343936.25
308,1347148.75,1378150.5
309,1358053.625,1378637.25
310,1356242.75,1331732.75
311,1351942.375,1354526.5
312,1344677.0,1311162.5
313,1338967.875,1334901.125
314,1333491.75,1335822.875
315,1333992.875,1328299.125
316,1331057.25,1350494.375
317,1332062.375,1345832.375
318,1329562.875,1351920.625
319,1332257.5,1359336.25
320,1348163.5,1365622.25
321,1352753.25,1368604.125
322,1358970.625,1329757.375
323,1340685.625,1335011.5
324,1331854.0,1334127.625
325,1327220.75,1333460.5
326,1325938.125,1345638.875
327,1326789.25,1329007.5
328,1325404.375,1341602.5
329,1324276.75,1324193.375
330,1322052.625,1350140.875
331,1323310.5,1315978.75
332,1322772.625,1340241.0
333,1332185.625,1342835.125
334,1346230.75,1377391.0
335,1360482.5,1372102.625
336,1370057.625,1382511.875
337,1348538.625,1335734.5
338,1347111.875,1320070.0
339,1326331.125,1324843.625
