,train_cost,val_cost
0,320586464.0,88380832.0
1,88497472.0,4733291.5
2,4717174.0,4623089.5
3,4670058.5,4669279.5
4,4632462.5,4586374.5
5,4585007.5,4518958.5
6,4533338.0,4461193.5
7,4497826.0,4480676.0
8,4479140.0,4468082.0
9,4466360.0,4424483.5
10,4451673.5,4470587.0
11,4440306.0,4417400.0
12,4428027.0,4382058.5
13,4413576.5,4429727.0
14,4408091.5,4374611.0
15,4401558.5,4377864.5
16,4391316.5,4355156.5
17,4378457.0,4320555.0
18,4370546.0,4329349.5
19,4359329.0,4332909.0
20,4356202.0,4303907.5
21,4343798.0,4291535.0
22,4338598.0,4305304.0
23,4325719.5,4289071.5
24,4300145.5,4238219.5
25,4268466.5,4242889.5
26,4242539.0,4218517.5
27,4228482.5,4224412.5
28,4216190.0,4191964.25
29,4202759.5,4186498.5
30,4189364.75,4192304.75
31,4178669.5,4141585.0
32,4165334.75,4158729.25
33,4153114.5,4113809.0
34,4141884.5,4134933.0
35,4133260.0,4107818.0
36,4122016.0,4107098.0
37,4112045.5,4104838.25
38,4101988.0,4135514.0
39,4094213.5,4066525.75
40,4083750.75,4072297.0
41,4077035.75,4071950.0
42,4067282.5,4060917.5
43,4056852.75,3980929.0
44,4045953.5,4052284.5
45,4036723.0,4030950.25
46,4027041.25,4020057.25
47,4016273.75,3975748.75
48,4005246.5,3973748.5
49,3995477.75,3988610.0
50,3985051.0,3979204.75
51,3974574.5,3922023.5
52,3962899.75,3960792.25
53,3951389.75,3935064.25
54,3938606.75,3912857.5
55,3925495.0,3923162.5
56,3909700.25,3872039.5
57,3896380.75,3890231.5
58,3882930.25,3878704.25
59,3871637.25,3832450.0
60,3857707.75,3828902.5
61,3842097.75,3798408.0
62,3828422.0,3837565.5
63,3814243.5,3732973.5
64,3798271.75,3778587.0
65,3781901.75,3711797.25
66,3764402.5,3730334.25
67,3748823.25,3712655.5
68,3730704.0,3672910.75
69,3712127.75,3642475.25
70,3696180.25,3698726.0
71,3678857.25,3690392.25
72,3659567.75,3620191.75
73,3639917.0,3614545.75
74,3619699.25,3571921.25
75,3599763.5,3570595.5
76,3582543.5,3558093.25
77,3561728.75,3553553.0
78,3541689.25,3510304.75
79,3520495.5,3487870.75
80,3499110.25,3496169.0
81,3478231.5,3439950.75
82,3456755.25,3436152.0
83,3434017.75,3431782.0
84,3411607.0,3366988.0
85,3390012.5,3338275.0
86,3365812.25,3310374.0
87,3341845.0,3291263.25
88,3319074.25,3292151.0
89,3296793.5,3278941.25
90,3272288.25,3244270.5
91,3246382.25,3215656.5
92,3221844.0,3168579.75
93,3196526.25,3188057.5
94,3172628.0,3129920.5
95,3149857.75,3118881.25
96,3124598.5,3106123.0
97,3098660.75,3047262.5
98,3072410.5,3005992.5
99,3044529.5,3017650.5
100,3021496.75,2964379.75
101,2993277.0,2972689.0
102,2967342.0,2940684.0
103,2939519.25,2899531.0
104,2911022.0,2875354.0
105,2886379.75,2841432.25
106,2854007.0,2812778.25
107,2829872.0,2800554.75
108,2803651.0,2745666.75
109,2780791.75,2703365.0
110,2761200.75,2720721.75
111,2735645.25,2723266.0
112,2715206.5,2682802.75
113,2691322.0,2680523.0
114,2666317.75,2639757.25
115,2642091.5,2625890.5
116,2617167.0,2585342.5
117,2588632.25,2569786.0
118,2573693.5,2537136.25
119,2551031.5,2540513.0
120,2528160.0,2518128.25
121,2508481.0,2507897.25
122,2484963.5,2466958.25
123,2460672.5,2431223.75
124,2439037.75,2444979.0
125,2415302.5,2421168.5
126,2395796.0,2359068.25
127,2376174.75,2334789.5
128,2355956.75,2333855.25
129,2332220.25,2309158.0
130,2310754.0,2280698.75
131,2287839.25,2266361.75
132,2263350.0,2218309.25
133,2245474.0,2207283.75
134,2225236.5,2184073.5
135,2201036.75,2159174.75
136,2180929.0,2153054.25
137,2169577.0,2147517.0
138,2151818.25,2120787.5
139,2133836.75,2114419.0
140,2116947.5,2085869.25
141,2098259.5,2101633.5
142,2078805.0,2062516.5
143,2065135.75,2069167.25
144,2042401.375,2038871.0
145,2033798.0,2012597.5
146,2015826.25,1979194.125
147,1997917.625,1997238.75
148,1989618.125,1951461.625
149,1968973.0,1946142.0
150,1954217.625,1968689.125
151,1939401.375,1959613.625
152,1929085.5,1866752.875
153,1910576.25,1881412.625
154,1900738.125,1890110.5
155,1885002.5,1849767.375
156,1875640.625,1873400.125
157,1869943.0,1863962.625
158,1855594.25,1848670.5
159,1842082.25,1845999.5
160,1829096.625,1805405.375
161,1809513.875,1800643.625
162,1809606.375,1799865.25
163,1789497.25,1789110.5
164,1788556.875,1804703.625
165,1769645.875,1778847.875
166,1769077.125,1760582.375
167,1752138.75,1759613.375
168,1757994.75,1720496.625
169,1736475.5,1719745.625
170,1730781.375,1735351.25
171,1714976.75,1706763.0
172,1710829.0,1682391.875
173,1694338.125,1714469.875
174,1701534.5,1687709.125
175,1682197.875,1708612.375
176,1688617.125,1653177.5
177,1668273.0,1646922.625
178,1676007.125,1663503.625
179,1655612.875,1653559.0
180,1667846.375,1666743.875
181,1644506.375,1649939.25
182,1647668.625,1606135.25
183,1631590.75,1622725.5
184,1638818.75,1617749.375
185,1622055.5,1652872.0
186,1632930.25,1617237.125
187,1613530.5,1601635.875
188,1615285.75,1598145.75
189,1602277.5,1608302.25
190,1608358.625,1606428.75
191,1586345.625,1613875.375
192,1587372.125,1561359.125
193,1576035.25,1587498.25
194,1587573.25,1563124.75
195,1568371.0,1573903.5
196,1575928.75,1575900.875
197,1559130.125,1577824.5
198,1570251.875,1532403.625
199,1553288.0,1551950.875
200,1565468.0,1524690.625
201,1542240.125,1524907.375
202,1542006.5,1516201.0
203,1532777.75,1557344.25
204,1551974.0,1530722.375
205,1529561.75,1560811.875
206,1551422.25,1512195.75
207,1526831.75,1521359.25
208,1540976.125,1509946.0
209,1518637.25,1500399.5
210,1520556.875,1538041.25
211,1511153.5,1532337.5
212,1516545.625,1495014.375
213,1504036.75,1497389.0
214,1514556.0,1491557.25
215,1496222.5,1486003.125
216,1502928.625,1495877.5
217,1488720.625,1474899.125
218,1492063.625,1494706.875
219,1481423.5,1495272.375
220,1494214.625,1488907.875
221,1485994.125,1551165.375
222,1548547.125,1483765.5
223,1484206.5,1482233.375
224,1483240.0,1494305.0
225,1474599.125,1460530.625
226,1470930.625,1456622.625
227,1466099.375,1463508.5
228,1463073.0,1467090.75
229,1458810.625,1441094.75
230,1455574.25,1443976.5
231,1451678.375,1441892.125
232,1449258.0,1419038.625
233,1446118.625,1453847.0
234,1444202.25,1447836.875
235,1450643.125,1686777.625
236,1669369.25,1508078.625
237,1513909.625,1486408.5
238,1485814.25,1465874.625
239,1468598.875,1453335.25
240,1463390.875,1456065.0
241,1459043.0,1445319.75
242,1455450.375,1423928.75
243,1452067.25,1424136.5
244,1448862.375,1434274.5
245,1445852.125,1431213.0
246,1443059.375,1435563.5
247,1440620.125,1434054.75
248,1438315.625,1442031.75
249,1435875.875,1433525.375
250,1434797.625,1462771.0
251,1466389.875,1480483.375
252,1495615.5,1590623.125
253,1601245.0,1477617.125
254,1461052.5,1467425.875
255,1457946.375,1443722.0
256,1454142.375,1437884.0
257,1451531.375,1447416.125
258,1448735.375,1453738.5
259,1445819.75,1426893.875
260,1445869.25,1438853.625
261,1442170.875,1460141.625
262,1446978.5,1446954.25
263,1440962.0,1419943.875
264,1445616.25,1431564.125
265,1437292.375,1436055.25
266,1435109.25,1417155.875
267,1432088.75,1408677.5
268,1430509.25,1407130.375
269,1427288.25,1424680.0
270,1425746.875,1410327.25
271,1423805.625,1422989.625
272,1428549.625,1416511.375
273,1426874.875,1475407.0
274,1470030.25,1423255.875
275,1432441.0,1432301.875
276,1431688.5,1417602.25
277,1423535.75,1407954.25
278,1420982.75,1415528.0
279,1418319.75,1410935.25
280,1416217.5,1398078.0
281,1414455.0,1394946.125
282,1412012.125,1426813.375
283,1413370.25,1397760.375
284,1410550.75,1414989.75
285,1417493.625,1411919.625
286,1421105.125,1476268.625
287,1461348.75,1407099.875
288,1427442.0,1422879.75
289,1417227.875,1401531.5
290,1410054.375,1414034.25
291,1408357.25,1388635.125
292,1406651.5,1387801.5
293,1404415.625,1392016.25
294,1402837.375,1386423.875
295,1400830.5,1387453.125
296,1399435.125,1386860.125
297,1398144.75,1371689.875
298,1396437.875,1390112.875
299,1395496.0,1390165.125
300,1398193.375,1435911.25
301,1422880.75,1585323.625
302,1608741.75,1538895.25
303,1541401.25,1425250.75
304,1438345.375,1437802.75
305,1425689.875,1428270.375
306,1424076.5,1410024.875
307,1422307.25,1420212.0
308,1420593.875,1410278.875
309,1418773.375,1401639.5
310,1416616.875,1415267.5
311,1414706.25,1426233.375
312,1413371.25,1413574.625
313,1411510.25,1391139.5
314,1409844.75,1404938.25
315,1408846.625,1397448.375
316,1406986.875,1412116.25
317,1406108.5,1404458.75
318,1404203.25,1393513.125
319,1403171.875,1390019.875
320,1401966.625,1404852.5
321,1401148.875,1409148.0
322,1403485.25,1437362.25
323,1441508.0,1406151.875
324,1423847.125,1433005.625
325,1426585.0,1410906.375
326,1408301.625,1390983.75
327,1405226.5,1387884.0
328,1403243.75,1392730.625
329,1401558.75,1378595.5
330,1400134.0,1391228.875
331,1398386.75,1388950.875
332,1397502.5,1389557.5
333,1396342.75,1385159.5
334,1399069.125,1393999.625
335,1400641.375,1449386.25
336,1443057.75,1403713.375
337,1420733.375,1377002.5
338,1408082.75,1383323.25
339,1400906.25,1388711.125
