,pretrain_train_cost,pretrain_val_cost
0,185021088.0,177227008.0
1,177805328.0,177227008.0
2,174388496.0,177227008.0
3,170593152.0,177227008.0
4,166984480.0,177227008.0
5,163659168.0,177227008.0
6,160120688.0,177227008.0
7,156770112.0,177227008.0
8,153132976.0,177227008.0
9,149714112.0,177227008.0
10,146149600.0,177227008.0
11,142303168.0,177227008.0
12,138438096.0,177227008.0
13,134549392.0,177227008.0
14,130712064.0,177227008.0
15,126727704.0,177227008.0
16,122703632.0,177227008.0
17,118586552.0,177227008.0
18,114611800.0,177227008.0
19,110380424.0,177227008.0
20,106229632.0,177227008.0
21,101128360.0,177227008.0
22,97263216.0,177227008.0
23,93684648.0,177227008.0
24,87771952.0,177227008.0
25,82413176.0,177227008.0
26,76901848.0,177227008.0
27,71619328.0,177227008.0
28,66283420.0,177227008.0
29,60803572.0,177227008.0
30,56752304.0,177227008.0
31,50969428.0,177227008.0
32,44501116.0,177227008.0
33,38078872.0,177227008.0
34,31891116.0,177227008.0
35,25648836.0,177227008.0
36,19340086.0,177227008.0
37,12883288.0,177227008.0
38,7409234.5,177227008.0
39,5807912.5,177227008.0
40,4854072.0,177227008.0
41,4278222.5,177227008.0
42,3884257.5,177227008.0
43,3601222.0,177227008.0
44,3412483.75,177227008.0
45,3267425.0,177227008.0
46,3164021.25,177227008.0
47,3082815.75,177227008.0
48,3020092.25,177227008.0
49,2967173.75,177227008.0
50,2927017.0,2899094.75
51,2889168.0,2899094.75
52,2727330.5,2899094.75
53,3725753.75,2899094.75
54,3247903.5,2899094.75
55,2884732.5,2899094.75
56,2655504.5,2899094.75
57,2564338.0,2899094.75
58,2544802.0,2899094.75
59,2514057.5,2899094.75
60,2493657.0,2899094.75
61,2473233.5,2899094.75
62,2437323.0,2899094.75
63,2384256.0,2899094.75
64,2308589.75,2899094.75
65,2309590.5,2899094.75
66,2400725.75,2899094.75
67,2893655.25,2899094.75
68,2432208.0,2899094.75
69,2189649.25,2899094.75
70,2084052.0,2899094.75
71,1969589.5,2899094.75
72,1850440.125,2899094.75
73,1874777.875,2899094.75
74,4607208.5,2899094.75
75,3730259.25,2899094.75
76,3528163.25,2899094.75
77,3336071.0,2899094.75
78,3153114.5,2899094.75
79,2978723.5,2899094.75
80,2811878.25,2899094.75
81,2656006.0,2899094.75
82,2515385.75,2899094.75
83,2389024.25,2899094.75
84,2280113.75,2899094.75
85,2190160.5,2899094.75
