,fine_tune_train_cost,fine_tune_val_cost
0,1102349.25,63451204.0
1,63509164.0,63451204.0
2,1778121.125,63451204.0
3,1222916.875,63451204.0
4,1487724.375,63451204.0
5,1833667.0,63451204.0
6,1382002.0,63451204.0
7,1139456.875,63451204.0
8,1123086.375,63451204.0
9,1230035.125,63451204.0
10,1262174.875,63451204.0
11,1101405.125,63451204.0
12,1094934.25,63451204.0
13,1089093.625,63451204.0
14,1083916.5,63451204.0
15,1079120.25,63451204.0
16,1074610.875,63451204.0
17,1070853.125,63451204.0
18,1067513.75,63451204.0
19,1064562.25,63451204.0
20,1061765.25,63451204.0
21,1059119.5,63451204.0
22,1056500.5,63451204.0
23,1058631.875,63451204.0
24,1072805.75,63451204.0
25,1064367.625,63451204.0
26,1068203.5,63451204.0
27,1060227.25,63451204.0
28,1064032.25,63451204.0
29,1059507.5,63451204.0
30,1061627.0,63451204.0
31,1060585.375,63451204.0
32,1072927.0,63451204.0
33,1070999.875,63451204.0
34,1130200.625,63451204.0
35,1081010.25,63451204.0
36,1187794.25,63451204.0
37,1066373.0,63451204.0
38,1112302.5,63451204.0
39,1073981.125,63451204.0
40,1154628.875,63451204.0
41,1062526.875,63451204.0
42,1112723.875,63451204.0
43,1068101.75,63451204.0
44,1133367.5,63451204.0
45,1055910.75,63451204.0
46,1096855.625,63451204.0
47,1072418.75,63451204.0
48,1185534.125,63451204.0
49,1177545.125,63451204.0
50,1539254.875,1066835.625
51,1077824.875,1066835.625
52,34179192.0,1066835.625
53,1651484.0,1066835.625
54,1096619.875,1066835.625
55,1076845.25,1066835.625
56,7507905.0,1066835.625
57,5277630.5,1066835.625
58,4541925.5,1066835.625
59,3969464.5,1066835.625
60,3645338.0,1066835.625
61,3215994.75,1066835.625
62,2844899.0,1066835.625
63,2518086.0,1066835.625
64,2221205.5,1066835.625
65,1955673.625,1066835.625
66,1711137.0,1066835.625
67,1489898.625,1066835.625
68,1293356.5,1066835.625
69,1140510.75,1066835.625
70,1072313.375,1066835.625
71,1059702.75,1066835.625
72,1056563.125,1066835.625
73,1089197.125,1066835.625
74,1084583.875,1066835.625
75,1893678.125,1066835.625
76,1812324.5,1066835.625
77,1586847.125,1066835.625
78,1501774.0,1066835.625
79,1301623.75,1066835.625
80,1147430.25,1066835.625
81,1080635.375,1066835.625
82,1063386.125,1066835.625
83,1059333.875,1066835.625
84,1056250.0,1066835.625
85,1054128.75,1066835.625
86,1051966.0,1066835.625
87,1049899.75,1066835.625
88,1047856.25,1066835.625
89,1045950.5625,1066835.625
90,1044113.625,1066835.625
91,1042345.4375,1066835.625
92,1040748.0625,1066835.625
93,1039133.875,1066835.625
94,1037571.5625,1066835.625
95,1036105.4375,1066835.625
96,1034797.5625,1066835.625
97,1033403.625,1066835.625
98,1032127.0625,1066835.625
99,1031022.3125,1066835.625
100,1029914.75,1012515.6875
101,1028776.5625,10269125.0
102,9903882.0,10269125.0
103,5572870.5,10269125.0
104,4825854.5,10269125.0
105,4059739.75,10269125.0
106,3516049.75,10269125.0
107,3033517.5,10269125.0
108,2594617.75,10269125.0
109,2190829.0,10269125.0
110,1810755.125,10269125.0
111,1458717.75,10269125.0
