,pretrain_train_cost,pretrain_val_cost
0,182781088.0,177976256.0
1,176369232.0,177976256.0
2,169446528.0,177976256.0
3,164362032.0,177976256.0
4,159035072.0,177976256.0
5,155257216.0,177976256.0
6,151264672.0,177976256.0
7,145973488.0,177976256.0
8,141433168.0,177976256.0
9,137522112.0,177976256.0
10,132473368.0,177976256.0
11,128414744.0,177976256.0
12,123702560.0,177976256.0
13,119080240.0,177976256.0
14,113848616.0,177976256.0
15,109407008.0,177976256.0
16,103782232.0,177976256.0
17,99227640.0,177976256.0
18,93285488.0,177976256.0
19,88525280.0,177976256.0
20,82279784.0,177976256.0
21,77318392.0,177976256.0
22,70765544.0,177976256.0
23,65580092.0,177976256.0
24,58713480.0,177976256.0
25,53071976.0,177976256.0
26,45998924.0,177976256.0
27,40059660.0,177976256.0
28,32582490.0,177976256.0
29,26358970.0,177976256.0
30,18569960.0,177976256.0
31,12222003.0,177976256.0
32,6342829.0,177976256.0
33,5059709.5,177976256.0
34,4233116.5,177976256.0
35,3804784.75,177976256.0
36,3550819.0,177976256.0
37,3371988.75,177976256.0
38,3246052.0,177976256.0
39,3153467.5,177976256.0
40,3075645.0,177976256.0
41,3012620.75,177976256.0
42,2958711.75,177976256.0
43,2916162.75,177976256.0
44,2880338.25,177976256.0
45,2852451.0,177976256.0
46,2826271.0,177976256.0
47,2805043.25,177976256.0
48,2785330.25,177976256.0
49,2769722.75,177976256.0
50,2756311.0,2713295.75
51,2742749.25,2713295.75
52,2636909.25,2713295.75
53,13764792.0,2713295.75
54,2993843.0,2713295.75
55,2883195.5,2713295.75
56,2797428.75,2713295.75
57,2732594.75,2713295.75
58,2793909.25,2713295.75
59,2718241.25,2713295.75
60,2654737.75,2713295.75
61,2594098.0,2713295.75
62,2551057.75,2713295.75
63,2531045.0,2713295.75
64,2488657.75,2713295.75
65,2460212.5,2713295.75
66,2433812.5,2713295.75
67,2409294.25,2713295.75
68,2381961.75,2713295.75
69,2355767.5,2713295.75
70,2329830.5,2713295.75
71,2303063.0,2713295.75
72,2275065.25,2713295.75
73,2246681.0,2713295.75
74,2217845.25,2713295.75
75,2188345.0,2713295.75
76,2157350.5,2713295.75
77,2123590.75,2713295.75
78,2070542.375,2713295.75
79,2060281.875,2713295.75
80,1894579.625,2713295.75
81,1692371.25,2713295.75
82,1554602.25,2713295.75
83,1806341.5,2713295.75
84,1913353.5,2713295.75
85,1980748.75,2713295.75
86,1358954.25,2713295.75
87,1259677.5,2713295.75
88,1176176.5,2713295.75
89,1105253.25,2713295.75
90,1049116.0,2713295.75
91,1011112.3125,2713295.75
92,1007416.9375,2713295.75
93,1251831.5,2713295.75
94,1850299.625,2713295.75
95,3197367.25,2713295.75
96,1887101.0,2713295.75
97,1196443.375,2713295.75
98,1054011.75,2713295.75
99,1018682.125,2713295.75
100,990932.0,979097.1875
101,968151.9375,979097.1875
102,54352444.0,979097.1875
103,1528303.75,979097.1875
104,1344189.125,979097.1875
105,1961322.75,979097.1875
106,1083441.125,979097.1875
107,906772.6875,979097.1875
108,895901.375,979097.1875
109,886877.3125,979097.1875
110,879777.3125,979097.1875
111,873643.875,979097.1875
112,868135.3125,979097.1875
113,863057.1875,979097.1875
114,858539.625,979097.1875
115,854676.625,979097.1875
116,853066.125,979097.1875
117,852479.6875,979097.1875
118,856183.8125,979097.1875
119,859799.1875,979097.1875
120,908379.375,979097.1875
121,963818.9375,979097.1875
122,1215385.375,979097.1875
123,858600.75,979097.1875
124,868234.1875,979097.1875
125,875235.5,979097.1875
126,912822.0625,979097.1875
127,921866.0,979097.1875
128,1037302.4375,979097.1875
129,880828.5,979097.1875
130,928984.625,979097.1875
131,898408.5,979097.1875
132,951731.0625,979097.1875
133,1019906.25,979097.1875
134,1333534.625,979097.1875
135,854960.125,979097.1875
136,851428.6875,979097.1875
137,856486.75,979097.1875
138,854081.3125,979097.1875
139,871956.0625,979097.1875
140,876688.0,979097.1875
141,923254.0625,979097.1875
142,886060.0625,979097.1875
143,939579.5625,979097.1875
144,875160.0,979097.1875
145,916732.0625,979097.1875
146,874313.8125,979097.1875
147,918395.875,979097.1875
148,869650.0,979097.1875
149,910596.125,979097.1875
150,873829.125,954904.0
151,922970.25,954904.0
152,50256088.0,954904.0
153,1042830.3125,954904.0
154,970868.875,954904.0
155,933679.8125,954904.0
156,910691.1875,954904.0
157,899443.6875,954904.0
158,937925.6875,954904.0
159,1055201.875,954904.0
160,1392655.75,954904.0
161,872385.375,882415.625
162,863224.6875,870332.125
163,853687.0625,875477.5625
164,848718.9375,873395.875
165,844543.125,870313.625
166,843692.6875,901808.5625
167,849346.6875,901808.5625
168,867018.4375,901808.5625
169,907626.6875,901808.5625
170,1091469.875,901808.5625
171,871636.1875,901808.5625
172,939833.5,901808.5625
173,917369.0,901808.5625
174,1082323.75,901808.5625
175,849800.1875,901808.5625
176,878013.6875,901808.5625
177,887398.3125,901808.5625
178,994000.8125,901808.5625
179,868948.8125,901808.5625
180,990222.0625,901808.5625
181,871302.9375,901808.5625
182,957967.25,901808.5625
183,877794.75,901808.5625
184,970854.4375,901808.5625
185,868783.5625,901808.5625
186,939254.875,901808.5625
187,865628.625,901808.5625
188,915250.0,901808.5625
189,865446.0625,901808.5625
190,921899.1875,901808.5625
191,860714.6875,901808.5625
192,900605.75,901808.5625
193,856461.5,901808.5625
194,898093.875,901808.5625
195,856809.625,901808.5625
196,898102.3125,901808.5625
197,854939.625,901808.5625
198,895712.375,901808.5625
199,856641.5625,901808.5625
