,fine_tune_train_cost,fine_tune_val_cost
0,826625.75,51817576.0
1,51722388.0,51817576.0
2,914922.9375,51817576.0
3,1536144.125,51817576.0
4,2166809.75,51817576.0
5,1271236.5,51817576.0
6,916749.1875,51817576.0
7,847019.0625,51817576.0
8,836888.5625,51817576.0
9,833039.0,51817576.0
10,827026.625,51817576.0
11,825524.5625,51817576.0
12,822641.0625,51817576.0
13,821772.5625,51817576.0
14,821604.625,51817576.0
15,823884.75,51817576.0
16,823493.5,51817576.0
17,835339.9375,51817576.0
18,829281.9375,51817576.0
19,865152.5,51817576.0
20,852641.625,51817576.0
21,898155.8125,51817576.0
22,847513.125,51817576.0
23,882208.0,51817576.0
24,840591.0,51817576.0
25,870071.25,51817576.0
26,832360.0625,51817576.0
27,853047.625,51817576.0
28,838858.125,51817576.0
29,874230.75,51817576.0
30,839898.4375,51817576.0
31,878644.875,51817576.0
32,838774.125,51817576.0
33,876635.5,51817576.0
34,836645.625,51817576.0
35,868914.625,51817576.0
36,832003.6875,51817576.0
37,862229.125,51817576.0
38,829789.4375,51817576.0
39,860120.25,51817576.0
40,826559.9375,51817576.0
41,850894.5625,51817576.0
42,831870.3125,51817576.0
43,873219.1875,51817576.0
44,836731.9375,51817576.0
45,885789.5,51817576.0
46,830085.375,51817576.0
47,868294.6875,51817576.0
48,829727.5625,51817576.0
49,867934.0,51817576.0
50,828837.0,904019.125
51,865526.25,904019.125
52,47179556.0,904019.125
53,884585.0,904019.125
54,1233556.0,904019.125
55,900317.0625,904019.125
56,920382.0625,904019.125
57,857786.0,904019.125
58,859988.3125,904019.125
59,816595.8125,904019.125
60,862010.0,904019.125
61,880560.4375,904019.125
62,839259.8125,904019.125
63,862691.3125,904019.125
64,835651.875,904019.125
65,874218.75,904019.125
66,832467.625,904019.125
67,863102.9375,904019.125
68,832894.125,904019.125
69,859896.1875,904019.125
70,831456.5,904019.125
71,859462.5625,904019.125
72,828410.8125,904019.125
73,852767.875,904019.125
74,821996.875,904019.125
75,843624.75,904019.125
76,812002.6875,904019.125
77,836782.375,904019.125
78,814782.5625,904019.125
79,840664.5,904019.125
80,813965.1875,904019.125
81,837687.25,904019.125
82,815467.875,904019.125
83,847126.75,904019.125
84,813228.6875,904019.125
85,846070.375,904019.125
86,809993.125,904019.125
87,834794.375,904019.125
88,813684.4375,904019.125
89,850358.875,904019.125
90,805138.625,904019.125
91,833367.3125,904019.125
92,809502.5,904019.125
93,843613.75,904019.125
94,809463.6875,904019.125
95,843954.9375,904019.125
96,808097.375,904019.125
97,842829.0625,904019.125
98,807354.125,904019.125
99,840952.875,904019.125
100,806015.5,885299.625
101,842234.4375,885299.625
102,45131880.0,885299.625
103,1078002.375,885299.625
104,885573.5,885299.625
105,847743.6875,885299.625
106,827023.25,885299.625
107,835456.375,885299.625
108,819241.5625,885299.625
109,826865.6875,885299.625
110,815996.0625,885299.625
111,830700.75,885299.625
112,818042.25,885299.625
113,836971.375,885299.625
114,807894.0,885299.625
115,814694.875,885299.625
116,803454.3125,860773.375
117,815471.8125,860773.375
118,800582.75,864188.1875
119,814612.0,864188.1875
120,801257.75,864188.1875
121,822895.75,864188.1875
122,806402.75,864188.1875
123,835480.8125,864188.1875
124,800793.125,864188.1875
125,823166.3125,864188.1875
126,800020.8125,873413.125
127,821294.3125,873413.125
128,799398.25,863794.5
129,824236.375,863794.5
130,793951.5625,857395.625
131,811404.0625,857395.625
132,793320.125,856908.3125
133,812262.3125,856908.3125
134,792188.625,848498.4375
135,809283.1875,848498.4375
136,792333.375,848498.4375
137,811852.1875,848498.4375
138,790677.6875,851099.3125
139,808947.3125,851099.3125
140,790938.9375,851099.3125
141,813024.875,851099.3125
142,789321.5,857648.375
143,811955.0625,857648.375
144,788891.375,853810.375
145,813831.5,853810.375
146,791917.4375,853810.375
147,814377.0,853810.375
148,790644.4375,853810.375
149,814127.8125,853810.375
150,789440.125,868049.6875
151,813973.8125,868049.6875
152,43088456.0,868049.6875
153,1652710.375,868049.6875
154,883457.0,868049.6875
155,858887.8125,868049.6875
156,825439.75,868049.6875
157,831453.0625,868049.6875
158,815674.375,868049.6875
159,831027.625,868049.6875
160,816113.0,868049.6875
161,861801.4375,868049.6875
162,801571.1875,868049.6875
163,824352.375,868049.6875
164,802627.9375,868049.6875
165,841649.1875,868049.6875
166,795834.125,868049.6875
167,823154.0625,868049.6875
168,796420.625,868049.6875
169,830988.875,868049.6875
170,793317.5,868049.6875
171,822758.6875,868049.6875
172,790327.0,868049.6875
173,818550.25,868049.6875
174,789229.125,875200.125
175,819197.3125,875200.125
176,792248.6875,875200.125
177,822775.1875,875200.125
178,786664.3125,849125.75
179,807416.0625,849125.75
180,781623.5,847419.25
181,804574.5625,847419.25
182,782619.375,847419.25
183,804060.375,847419.25
184,781669.375,847419.25
185,805690.1875,847419.25
186,778784.4375,849577.3125
187,805636.5,849577.3125
188,778471.1875,851387.8125
189,808714.1875,851387.8125
190,778159.1875,845765.0625
191,801296.5,845765.0625
192,778205.75,845765.0625
193,804962.9375,845765.0625
194,775623.875,845622.4375
195,801935.5625,845622.4375
196,776469.9375,845622.4375
197,806840.8125,845622.4375
198,780311.875,845622.4375
199,805625.6875,845622.4375
200,780128.375,839376.625
201,804235.375,839376.625
202,46479244.0,839376.625
203,845707.375,839376.625
204,784141.625,839376.625
205,874871.625,839376.625
206,925256.4375,839376.625
207,770001.5,820982.75
208,768357.25,818974.375
209,763995.5,817410.4375
210,763166.4375,823522.8125
211,762870.0625,818942.3125
212,768224.875,818942.3125
213,766417.625,818942.3125
214,775942.0,818942.3125
215,772675.375,818942.3125
216,792896.4375,818942.3125
217,769456.5,818942.3125
218,783049.625,818942.3125
219,842655.0,818942.3125
220,947499.6875,818942.3125
221,753089.75,808826.375
222,756542.4375,808826.375
223,754969.4375,808826.375
224,759933.875,808826.375
225,758429.9375,808826.375
226,770322.75,808826.375
227,764367.25,808826.375
228,783274.6875,808826.375
229,767870.625,808826.375
230,785085.625,808826.375
231,762082.625,808826.375
232,779019.125,808826.375
233,765296.9375,808826.375
234,782571.8125,808826.375
235,762246.875,808826.375
236,780037.0,808826.375
237,763119.125,808826.375
238,782638.5625,808826.375
239,761599.9375,808826.375
240,782445.0,808826.375
241,761183.3125,808826.375
242,782275.1875,808826.375
243,760206.5625,808826.375
244,779801.8125,808826.375
245,761955.4375,808826.375
246,763514.5625,808826.375
247,874604.75,808826.375
248,1152302.75,808826.375
249,755452.625,808826.375
250,761575.5625,837870.3125
251,794190.875,837870.3125
252,43741888.0,837870.3125
253,1050974.75,837870.3125
254,784277.6875,837870.3125
255,776109.0,837870.3125
256,825284.6875,837870.3125
257,846254.4375,837870.3125
258,772909.0625,837870.3125
259,774393.5625,837870.3125
260,767370.9375,837870.3125
261,773771.375,837870.3125
262,773063.625,837870.3125
263,787301.3125,837870.3125
264,770264.75,837870.3125
265,787007.8125,837870.3125
266,770125.875,837870.3125
267,786495.0,837870.3125
268,767595.625,837870.3125
269,779867.0,837870.3125
270,765928.0625,837870.3125
271,779993.3125,837870.3125
272,766075.0,837870.3125
273,780840.0625,837870.3125
274,765759.0,837870.3125
275,781209.5625,837870.3125
276,762870.375,837870.3125
277,779860.375,837870.3125
278,762623.75,837870.3125
279,780592.25,837870.3125
280,760630.0625,828656.8125
281,778558.5625,828656.8125
282,759764.0625,815959.8125
283,776871.0625,815959.8125
284,759047.1875,823200.125
285,777059.25,823200.125
286,759264.9375,823200.125
287,775831.75,823200.125
288,758915.4375,820438.5625
289,775291.75,820438.5625
290,758957.1875,820438.5625
291,778325.125,820438.5625
292,761381.4375,820438.5625
293,780398.0,820438.5625
294,762465.0,820438.5625
295,786754.875,820438.5625
296,743129.1875,812674.4375
297,772656.375,812674.4375
298,819698.3125,812674.4375
299,962541.9375,812674.4375
300,769784.3125,838166.6875
301,797532.75,838166.6875
302,40399508.0,838166.6875
303,1172437.625,838166.6875
304,854041.8125,838166.6875
305,805512.6875,838166.6875
306,792765.3125,838166.6875
307,774543.25,838166.6875
308,763911.3125,809050.4375
309,758636.1875,811755.0
310,752119.875,809862.6875
311,750019.125,801286.625
312,747016.0625,796709.1875
313,745477.1875,804505.875
314,744288.8125,808298.5625
315,743205.375,798803.8125
316,742288.375,788989.9375
317,741438.0625,784757.375
318,740716.5,795010.5625
319,740002.25,796105.125
320,739562.0,790828.75
321,739611.625,790828.75
322,740233.5,790828.75
323,740480.4375,790828.75
324,741711.125,790828.75
325,744117.9375,790828.75
326,748006.1875,790828.75
327,762898.9375,790828.75
328,762846.5625,790828.75
329,777303.625,790828.75
330,762172.8125,790828.75
331,773342.3125,790828.75
332,758472.25,790828.75
333,769685.75,790828.75
334,758181.25,790828.75
335,768977.75,790828.75
336,755520.125,790828.75
337,766325.125,790828.75
338,756848.25,790828.75
339,767684.75,790828.75
340,753351.25,790828.75
341,763115.125,790828.75
