,train_cost,val_cost
0,31038276.0,2561760.25
1,2573997.5,2425295.5
2,2422414.25,2299488.25
3,2303138.0,2210142.5
4,2213538.75,2130314.0
5,2151683.75,2112689.0
6,2117995.0,2095950.5
7,2099325.0,2085371.5
8,2091981.125,2086082.625
9,2088506.875,2093095.25
10,2086866.25,2070199.5
11,2085811.75,2080788.875
12,2083605.875,2093549.0
13,2082074.875,2081224.25
14,2080030.625,2079084.375
15,2077582.25,2084935.25
16,2075328.875,2058865.625
17,2073008.0,2076595.0
18,2070489.75,2069750.625
19,2067491.0,2063843.5
20,2065445.75,2085426.5
21,2063204.625,2057551.375
22,2060687.75,2056953.0
23,2058046.25,2079308.375
24,2054927.25,2039164.875
25,2051492.625,2047634.875
26,2048618.875,2033736.0
27,2045486.125,2021418.5
28,2042415.75,2045789.375
29,2039190.0,2036628.5
30,2035988.25,2014973.25
31,2032132.875,2024091.125
32,2028444.25,2030766.375
33,2025301.625,2003770.875
34,2021819.5,2007744.125
35,2018269.5,2013291.875
36,2013730.375,2003461.5
37,2009769.375,2000115.625
38,2005552.375,1999450.625
39,2000891.125,1988248.5
40,1996486.25,1984148.5
41,1992911.625,1976054.125
42,1987252.375,1974818.375
43,1982871.875,1966153.125
44,1979077.0,1979716.375
45,1973549.0,1953724.875
46,1969064.125,1954967.625
47,1963579.0,1949808.0
48,1957956.625,1950335.125
49,1952727.25,1931964.875
50,1946642.0,1942388.25
51,1940971.625,1914948.875
52,1935322.25,1923486.0
53,1929012.5,1917504.75
54,1922200.125,1906415.75
55,1916131.0,1899193.125
56,1909386.5,1877301.25
57,1903139.75,1878784.0
58,1895570.25,1887134.25
59,1888648.875,1867737.5
60,1881448.875,1859915.875
61,1874198.375,1862114.25
62,1866125.25,1857539.75
63,1857470.0,1840395.875
64,1849287.25,1823600.625
65,1839839.25,1812154.625
66,1831572.125,1816500.5
67,1822292.5,1811436.5
68,1812975.5,1787871.25
69,1802093.75,1784671.125
70,1792306.375,1764518.625
71,1781526.75,1757864.875
72,1772540.875,1752276.375
73,1760882.875,1728836.125
74,1749655.0,1717000.125
75,1737866.875,1687929.0
76,1729211.5,1692089.75
77,1721050.875,1702286.625
78,1710066.375,1674292.5
79,1697343.375,1668396.5
80,1686382.375,1659532.5
81,1675883.375,1648247.25
82,1665897.125,1649997.0
83,1654793.25,1636587.375
84,1646370.875,1626842.0
85,1633685.5,1621852.0
86,1621861.25,1592886.375
87,1612312.125,1595147.625
88,1605977.0,1570620.875
89,1591999.125,1573588.5
90,1586482.875,1559423.375
91,1573237.5,1566846.25
