,fine_tune_train_cost,fine_tune_val_cost
0,1298537.875,132511528.0
1,132683880.0,132511528.0
2,8329458.5,132511528.0
3,7474894.0,132511528.0
4,6883155.5,132511528.0
5,6414655.0,132511528.0
6,6015464.5,132511528.0
7,5672135.0,132511528.0
8,5366825.5,132511528.0
9,5093398.0,132511528.0
10,4839777.0,132511528.0
11,5244013.5,132511528.0
12,4395094.0,132511528.0
13,4186896.75,132511528.0
14,4017154.0,132511528.0
15,3850688.5,132511528.0
16,3692715.0,132511528.0
17,3522139.75,132511528.0
18,3891726.25,132511528.0
19,3650668.75,132511528.0
20,3464142.25,132511528.0
21,3294928.0,132511528.0
22,3136987.5,132511528.0
23,2996018.0,132511528.0
24,2763201.5,132511528.0
25,2636512.5,132511528.0
26,2498797.0,132511528.0
27,2373462.25,132511528.0
28,2252834.75,132511528.0
29,2152429.0,132511528.0
30,2025995.0,132511528.0
31,1923816.0,132511528.0
32,1801148.625,132511528.0
33,1703608.375,132511528.0
34,1631904.25,132511528.0
35,1539610.25,132511528.0
36,1523059.625,132511528.0
37,1427154.0,132511528.0
38,1454720.75,132511528.0
39,1378758.0,132511528.0
40,1460444.875,132511528.0
41,1356196.0,132511528.0
42,1393232.125,132511528.0
43,1342582.75,132511528.0
44,1369070.125,132511528.0
45,1347209.625,132511528.0
46,1397612.0,132511528.0
47,1328471.75,132511528.0
48,1359030.875,132511528.0
49,1321667.75,132511528.0
50,1348719.5,1329666.125
51,1304737.0,1329666.125
52,9568060.0,1329666.125
53,2627620.0,1329666.125
54,148775328.0,1329666.125
55,6198947.0,1329666.125
56,5757483.5,1329666.125
57,5348939.5,1329666.125
58,4947321.5,1329666.125
59,4652786.0,1329666.125
60,4397336.5,1329666.125
61,4172257.75,1329666.125
62,3975752.25,1329666.125
63,3798747.25,1329666.125
64,3638334.75,1329666.125
65,3492002.25,1329666.125
66,3358418.75,1329666.125
67,3233869.25,1329666.125
68,3117956.0,1329666.125
69,3013092.75,1329666.125
70,2913042.75,1329666.125
71,2822846.25,1329666.125
72,2742240.5,1329666.125
73,2662893.25,1329666.125
74,2591040.0,1329666.125
75,2607619.25,1329666.125
76,2533950.75,1329666.125
77,2464759.25,1329666.125
78,2400918.75,1329666.125
79,2342170.0,1329666.125
80,2280950.75,1329666.125
81,2227102.75,1329666.125
82,2173247.25,1329666.125
83,2124479.25,1329666.125
84,2077842.125,1329666.125
85,2032390.0,1329666.125
86,1989534.0,1329666.125
87,1947871.75,1329666.125
88,1910160.25,1329666.125
89,1871554.375,1329666.125
90,1833639.125,1329666.125
91,1796629.875,1329666.125
92,1760295.75,1329666.125
93,1725697.875,1329666.125
94,1692700.0,1329666.125
95,1673181.75,1329666.125
96,1623073.0,1329666.125
97,1597462.0,1329666.125
98,1572810.625,1329666.125
99,1549888.5,1329666.125
100,1528103.0,1557406.0
101,1506472.25,265541024.0
102,267319920.0,265541024.0
103,1905076.5,265541024.0
104,3660264.0,265541024.0
105,3099942.25,265541024.0
106,2632303.25,265541024.0
107,2221489.5,265541024.0
108,1872404.5,265541024.0
109,1563142.0,265541024.0
110,1377041.375,1407321.625
111,1364780.75,1395698.875
112,1355737.25,1385164.625
113,1350242.125,1382506.5
114,1345043.125,1368995.375
115,1340573.125,1376107.25
116,1337000.875,1367430.0
117,1333627.25,1378670.625
118,1330478.625,1365790.125
119,1328869.375,1341633.375
120,1329264.25,1341633.375
121,1344284.125,1341633.375
122,1351918.625,1341633.375
123,1412642.625,1341633.375
124,1319025.5,1349467.5
125,1322637.25,1349467.5
126,1322666.375,1349467.5
127,1341828.5,1349467.5
128,1330602.5,1349467.5
129,1358536.25,1349467.5
130,1330731.375,1349467.5
131,1352078.125,1349467.5
132,1333321.625,1349467.5
133,1382283.875,1349467.5
134,1311501.0,1378350.625
135,1327211.875,1378350.625
136,1331102.0,1378350.625
137,1382311.125,1378350.625
138,1306469.625,1365470.625
139,1309874.25,1365470.625
140,1311090.625,1365470.625
141,1325686.25,1365470.625
142,1320648.625,1365470.625
143,1359925.0,1365470.625
144,1308229.0,1365470.625
145,1323659.75,1365470.625
146,1318309.75,1365470.625
147,1367069.0,1365470.625
148,1304833.375,1355578.25
149,1321326.75,1355578.25
150,1333010.125,2763410.5
151,2729213.75,2763410.5
152,356669728.0,2763410.5
153,1853152.75,2763410.5
154,1511927.875,2763410.5
155,1341881.0,2763410.5
156,1336979.875,2763410.5
157,1333418.625,2763410.5
158,1331567.25,1362590.125
159,1331833.125,1362590.125
160,1328337.25,1356061.0
161,1332736.5,1356061.0
162,1324247.125,1347984.625
163,1324764.0,1347984.625
164,1322021.875,1341027.625
165,1324331.375,1341027.625
166,1320298.25,1360083.625
167,1334823.875,1360083.625
168,1320083.875,1357576.25
169,1329446.0,1357576.25
170,1319601.875,1373013.25
171,1344085.25,1373013.25
172,1316484.375,1377142.875
173,1332285.75,1377142.875
174,1319450.25,1377142.875
175,1343530.625,1377142.875
176,1314543.0,1365104.125
177,1333467.625,1365104.125
178,1316175.625,1365104.125
179,1333944.375,1365104.125
180,1312138.75,1385308.125
181,1334032.125,1385308.125
182,1308676.75,1350545.75
183,1321831.375,1350545.75
184,1310849.625,1350545.75
185,1326640.125,1350545.75
186,1309210.0,1350545.75
187,1326214.875,1350545.75
188,1307188.125,1362865.0
189,1325658.125,1362865.0
190,1302830.0,1343107.25
191,1319867.25,1343107.25
192,1309166.75,1343107.25
193,1346858.125,1343107.25
194,1304292.125,1343107.25
195,1313327.0,1343107.25
196,1293803.25,1341958.5
197,1304510.5,1341958.5
198,1292938.0,1340111.25
199,1297311.125,1340111.25
200,1290833.25,1312322.625
201,1290775.375,332350528.0
202,334556768.0,332350528.0
203,1383613.125,332350528.0
204,1572244.0,332350528.0
205,1324453.5,332350528.0
206,1320596.5,332350528.0
207,1315241.625,332350528.0
208,1310941.0,332350528.0
209,1307537.75,332350528.0
210,1306015.375,332350528.0
211,1303225.25,332350528.0
212,1302200.75,332350528.0
213,1299434.75,332350528.0
214,1299337.375,332350528.0
215,1295769.375,332350528.0
216,1294456.75,332350528.0
217,1292462.375,332350528.0
218,1291610.0,332350528.0
219,1289145.875,1310218.875
220,1288580.25,1312406.625
221,1286062.75,1301699.5
222,1284774.375,1301926.25
223,1283517.75,1293577.125
224,1282414.875,1289723.875
225,1281309.375,1286942.875
226,1280180.0,1286322.375
227,1278971.625,1305310.0
228,1277608.875,1282810.25
229,1276330.5,1313953.25
230,1275151.25,1291348.0
231,1273971.25,1310616.5
232,1272937.5,1304092.875
233,1271875.375,1290879.125
234,1270638.125,1296304.375
235,1269559.375,1287085.25
236,1268416.75,1283851.125
237,1267698.625,1284925.875
238,1266242.75,1271751.0
239,1265249.875,1266475.0
240,1264574.875,1296723.0
241,1264403.75,1290848.375
242,1263121.5,1279761.75
243,1262898.625,1283161.625
244,1261504.25,1284028.625
245,1260948.5,1292589.75
246,1260334.75,1297365.0
247,1259107.0,1290727.125
248,1258565.0,1308859.375
249,1270603.125,1308859.375
250,1279057.875,1403564.375
251,1342853.5,1403564.375
252,2187926.0,1403564.375
253,326862368.0,1403564.375
254,8758532.0,1403564.375
255,4050933.25,1403564.375
256,3204712.75,1403564.375
257,2629377.75,1403564.375
258,2208026.5,1403564.375
259,1980099.0,1403564.375
260,1708797.875,1403564.375
261,1559425.5,1403564.375
262,1531571.625,1403564.375
263,1520552.875,1403564.375
264,1509865.375,1403564.375
265,1499256.75,1403564.375
266,1489896.25,1403564.375
267,1481258.125,1403564.375
268,1473188.25,1403564.375
269,1466261.875,1403564.375
270,1460536.75,1403564.375
271,1455293.625,1403564.375
272,1451081.75,1403564.375
273,1445660.375,1403564.375
274,1440971.75,1403564.375
275,1437056.375,1403564.375
276,1434257.875,1403564.375
277,1430297.25,1403564.375
278,1427589.0,1403564.375
279,1424619.25,1403564.375
280,1421857.375,1403564.375
281,1418948.125,1403564.375
282,1416390.875,1403564.375
283,1413606.375,1403564.375
284,1410627.875,1403564.375
285,1407868.375,1403564.375
286,1404819.125,1403564.375
287,1402156.125,1403564.375
288,1398975.25,1403564.375
289,1396331.125,1403564.375
290,1393778.625,1403564.375
291,1390792.625,1403564.375
292,1390500.75,1403564.375
293,1386006.25,1403564.375
294,1385182.0,1403564.375
295,1382443.375,1403564.375
296,1385375.125,1403564.375
297,1379758.25,1403564.375
298,1383427.0,1403564.375
299,1377716.25,1403564.375
300,1384078.625,1366065.625
301,1376875.625,13330048.0
302,13389872.0,13330048.0
303,1856812.625,13330048.0
304,140709952.0,13330048.0
305,6427049.0,13330048.0
306,5628082.5,13330048.0
307,5014390.0,13330048.0
308,4542747.0,13330048.0
309,4163471.0,13330048.0
310,3843646.75,13330048.0
311,3572919.25,13330048.0
312,3328150.5,13330048.0
313,3110368.25,13330048.0
314,2909432.75,13330048.0
315,2728667.25,13330048.0
316,2555065.25,13330048.0
317,2398851.25,13330048.0
318,2252615.75,13330048.0
319,2123417.5,13330048.0
320,2005954.125,13330048.0
321,1904665.625,13330048.0
322,1821659.125,13330048.0
323,1754428.625,13330048.0
324,1697256.25,13330048.0
325,1663077.5,13330048.0
326,1635253.5,13330048.0
327,1607675.5,13330048.0
328,1582298.25,13330048.0
329,1560306.0,13330048.0
330,1539272.0,13330048.0
331,1543102.5,13330048.0
332,3901859.25,13330048.0
333,1719917.875,13330048.0
334,1527358.5,13330048.0
335,1494626.75,13330048.0
336,1480050.125,13330048.0
337,1468378.0,13330048.0
