# iteration,run time [seconds],cost
100,0.80,23.790924561
200,1.14,21.772222457
300,1.48,21.094850655
400,1.81,20.755320151
500,2.15,20.551330766
600,2.48,20.415224704
700,2.81,20.317950614
800,3.15,20.244964687
900,3.48,20.188179853
1000,3.81,20.142740640
1100,4.15,20.105555599
1200,4.48,20.074562904
1300,4.82,20.048334651
1400,5.15,20.025850617
1500,5.48,20.006362457
1600,5.82,19.989308795
1700,6.15,19.974260267
1800,6.49,19.960882869
1900,6.82,19.948912878
2000,7.16,19.938139287
2100,7.49,19.928391265
2200,7.82,19.919529023
2300,8.16,19.911437077
2400,8.49,19.904019178
2500,8.82,19.897194474
2600,9.16,19.890894546
2700,9.50,19.885061106
2800,9.83,19.879644192
2900,10.17,19.874600729
3000,10.51,19.869893385
3100,10.84,19.865489642
3200,11.18,19.861361048
3300,11.51,19.857482595
3400,11.85,19.853832220
3500,12.19,19.850390378
3600,12.52,19.847139697
3700,12.86,19.844064680
3800,13.20,19.841151464
3900,13.53,19.838387605
4000,13.87,19.835761905
4100,14.21,19.833264256
4200,14.55,19.830885515
4300,14.88,19.828617387
4400,15.22,19.826452332
4500,15.56,19.824383481
4600,15.89,19.822404560
4700,16.23,19.820509831
4800,16.57,19.818694032
4900,16.91,19.816952332
5000,17.24,19.815280287
5100,17.58,19.813673799
5200,17.92,19.812129087
5300,18.26,19.810642655
5400,18.59,19.809211266
5500,18.93,19.807831918
5600,19.27,19.806501824
5700,19.61,19.805218391
5800,19.94,19.803979207
5900,20.28,19.802782022
6000,20.62,19.801624737
6100,20.96,19.800505389
6200,21.29,19.799422144
6300,21.63,19.798373282
6400,21.96,19.797357191
6500,22.30,19.796372360
6600,22.64,19.795417368
6700,22.97,19.794490879
6800,23.31,19.793591636
6900,23.64,19.792718453
7000,23.98,19.791870216
7100,24.32,19.791045869
7200,24.65,19.790244417
7300,24.99,19.789464920
7400,25.33,19.788706488
7500,25.66,19.787968277
7600,25.99,19.787249491
7700,26.33,19.786549372
7800,26.67,19.785867203
7900,27.00,19.785202301
8000,27.34,19.784554020
8100,27.68,19.783921744
8200,28.02,19.783304887
8300,28.35,19.782702893
8400,28.69,19.782115230
8500,29.03,19.781541393
8600,29.36,19.780980899
8700,29.70,19.780433289
8800,30.04,19.779898123
8900,30.37,19.779374982
9000,30.71,19.778863465
9100,31.05,19.778363189
9200,31.39,19.777873787
9300,31.72,19.777394909
9400,32.06,19.776926219
9500,32.40,19.776467394
9600,32.74,19.776018128
9700,33.08,19.775578124
9800,33.42,19.775147099
9900,33.75,19.774724780
10000,34.09,19.774310907
10100,34.43,19.773905229
10200,34.77,19.773507504
10300,35.11,19.773117501
10400,35.44,19.772734998
10500,35.78,19.772359780
10600,36.12,19.771991640
10700,36.46,19.771630382
10800,36.80,19.771275812
10900,37.14,19.770927748
11000,37.48,19.770586012
11100,37.82,19.770250432
11200,38.16,19.769920845
11300,38.50,19.769597090
11400,38.84,19.769279015
11500,39.17,19.768966471
11600,39.51,19.768659315
11700,39.85,19.768357409
11800,40.19,19.768060620
11900,40.53,19.767768819
12000,40.87,19.767481880
12100,41.21,19.767199684
12200,41.55,19.766922114
12300,41.89,19.766649057
12400,42.22,19.766380403
12500,42.56,19.766116048
12600,42.90,19.765855888
12700,43.24,19.765599825
12800,43.58,19.765347763
12900,43.92,19.765099608
13000,44.26,19.764855271
13100,44.60,19.764614664
13200,44.94,19.764377702
13300,45.28,19.764144303
13400,45.61,19.763914388
13500,45.95,19.763687878
13600,46.29,19.763464700
13700,46.63,19.763244779
13800,46.97,19.763028045
13900,47.31,19.762814429
14000,47.65,19.762603865
14100,47.99,19.762396287
14200,48.33,19.762191633
14300,48.67,19.761989841
14400,49.01,19.761790851
14500,49.35,19.761594606
14600,49.69,19.761401049
14700,50.03,19.761210125
14800,50.37,19.761021781
14900,50.71,19.760835965
15000,51.06,19.760652626
15100,51.40,19.760471716
15200,51.74,19.760293186
15300,52.08,19.760116989
15400,52.42,19.759943080
15500,52.76,19.759771416
15600,53.10,19.759601952
15700,53.44,19.759434646
15800,53.79,19.759269459
15900,54.13,19.759106348
16000,54.47,19.758945277
16100,54.81,19.758786207
16200,55.15,19.758629100
16300,55.49,19.758473921
16400,55.84,19.758320634
16500,56.18,19.758169205
16600,56.52,19.758019600
16700,56.86,19.757871787
16800,57.20,19.757725733
16900,57.54,19.757581408
17000,57.88,19.757438781
17100,58.23,19.757297822
17200,58.57,19.757158501
17300,58.91,19.757020792
17400,59.25,19.756884665
17500,59.59,19.756750093
17600,59.93,19.756617051
17700,60.27,19.756485512
17800,60.61,19.756355451
17900,60.95,19.756226843
18000,61.29,19.756099664
18100,61.63,19.755973890
18200,61.97,19.755849498
18300,62.32,19.755726466
18400,62.66,19.755604770
18500,63.00,19.755484391
18600,63.34,19.755365305
18700,63.68,19.755247494
18800,64.02,19.755130935
18900,64.36,19.755015610
19000,64.70,19.754901499
19100,65.04,19.754788582
19200,65.38,19.754676842
19300,65.72,19.754566260
19400,66.06,19.754456817
19500,66.40,19.754348497
19600,66.74,19.754241283
19700,67.09,19.754135156
19800,67.43,19.754030102
19900,67.77,19.753926103
20000,68.11,19.753823145
20100,68.45,19.753721210
20200,68.79,19.753620285
20300,69.13,19.753520354
20400,69.47,19.753421403
20500,69.82,19.753323417
20600,70.16,19.753226383
20700,70.50,19.753130286
20800,70.84,19.753035113
20900,71.18,19.752940850
21000,71.52,19.752847486
21100,71.86,19.752755006
21200,72.20,19.752663399
21300,72.54,19.752572651
21400,72.88,19.752482752
21500,73.22,19.752393689
21600,73.56,19.752305451
21700,73.90,19.752218026
21800,74.25,19.752131403
21900,74.59,19.752045571
22000,74.93,19.751960519
22100,75.27,19.751876237
22200,75.61,19.751792714
22300,75.95,19.751709940
22400,76.29,19.751627906
22500,76.63,19.751546600
22600,76.97,19.751466014
22700,77.31,19.751386138
22800,77.65,19.751306962
22900,77.99,19.751228478
23000,78.32,19.751150677
23100,78.66,19.751073549
23200,79.00,19.750997086
23300,79.34,19.750921279
23400,79.68,19.750846120
23500,80.02,19.750771600
23600,80.36,19.750697713
23700,80.70,19.750624448
23800,81.04,19.750551800
23900,81.37,19.750479759
24000,81.71,19.750408318
24100,82.05,19.750337471
24200,82.39,19.750267209
24300,82.73,19.750197525
24400,83.06,19.750128412
24500,83.40,19.750059863
24600,83.74,19.749991872
24700,84.08,19.749924431
24800,84.42,19.749857535
24900,84.76,19.749791175
25000,85.10,19.749725346
25100,85.44,19.749660042
25200,85.78,19.749595256
25300,86.12,19.749530982
25400,86.46,19.749467214
25500,86.80,19.749403947
25600,87.14,19.749341173
25700,87.48,19.749278889
25800,87.82,19.749217086
25900,88.16,19.749155762
