# iteration,run time [seconds],cost
100,0.82,27.311756386
200,1.16,25.202140558
300,1.49,24.494262822
400,1.83,24.139441313
500,2.17,23.926265117
600,2.50,23.784029419
700,2.84,23.682374519
800,3.18,23.606101617
900,3.52,23.546759436
1000,3.85,23.499273835
1100,4.19,23.460414138
1200,4.52,23.428025665
1300,4.86,23.400616203
1400,5.20,23.377119584
1500,5.53,23.356753761
1600,5.87,23.338932075
1700,6.20,23.323205826
1800,6.54,23.309225967
1900,6.87,23.296716898
2000,7.21,23.285458111
2100,7.55,23.275271079
2200,7.88,23.266009721
2300,8.22,23.257553347
2400,8.56,23.249801378
2500,8.90,23.242669319
2600,9.24,23.236085668
2700,9.58,23.229989515
2800,9.91,23.224328646
2900,10.25,23.219058047
3000,10.59,23.214138704
3100,10.92,23.209536636
3200,11.26,23.205222108
3300,11.60,23.201168986
3400,11.93,23.197354214
3500,12.27,23.193757366
3600,12.60,23.190360287
3700,12.94,23.187146785
3800,13.28,23.184102370
3900,13.61,23.181214039
4000,13.95,23.178470088
4100,14.28,23.175859956
4200,14.62,23.173374087
4300,14.96,23.171003812
4400,15.30,23.168741252
4500,15.63,23.166579229
4600,15.97,23.164511186
4700,16.31,23.162531126
4800,16.65,23.160633551
4900,16.98,23.158813413
5000,17.32,23.157066066
5100,17.66,23.155387228
5200,18.00,23.153772949
5300,18.33,23.152219575
5400,18.67,23.150723722
5500,19.01,23.149282254
5600,19.35,23.147892258
5700,19.69,23.146551025
5800,20.02,23.145256034
5900,20.36,23.144004933
6000,20.70,23.142795528
6100,21.03,23.141625770
6200,21.37,23.140493740
6300,21.71,23.139397641
6400,22.04,23.138335791
6500,22.38,23.137306607
6600,22.72,23.136308606
6700,23.06,23.135340392
6800,23.40,23.134400650
6900,23.74,23.133488144
7000,24.08,23.132601705
7100,24.42,23.131740233
7200,24.76,23.130902687
7300,25.10,23.130088085
7400,25.44,23.129295496
7500,25.78,23.128524040
7600,26.12,23.127772883
7700,26.46,23.127041233
7800,26.80,23.126328342
7900,27.14,23.125633496
8000,27.47,23.124956019
8100,27.81,23.124295268
8200,28.15,23.123650631
8300,28.49,23.123021525
8400,28.82,23.122407396
8500,29.16,23.121807716
8600,29.49,23.121221980
8700,29.83,23.120649708
8800,30.16,23.120090440
8900,30.50,23.119543739
9000,30.84,23.119009186
9100,31.17,23.118486379
9200,31.51,23.117974937
9300,31.85,23.117474492
9400,32.18,23.116984694
9500,32.52,23.116505206
9600,32.86,23.116035707
9700,33.20,23.115575887
9800,33.53,23.115125450
9900,33.87,23.114684112
10000,34.21,23.114251600
10100,34.54,23.113827652
10200,34.88,23.113412015
10300,35.22,23.113004448
10400,35.56,23.112604719
10500,35.89,23.112212602
10600,36.24,23.111827884
10700,36.58,23.111450355
10800,36.92,23.111079818
10900,37.26,23.110716078
11000,37.60,23.110358951
11100,37.93,23.110008259
11200,38.27,23.109663828
11300,38.61,23.109325493
11400,38.94,23.108993093
11500,39.28,23.108666473
11600,39.62,23.108345485
11700,39.95,23.108029982
11800,40.29,23.107719827
11900,40.62,23.107414884
12000,40.96,23.107115023
12100,41.30,23.106820118
12200,41.64,23.106530047
12300,41.98,23.106244693
12400,42.31,23.105963940
12500,42.65,23.105687679
12600,42.99,23.105415803
12700,43.33,23.105148208
12800,43.66,23.104884794
12900,44.00,23.104625464
13000,44.34,23.104370123
13100,44.68,23.104118680
13200,45.02,23.103871046
13300,45.37,23.103627136
13400,45.71,23.103386866
13500,46.05,23.103150156
13600,46.38,23.102916926
13700,46.72,23.102687101
13800,47.06,23.102460606
13900,47.39,23.102237370
14000,47.73,23.102017323
14100,48.07,23.101800397
14200,48.41,23.101586526
14300,48.75,23.101375646
14400,49.09,23.101167694
14500,49.42,23.100962611
14600,49.76,23.100760337
14700,50.10,23.100560815
14800,50.43,23.100363989
14900,50.77,23.100169804
15000,51.11,23.099978209
15100,51.45,23.099789151
15200,51.78,23.099602580
15300,52.12,23.099418449
15400,52.46,23.099236708
15500,52.80,23.099057312
15600,53.14,23.098880216
15700,53.48,23.098705376
15800,53.83,23.098532749
15900,54.17,23.098362293
16000,54.51,23.098193968
16100,54.85,23.098027734
16200,55.19,23.097863551
16300,55.53,23.097701383
16400,55.87,23.097541193
16500,56.22,23.097382944
16600,56.56,23.097226602
16700,56.90,23.097072132
16800,57.24,23.096919501
16900,57.58,23.096768676
17000,57.91,23.096619625
17100,58.26,23.096472318
17200,58.60,23.096326723
17300,58.95,23.096182812
17400,59.29,23.096040554
17500,59.62,23.095899922
17600,59.96,23.095760888
17700,60.30,23.095623425
17800,60.63,23.095487507
17900,60.97,23.095353107
18000,61.30,23.095220200
18100,61.64,23.095088762
18200,61.97,23.094958768
18300,62.31,23.094830195
18400,62.64,23.094703019
18500,62.98,23.094577218
18600,63.31,23.094452770
18700,63.65,23.094329652
18800,63.98,23.094207844
18900,64.32,23.094087325
19000,64.65,23.093968075
19100,64.99,23.093850073
19200,65.32,23.093733301
19300,65.66,23.093617738
19400,65.99,23.093503367
19500,66.33,23.093390169
19600,66.66,23.093278126
19700,67.00,23.093167220
19800,67.33,23.093057434
19900,67.67,23.092948752
20000,68.00,23.092841156
20100,68.34,23.092734631
20200,68.68,23.092629161
20300,69.01,23.092524730
20400,69.35,23.092421322
20500,69.68,23.092318924
20600,70.02,23.092217519
20700,70.36,23.092117094
20800,70.69,23.092017635
20900,71.03,23.091919127
21000,71.36,23.091821558
21100,71.70,23.091724913
21200,72.03,23.091629180
21300,72.37,23.091534346
21400,72.71,23.091440398
21500,73.04,23.091347324
21600,73.38,23.091255112
21700,73.72,23.091163750
21800,74.05,23.091073226
21900,74.39,23.090983528
